
[00:00:00.000 --> 00:00:02.000]  (主持人:鄧小姐,早安)
[00:00:02.000 --> 00:00:09.000]  (主持人:很感恩在大家再次一起敬拜,一起分享上帝的話)
[00:00:09.000 --> 00:00:16.000]  (主持人:是,我想我們今天的時代當中,我們繼續去能夠敬拜)
[00:00:16.000 --> 00:00:21.000]  (主持人:或者我們能夠有如常的,無論是教會的生活,或者是我們的)
[00:00:21.000 --> 00:00:25.000]  (主持人:我想大家都是明白的,工作啊,或者是家庭等等各方面)
[00:00:25.000 --> 00:00:30.000]  (主持人:其實很多時候都要很多的變動,很多的適應)
[00:00:30.000 --> 00:00:35.000]  (主持人:很多的更加需要我們去,其實是在信仰上面)
[00:00:35.000 --> 00:00:39.000]  (主持人:我的體會就是,其實更加需要我們去在信仰當中去)
[00:00:39.000 --> 00:00:45.000]  (主持人:去支取從上而來的力量,更多學習去依靠我們的上帝)
[00:00:45.000 --> 00:00:50.000]  (主持人:所以今天和大家去讀一段的經文,和大家分享的經文)
[00:00:50.000 --> 00:00:53.000]  (主持人:大家都聽到,主席剛才幫我們讀的時候)
[00:00:53.000 --> 00:00:58.000]  (主持人:主題就是,可能大家都會覺得是耶穌常常都會去說的)
[00:00:58.000 --> 00:01:02.000]  (主持人:就是一個警醒的教導)
[00:01:02.000 --> 00:01:08.000]  (主持人:這個警醒的教導,都是耶穌不住地去提門徒)
[00:01:08.000 --> 00:01:13.000]  (主持人:可能我們對於這個主的教導都不陌生)
[00:01:13.000 --> 00:01:22.000]  (主持人:而我們通常都會去將這個教導連繫在一種主在內的概念)
[00:01:22.000 --> 00:01:26.000]  (主持人:這個在我們看福音的信仰當中都很重要)
[00:01:26.000 --> 00:01:31.000]  (主持人:我們知道耶穌基督會再來,去接他的指紋)
[00:01:31.000 --> 00:01:33.000]  (主持人:去到新天新地的中間)
[00:01:33.000 --> 00:01:37.000]  (主持人:這個是我們信仰的盼望的源頭)
[00:01:37.000 --> 00:01:44.000]  (主持人:這個所謂的第二次再回來的等待)
[00:01:44.000 --> 00:01:49.000]  (主持人:這個我們相信是應許將會實現的一件事)
[00:01:49.000 --> 00:01:52.000]  (主持人:但我想和大家分享的是)
[00:01:52.000 --> 00:01:56.000]  (主持人:我們去思考主的來臨的時候)
[00:01:56.000 --> 00:01:59.000]  (主持人:除了是按照我們傳統教導)
[00:01:59.000 --> 00:02:01.000]  (主持人:講主在來的時候)
[00:02:01.000 --> 00:02:04.000]  (主持人:其實我們另一個的意思)
[00:02:04.000 --> 00:02:08.000]  (主持人:就好像我第二點裡面講的那種第一個表達)
[00:02:08.000 --> 00:02:11.000]  (主持人:就是說生活中的同在)
[00:02:11.000 --> 00:02:15.000]  (主持人:如果來臨是一種coming,即是他來)
[00:02:15.000 --> 00:02:18.000]  (主持人:但同在通常是一個英文詞是presence)
[00:02:18.000 --> 00:02:20.000]  (主持人:他在我們中間)
[00:02:20.000 --> 00:02:21.000]  (主持人:如果你記得)
[00:02:21.000 --> 00:02:25.000]  (主持人:就算是耶穌基督到世上的時候)
[00:02:25.000 --> 00:02:27.000]  (主持人:都被稱為二馬來臨)
[00:02:27.000 --> 00:02:29.000]  (主持人:神與人同在)
[00:02:29.000 --> 00:02:33.000]  (主持人:這個同在的狀態)
[00:02:33.000 --> 00:02:37.000]  (主持人:就不只是他人生的時候和門徒的同在)
[00:02:37.000 --> 00:02:40.000]  (主持人:是會和我們每一個信他人都會同在)
