
[00:00:00.000 --> 00:00:05.000]  路加福音第八章二十二到二十五節
[00:00:05.000 --> 00:00:09.000]  有一天,耶穌和門徒上了船
[00:00:09.000 --> 00:00:11.000]  他對門徒說:
[00:00:11.000 --> 00:00:15.000]  「我們到達湖的對岸去吧」
[00:00:15.000 --> 00:00:17.000]  他們就開了船
[00:00:17.000 --> 00:00:21.000]  船行的時候,耶穌睡著了
[00:00:21.000 --> 00:00:24.000]  湖上忽然起了狂風
[00:00:24.000 --> 00:00:28.000]  船漿灌滿了水,很危險
[00:00:28.000 --> 00:00:30.000]  門徒去叫醒他,說:
[00:00:30.000 --> 00:00:34.000]  「老師!老師!我們快沒命了」
[00:00:34.000 --> 00:00:38.000]  耶穌醒了,斥責那狂風大浪
[00:00:38.000 --> 00:00:42.000]  風浪就止住,平靜了
[00:00:42.000 --> 00:00:44.000]  耶穌對他們說:
[00:00:44.000 --> 00:00:47.000]  「你們的信心在哪裡呢?」
[00:00:47.000 --> 00:00:50.000]  他們又懼怕又驚訝
[00:00:50.000 --> 00:00:51.000]  彼此說:
[00:00:51.000 --> 00:00:53.000]  「這到底是誰?」
[00:00:53.000 --> 00:00:55.000]  他吩咐風和水
[00:00:55.000 --> 00:00:58.000]  連風和水都聽從他
[00:00:59.000 --> 00:01:01.000]  我們恭請陳女士
[00:01:01.000 --> 00:01:04.000]  陳女士:各位姐妹早安
[00:01:04.000 --> 00:01:09.000]  今天我們就用耶穌基督平靜風浪這個事蹟
[00:01:09.000 --> 00:01:12.000]  我們來彼此的勉勵
[00:01:12.000 --> 00:01:16.000]  有一個朋友,他信了耶穌
[00:01:16.000 --> 00:01:19.000]  他就聖靈光照他
[00:01:19.000 --> 00:01:20.000]  就告訴他:
[00:01:20.000 --> 00:01:22.000]  「你的脾氣不是很好」
[00:01:22.000 --> 00:01:26.000]  「你作為一個基督徒就要改變了」
[00:01:26.000 --> 00:01:29.000]  於是他就去找牧師
[00:01:29.000 --> 00:01:32.000]  請牧師為他祈禱
[00:01:32.000 --> 00:01:36.000]  求上帝改變他的性情
[00:01:36.000 --> 00:01:38.000]  他就跟牧師說:
[00:01:38.000 --> 00:01:40.000]  「求耶穌幫助他」
[00:01:40.000 --> 00:01:43.000]  「以致脾氣減一點」
[00:01:43.000 --> 00:01:47.000]  「做一個成熟一點的人」
[00:01:47.000 --> 00:01:49.000]  牧師見到他這麼認真
[00:01:49.000 --> 00:01:54.000]  於是就跟他一起跪下祈禱
[00:01:54.000 --> 00:01:57.000]  牧師一開口就這樣說:
[00:01:57.000 --> 00:02:01.000]  「主耶穌基督,這位弟兄想學忍耐」
[00:02:01.000 --> 00:02:03.000]  「想學做一個成熟的人」
[00:02:03.000 --> 00:02:07.000]  「求祢給多一點患難他」
[00:02:07.000 --> 00:02:09.000]  當牧師這樣說的時候
[00:02:09.000 --> 00:02:12.000]  弟兄就整個彈起來
[00:02:12.000 --> 00:02:14.000]  牧師,你有沒有搞錯?
[00:02:14.000 --> 00:02:17.000]  我是要求有忍耐
[00:02:17.000 --> 00:02:19.000]  做一個成熟一點的人
[00:02:19.000 --> 00:02:23.000]  我不是求經歷患難更多
[00:02:23.000 --> 00:02:26.000]  「不是,這是聖經教的」
[00:02:26.000 --> 00:02:28.000]  「是羅馬書裡面說的」
[00:02:28.000 --> 00:02:32.000]  「羅馬書說:患難生忍耐」
[00:02:32.000 --> 00:02:34.000]  「忍耐生老練」
[00:02:34.000 --> 00:02:39.000]  因為老練就是一個在屬靈裏面成熟長進的人
[00:02:39.000 --> 00:02:40.000]  所以牧師說:
[00:02:40.000 --> 00:02:44.000]  「沒有錯過,如果沒有患難的時候」
[00:02:44.000 --> 00:02:48.000]  「怎會學習到忍耐呢?」
[00:02:48.000 --> 00:02:50.000]  「沒有忍耐的時候」
[00:02:50.000 --> 00:02:53.000]  「又怎樣做一個成熟的人」
[00:02:53.000 --> 00:03:00.000]  「特別怎樣做一個屬靈的成熟人呢?」
[00:03:00.000 --> 00:03:02.000]  在人生裏面
[00:03:02.000 --> 00:03:05.000]  很多時候都會發生一些風浪
[00:03:05.000 --> 00:03:09.000]  在中國人的說話裏面都說
[00:03:09.000 --> 00:03:13.000]  「人生不如意的是十常八九」
[00:03:13.000 --> 00:03:19.000]  就是說人生裏面的風浪是十常八九的
[00:03:19.000 --> 00:03:22.000]  如果我們面對這些風浪的時候
[00:03:22.000 --> 00:03:24.000]  我們用一個逃避的態度
[00:03:24.000 --> 00:03:31.000]  或者用一個埋怨、只顧著哭泣的態度的時候
[00:03:31.000 --> 00:03:34.000]  我們的生命就會變得很苦澀
[00:03:34.000 --> 00:03:38.000]  但如果在這個風浪裏面
[00:03:38.000 --> 00:03:42.000]  我們去反省生命、反省信仰的時候
[00:03:42.000 --> 00:03:47.000]  我們的生命會向前走多一步
[00:03:47.000 --> 00:03:51.000]  我們會變得一個更加成熟的人
[00:03:51.000 --> 00:03:55.000]  我們就從平靜風浪這件事蹟
[00:03:55.000 --> 00:04:01.000]  我們看一看在當中我們有些甚麼認識和學習
[00:04:01.000 --> 00:04:11.000]  有一天主耶穌和一班門徒上了船
[00:04:11.000 --> 00:04:14.000]  剛才主席也幫我們讀了
[00:04:14.000 --> 00:04:17.000]  耶穌自己吩咐門徒
[00:04:17.000 --> 00:04:21.000]  他們要去到湖的另外一邊
[00:04:21.000 --> 00:04:24.000]  所以那班門徒就開船了
[00:04:24.000 --> 00:04:29.000]  在馬可芳就描述到當時是晚上
[00:04:29.000 --> 00:04:33.000]  講到耶穌之前就在加伯隆這個地方
[00:04:33.000 --> 00:04:35.000]  一路的港渡
[00:04:35.000 --> 00:04:37.000]  到晚上的時候
[00:04:37.000 --> 00:04:41.000]  耶穌基督就自己主動的提出
[00:04:41.000 --> 00:04:44.000]  要去到對面的岸
[00:04:44.000 --> 00:04:49.000]  在對面的岸裏面
[00:04:49.000 --> 00:04:53.000]  他就採用這個路程搭船去
[00:04:53.000 --> 00:04:57.000]  我們先看一下兩個元素
[00:04:57.000 --> 00:04:59.000]  第一個就是晚上
[00:04:59.000 --> 00:05:02.000]  在聖經的時代
[00:05:02.000 --> 00:05:09.000]  就覺得晚上有一個罪惡勢力籠罩著
[00:05:09.000 --> 00:05:11.000]  其實我們現在也會感覺到
[00:05:11.000 --> 00:05:17.000]  不合法、罪惡、不三不四的活動
[00:05:17.000 --> 00:05:21.000]  很多時候都是在晚上發生
[00:05:21.000 --> 00:05:29.000]  所以晚上就代表了危險、不安全和罪惡
[00:05:29.000 --> 00:05:35.000]  還有耶穌就選擇去搭船去對岸
[00:05:35.000 --> 00:05:38.000]  去拉森這個地方
[00:05:38.000 --> 00:05:45.000]  其實由原本耶穌在加伯隆去到格拉森
[00:05:45.000 --> 00:05:47.000]  除了搭船之外
[00:05:47.000 --> 00:05:52.000]  其實可以從這個陸路過去
[00:05:52.000 --> 00:05:54.000]  我們就想一下
[00:05:54.000 --> 00:05:57.000]  為什麼耶穌要選擇
[00:05:57.000 --> 00:06:02.000]  第一就是在晚上起程過去
[00:06:02.000 --> 00:06:07.000]  第二還要選擇搭船過去
[00:06:07.000 --> 00:06:09.000]  之後在搭船當中
[00:06:09.000 --> 00:06:15.000]  那些門徒就經歷了一個很大的震撼
[00:06:15.000 --> 00:06:18.000]  耶穌這樣的選擇
[00:06:18.000 --> 00:06:24.000]  其實目的是要操練那些門徒的信心
[00:06:24.000 --> 00:06:26.000]  我們想一下
[00:06:26.000 --> 00:06:29.000]  在當中就撐船過去
[00:06:29.000 --> 00:06:31.000]  有耶穌基督的門徒
[00:06:31.000 --> 00:06:35.000]  我們知道在裏面有很多打魚很厲害
[00:06:35.000 --> 00:06:40.000]  彼得、約翰、雅各、安德烈
[00:06:40.000 --> 00:06:42.000]  很清楚我們都知道
[00:06:42.000 --> 00:06:46.000]  這些都是打魚的職業
[00:06:46.000 --> 00:06:49.000]  所以這個職業應該不難倒他們
[00:06:49.000 --> 00:06:55.000]  對於這個嘉麗利湖的水性
[00:06:55.000 --> 00:06:58.000]  或者整個裏面這個地方的氣候
