
[00:00:00.000 --> 00:00:04.680]  新約路加福音2:41-52
[00:00:04.680 --> 00:00:09.080]  每年如月節,他父母都上耶路撒冷去
[00:00:09.080 --> 00:00:14.760]  當他十二歲的時候,他們按著過節的規矩上去
[00:00:14.760 --> 00:00:17.760]  守滿了節期,他們回去
[00:00:17.760 --> 00:00:23.200]  孩童耶穌營救在耶路撒冷,他的父母並不知道
[00:00:23.200 --> 00:00:26.320]  以為他在同行的人中間
[00:00:26.320 --> 00:00:32.040]  走了一天的路程才在親屬和熟悉的人中找他
[00:00:32.040 --> 00:00:36.120]  既找不著,就回耶路撒冷去找他
[00:00:36.120 --> 00:00:39.960]  過了三天,他們發現他在聖殿裡
[00:00:39.960 --> 00:00:44.280]  坐在教師中間,一面聽一面問
[00:00:44.280 --> 00:00:49.520]  凡聽見他的人都對他的聰明和應對感到驚奇
[00:00:49.520 --> 00:00:52.080]  他父母看見就很驚奇
[00:00:52.080 --> 00:00:53.880]  他母親對他說
[00:00:53.880 --> 00:00:57.360]  「我兒啊,為什麼對我們這樣做呢?」
[00:00:57.360 --> 00:01:02.640]  「看啊,你父親和我很焦急,到處找你」
[00:01:02.640 --> 00:01:04.320]  耶穌對他們說
[00:01:04.320 --> 00:01:05.960]  「為什麼找我呢?」
[00:01:05.960 --> 00:01:11.160]  「難道你們不知道我應當在我父的家裡嗎?」
[00:01:11.160 --> 00:01:14.520]  他所說的話,他們不明白
[00:01:14.520 --> 00:01:18.200]  他就和他們下去回到拿撒勒
[00:01:18.200 --> 00:01:20.080]  並且順從他們
[00:01:20.080 --> 00:01:24.040]  他母親把這一切的事都存在心裡
[00:01:24.040 --> 00:01:26.080]  耶穌的智慧和新量
[00:01:26.080 --> 00:01:30.720]  並神和人喜愛他的心都一起增長
[00:01:30.720 --> 00:01:31.520]  感謝神
[00:01:31.520 --> 00:01:36.160]  今天有本堂的傳道人魯耀洪傳道在我們中間靜悟
[00:01:36.160 --> 00:01:39.160]  他的講題是「一年之計在於春」
[00:01:39.160 --> 00:01:41.680]  現在恭請魯傳道靜悟
[00:01:41.720 --> 00:01:44.800]  各位感恩專家弟兄姊妹平安
[00:01:44.800 --> 00:01:48.200]  距離農曆新年還不夠三個星期
