
[00:00:00.000 --> 00:00:02.000]  鼎智梅晚安
[00:00:02.000 --> 00:00:06.000]  今天已經是年尾了
[00:00:06.000 --> 00:00:08.000]  其實很值得問大家一句
[00:00:08.000 --> 00:00:11.000]  2018年大家過得平安嗎?
[00:00:11.000 --> 00:00:13.000]  問問身邊的鼎智梅吧
[00:00:13.000 --> 00:00:15.000]  平安嗎?
[00:00:15.000 --> 00:00:21.000]  我今天和大家分享的時候
[00:00:21.000 --> 00:00:24.000]  其實是我自己一個很大的記得
[00:00:24.000 --> 00:00:27.000]  半年前我還沒來的時候
[00:00:27.000 --> 00:00:29.000]  那次在這裡說了一篇
[00:00:29.000 --> 00:00:31.000]  當然我記得我和鼎智梅說
[00:00:31.000 --> 00:00:35.000]  其實我很珍惜每一次能夠說的機會
[00:00:35.000 --> 00:00:38.000]  因為我不知道還有沒有下一次
[00:00:38.000 --> 00:00:41.000]  所以我要在這裡很感謝上帝
[00:00:41.000 --> 00:00:43.000]  我今天還站在大家當中
[00:00:43.000 --> 00:00:45.000]  我還能夠和大家說到
[00:00:45.000 --> 00:00:48.000]  這已經是上帝所給我們最大的平安
[00:00:48.000 --> 00:00:51.000]  今天和大家說這段經文的時候
[00:00:51.000 --> 00:00:54.000]  其實我相信大家對這段經文一點都不陌生
[00:00:54.000 --> 00:00:57.000]  特別是你從小到大
[00:00:57.000 --> 00:01:00.000]  甚至有些歌仔去唱這段經文
[00:01:00.000 --> 00:01:05.000]  大水來的時候是怎樣的
[00:01:05.000 --> 00:01:07.000]  如果你沒有根基的話就會沖冧
[00:01:07.000 --> 00:01:09.000]  如果你的根基好就不會了
[00:01:09.000 --> 00:01:13.000]  從小到大我們都會唱這段詩歌
[00:01:13.000 --> 00:01:16.000]  但其實為什麼今天我還要說這段詩歌呢?
[00:01:16.000 --> 00:01:18.000]  說這段經文呢
[00:01:18.000 --> 00:01:21.000]  因為這段經文裡面
[00:01:21.000 --> 00:01:25.000]  實在提醒我們一個非常非常非常重要
[00:01:25.000 --> 00:01:29.000]  特別是預備要去2019年的時候
[00:01:29.000 --> 00:01:32.000]  我希望鼎智梅你真的在神面前立志
[00:01:32.000 --> 00:01:36.000]  你好好的回到這段經文裡面
[00:01:36.000 --> 00:01:41.000]  重新再一次去檢視我的信仰是怎樣
[00:01:41.000 --> 00:01:45.000]  你會發覺這段經文如果大家有留意的話
[00:01:45.000 --> 00:01:48.000]  我們會看到整個第六章
[00:01:48.000 --> 00:01:50.000]  我會稱為什麼呢?
[00:01:50.000 --> 00:01:54.000]  就是耶穌登山補糞的一個精華版
[00:01:54.000 --> 00:01:56.000]  如果大家還記得在《馬仔福音》的時候
[00:01:56.000 --> 00:01:59.000]  耶穌登山補糞其實裡面有很多內容都很相似
[00:01:59.000 --> 00:02:02.000]  但這裡一章就講完了
[00:02:02.000 --> 00:02:05.000]  所以裡面是更加的精華更加重要
[00:02:05.000 --> 00:02:08.000]  那究竟整個登山補糞是做什麼呢?
[00:02:08.000 --> 00:02:11.000]  就是當時耶穌呼召了他的門徒
[00:02:11.000 --> 00:02:12.000]  剛剛呼召的時候
[00:02:12.000 --> 00:02:15.000]  透過登山補糞再一次告訴他們
[00:02:15.000 --> 00:02:20.000]  其實天國的價值觀是什麼
[00:02:20.000 --> 00:02:22.000]  有時候我們經常都搞錯了
[00:02:22.000 --> 00:02:26.000]  我們以為我們知道什麼叫天國價值觀
[00:02:26.000 --> 00:02:29.000]  但其實我們經常都搞錯了
[00:02:29.000 --> 00:02:32.000]  其實你會發覺在他們第六章
[00:02:32.000 --> 00:02:35.000]  還沒去呼召門徒之前
[00:02:35.000 --> 00:02:40.000]  耶穌跟這群法利塞人其實是發生了兩個衝突
[00:02:40.000 --> 00:02:42.000]  一個衝突是什麼呢?
[00:02:42.000 --> 00:02:47.000]  就是關於在安息日我去吃東西的問題
[00:02:47.000 --> 00:02:50.000]  就是說你的門徒在田間摘了些墨水
[00:02:50.000 --> 00:02:52.000]  我想大家留意
[00:02:52.000 --> 00:02:54.000]  法利塞人針對的不是吃東西
[00:02:54.000 --> 00:02:56.000]  他針對的是什麼呢?
[00:02:56.000 --> 00:02:59.000]  就是撕掉墨水的動作
[00:02:59.000 --> 00:03:02.000]  因為在安息日你不可以這樣做
[00:03:02.000 --> 00:03:04.000]  另外一個就是治病
[00:03:04.000 --> 00:03:05.000]  在安息日的時候
[00:03:05.000 --> 00:03:08.000]  有人來找耶穌的時候
[00:03:08.000 --> 00:03:09.000]  去挑戰耶穌
[00:03:09.000 --> 00:03:11.000]  就看耶穌會不會治病
[00:03:11.000 --> 00:03:13.000]  耶穌就用了一個很巧妙的方法
[00:03:13.000 --> 00:03:17.000]  叫那個人自己伸出手來就好了
[00:03:17.000 --> 00:03:18.000]  其實很吊詭的
[00:03:18.000 --> 00:03:21.000]  那究竟是耶穌治病還是不是呢?
