
[00:00:00.000 --> 00:00:02.000]  都是一起開始祈禱
[00:00:02.000 --> 00:00:04.660]  感謝天父豐厚的恩典
[00:00:04.660 --> 00:00:08.560]  我們能夠再一次可以在晚上安靜的
[00:00:08.560 --> 00:00:10.800]  或者在線上都來到去
[00:00:10.800 --> 00:00:13.900]  在家中一同的來到去等候
[00:00:13.900 --> 00:00:17.880]  我們很盼望一些可能我們都曾經聽過
[00:00:17.880 --> 00:00:19.880]  有機會去研讀的經文
[00:00:19.880 --> 00:00:22.640]  再一起來到去靜心思想的時候
[00:00:22.640 --> 00:00:24.640]  能夠更加深入
[00:00:24.640 --> 00:00:30.080]  更加了解明白當時的歷史的狀況
[00:00:30.080 --> 00:00:35.680]  和當時的信徒他們到底是抱持著什麼樣的心態
[00:00:35.680 --> 00:00:40.560]  需要保羅來去在那個教導
[00:00:40.560 --> 00:00:43.280]  或者是一個警告上面
[00:00:43.280 --> 00:00:46.200]  對信徒有一個指引
[00:00:46.200 --> 00:00:48.200]  願神幫助我們
[00:00:48.200 --> 00:00:51.640]  的而且確我們不是活在那個時代的人
[00:00:51.640 --> 00:00:59.440]  但是我們都知道聖經那種跨越時代的原因
[00:00:59.440 --> 00:01:02.520]  就是因為這些大的原則
[00:01:02.520 --> 00:01:06.000]  就是人性面對聖經的真道
[00:01:06.000 --> 00:01:09.560]  面對神的這個拯救
[00:01:09.560 --> 00:01:12.760]  和永恆的那個天家
[00:01:12.760 --> 00:01:15.160]  都是每個人一樣的
[00:01:15.160 --> 00:01:17.560]  而且不分什麼種族
[00:01:17.560 --> 00:01:19.120]  不分什麼貴賤
[00:01:19.120 --> 00:01:22.840]  或者是厲害一點還是不厲害
[00:01:22.840 --> 00:01:25.560]  是我們的心怎樣對待神
[00:01:25.560 --> 00:01:27.160]  和神的真理
[00:01:27.160 --> 00:01:28.840]  願主幫助我們
[00:01:28.840 --> 00:01:31.560]  我們今天晚上等候在你的面前
[00:01:31.560 --> 00:01:36.600]  我們更加盼望每一段錄了音的教導
[00:01:36.600 --> 00:01:40.000]  是成為不同的弟兄姊妹的幫助
[00:01:40.000 --> 00:01:42.440]  我們一起在你面前等候、祈禱
[00:01:42.440 --> 00:01:44.440]  奉耶穌基督的名
[00:01:45.320 --> 00:01:49.360]  反覆我們也將第二章講得比較詳盡
[00:01:49.360 --> 00:01:53.640]  第二章其實是一個很危急的警告
[00:01:53.640 --> 00:01:58.640]  就是保羅突然叫人不要隨便信那些書信
[00:01:58.640 --> 00:02:00.840]  一定是冒名的書信
[00:02:00.840 --> 00:02:04.320]  或者有些人招搖撞騙的
[00:02:04.320 --> 00:02:06.760]  一些口述的來講到
[00:02:06.760 --> 00:02:08.760]  可能一些預言等等
[00:02:08.760 --> 00:02:11.960]  我們也都不是太知道當時
[00:02:11.960 --> 00:02:16.360]  初世紀使徒未全部離世之前的世代
[00:02:16.360 --> 00:02:21.240]  他們有沒有很特殊的經驗
[00:02:21.240 --> 00:02:23.720]  會有一些的默示等等
[00:02:23.720 --> 00:02:26.440]  這些都是一些很神秘的
[00:02:26.440 --> 00:02:27.840]  但是無論如何
[00:02:27.840 --> 00:02:30.480]  至少由保羅自己的口中
[00:02:30.480 --> 00:02:33.680]  這樣來警告貼薩羅尼加的弟兄姊妹
[00:02:33.680 --> 00:02:37.240]  千萬不要隨便什麼文字
[00:02:37.240 --> 00:02:43.040]  或者是一些可能是他說的一些異象
[00:02:43.040 --> 00:02:44.240]  都不要相信
[00:02:44.240 --> 00:02:47.840]  不要相信的原因就是有來到反教
[00:02:47.840 --> 00:02:49.520]  就是有大罪人
[00:02:49.520 --> 00:02:52.720]  就是有一個風潮是會起的
[00:02:52.720 --> 00:02:54.560]  就是撒旦的運動
[00:02:54.560 --> 00:02:58.000]  這樣一路延伸就去到第十二節
[00:02:58.000 --> 00:03:03.720]  撒旦的運動是會吸引到一些人的原因
[00:03:03.720 --> 00:03:09.080]  就是原來有一些人是注定是不會明白真道
[00:03:09.080 --> 00:03:12.040]  因為他們的心根本就不想改變
[00:03:12.040 --> 00:03:15.560]  不想讓神的道改變他們的心
[00:03:15.560 --> 00:03:18.440]  所以這樣來作出警告
[00:03:18.440 --> 00:03:20.800]  這些人將來要面對自己
[00:03:20.800 --> 00:03:24.280]  從來沒有在地上為神的道
[00:03:24.280 --> 00:03:27.280]  在他們的生命來改變
[00:03:27.280 --> 00:03:29.440]  做過任何的宋土
[00:03:29.440 --> 00:03:31.040]  做過任何的晦改
[00:03:31.040 --> 00:03:34.240]  所以這裡說第十二節
[00:03:34.240 --> 00:03:36.080]  一切不信真理
[00:03:36.080 --> 00:03:39.360]  喜愛不義的人都要被定罪
[00:03:39.360 --> 00:03:44.160]  而且他們是會有一個被生發錯誤的心
[00:03:44.160 --> 00:03:47.960]  就是說凡是聽什麼進入心裏面
