
[00:00:00.000 --> 00:00:02.800]  今天和大家分享這段經文的時候
[00:00:02.800 --> 00:00:04.000]  其實是…
[00:00:04.000 --> 00:00:06.000]  我要先這麼說
[00:00:06.000 --> 00:00:07.800]  我不知道大家知不知道
[00:00:07.800 --> 00:00:08.800]  每一年裡面
[00:00:08.800 --> 00:00:10.800]  其實牧師都會將每一年
[00:00:10.800 --> 00:00:13.800]  由年初的時候已經編了所有的講題
[00:00:13.800 --> 00:00:16.800]  所以很多時候我都很少轉
[00:00:16.800 --> 00:00:19.300]  但是當上帝…
[00:00:19.300 --> 00:00:21.800]  我很喜歡看上帝這些作為
[00:00:21.800 --> 00:00:23.800]  不是人為
[00:00:23.800 --> 00:00:25.800]  不是我特意要去說些什麼
[00:00:25.800 --> 00:00:29.800]  而是上帝就在這個這麼特別的時間
[00:00:29.800 --> 00:00:31.800]  當大家都能夠再回來
[00:00:31.800 --> 00:00:33.800]  是因為這個疫情的緣故
[00:00:33.800 --> 00:00:35.800]  或者環境的緣故
[00:00:35.800 --> 00:00:39.800]  令到我們都要分開了
[00:00:39.800 --> 00:00:44.800]  我們都很難會有一些很親密的關係
[00:00:44.800 --> 00:00:47.800]  但是上帝卻是透過這邊的道的時候
[00:00:47.800 --> 00:00:50.800]  再一次提醒我們每一個
[00:00:50.800 --> 00:00:52.800]  其實在上帝裡面的時候
[00:00:52.800 --> 00:00:54.800]  我們這份合一是怎麼樣
[00:00:54.800 --> 00:00:56.800]  特別今天給點掌聲
[00:00:56.800 --> 00:00:58.800]  一班剛剛受贈的頂尖會員
[00:00:58.800 --> 00:01:00.800]  我們歡迎他們
[00:01:00.800 --> 00:01:05.800]  帶著一個新的身份
[00:01:05.800 --> 00:01:07.800]  在眾人面前透過受洗
[00:01:07.800 --> 00:01:09.800]  你願意加入這個身體
[00:01:09.800 --> 00:01:12.800]  這個是非常重要的
[00:01:12.800 --> 00:01:15.800]  所以當我們今天再看這段經文的時候
[00:01:15.800 --> 00:01:18.800]  我希望我不是只是想和大家去說
[00:01:18.800 --> 00:01:20.800]  一個很離地
[00:01:20.800 --> 00:01:22.800]  很抽空的一個訊息
[00:01:22.800 --> 00:01:24.800]  因為你是基督的身體
[00:01:24.800 --> 00:01:25.800]  所以你就要合一
[00:01:25.800 --> 00:01:26.800]  不是
[00:01:26.800 --> 00:01:28.800]  我想和大家分享的時候
[00:01:28.800 --> 00:01:30.800]  就是聖經裡面說合一
[00:01:30.800 --> 00:01:33.800]  但是最重要你要知道
[00:01:33.800 --> 00:01:35.800]  我們基於什麼合一
[00:01:35.800 --> 00:01:38.800]  我們基於什麼合一
[00:01:38.800 --> 00:01:39.800]  這個才是更加重要
[00:01:39.800 --> 00:01:40.800]  所以我特地將這個講題
[00:01:40.800 --> 00:01:44.800]  寫為歸入基督的合一
[00:01:44.800 --> 00:01:47.800]  我要一針見血地告訴大家
[00:01:47.800 --> 00:01:48.800]  今天你成為基督徒
[00:01:48.800 --> 00:01:51.800]  你是歸入基督的身體裡面
[00:01:51.800 --> 00:01:54.800]  是基督裡面的一部分
[00:01:55.800 --> 00:01:56.800]  說不出前書
[00:01:56.800 --> 00:01:58.800]  如果當大家有時間去翻讀
[00:01:58.800 --> 00:01:59.800]  或者你讀過幾次的時候
[00:01:59.800 --> 00:02:00.800]  是很實在
[00:02:00.800 --> 00:02:03.800]  說不出教會是一間多才多藝
[00:02:03.800 --> 00:02:04.800]  很有資源
[00:02:04.800 --> 00:02:07.800]  但是卻是很多問題的教會
[00:02:07.800 --> 00:02:10.800]  當時他們分黨分派四分五裂
[00:02:10.800 --> 00:02:12.800]  教會無論在教會生活
[00:02:12.800 --> 00:02:14.800]  或者是書生活裡面都混亂不堪
[00:02:14.800 --> 00:02:18.800]  信徒他們每一個人都追求個人的卓越
[00:02:18.800 --> 00:02:21.800]  去追求顯眼被人稱讚
[00:02:21.800 --> 00:02:23.800]  令人羨慕的恩賜
[00:02:24.800 --> 00:02:26.800]  當時哥倫多教會就是這個情況
[00:02:26.800 --> 00:02:31.800]  所以他們就寫信過去尋求保羅的幫助
[00:02:31.800 --> 00:02:35.800]  保羅就先後寫了幾封書信過去回應
[00:02:35.800 --> 00:02:38.800]  這封書信裡面的時候
[00:02:38.800 --> 00:02:40.800]  保羅用了很多篇幅
[00:02:40.800 --> 00:02:43.800]  所以如果你想了解究竟一個教會裡面
