
[00:00:00.000 --> 00:00:06.800]  多謝天父再一次讓我們能夠在晚上
[00:00:06.800 --> 00:00:08.640]  雖然開始有點寒冷了
[00:00:08.640 --> 00:00:10.560]  但是我們都可以安坐家中
[00:00:10.560 --> 00:00:12.180]  還有在禮拜堂這裡
[00:00:12.180 --> 00:00:14.680]  來去查考《馬拉基書》
[00:00:14.680 --> 00:00:20.560]  很盼望一個比較短 還有相當長
[00:00:20.560 --> 00:00:24.560]  已經很多年的一些舊約的經卷
[00:00:24.560 --> 00:00:29.640]  我們可以掌握裡面的教導和那個精髓
[00:00:29.640 --> 00:00:33.680]  使得我們能夠在我們自己新約的時代
[00:00:33.680 --> 00:00:35.680]  耶穌基督還沒有回來之前
[00:00:35.680 --> 00:00:39.280]  我們能夠在教會的生活
[00:00:39.280 --> 00:00:42.140]  特別是那個侍奉的態度
[00:00:42.140 --> 00:00:46.340]  敬拜的心靈 能夠蒙主的喜悅
[00:00:46.340 --> 00:00:48.760]  願祢帶領我們大家的心
[00:00:48.760 --> 00:00:50.560]  更加讓我們能夠看到
[00:00:50.560 --> 00:00:54.120]  其實有很多的地方是沒有福音的
[00:00:54.120 --> 00:00:56.780]  很盼望神自己來到去工作
[00:00:56.780 --> 00:00:59.700]  興起弟兄姊妹在不同的教會
[00:00:59.700 --> 00:01:04.260]  不同的地方一起為神的福音去效力
[00:01:04.260 --> 00:01:06.060]  我們這樣仰望禱告
[00:01:06.060 --> 00:01:09.640]  奉耶穌基督的名 阿們
[00:01:09.640 --> 00:01:13.040]  可能我們用這次和下一次
[00:01:13.040 --> 00:01:16.300]  就完了這個《馬拉基書》
[00:01:16.300 --> 00:01:19.000]  就可以回去看新約
[00:01:19.000 --> 00:01:21.480]  還有因為關乎到末世
[00:01:21.480 --> 00:01:25.280]  都會仔細地看看末世論
[00:01:25.280 --> 00:01:27.360]  有不同的神學主張
[00:01:27.360 --> 00:01:29.740]  那個就不是絕對的
[00:01:29.740 --> 00:01:34.940]  但是在這個《帖撒萊尼加前後書》
[00:01:34.940 --> 00:01:37.920]  就是看聖保羅在早期傳道
[00:01:37.920 --> 00:01:42.840]  很明顯是第二次他的傳道旅遊報導的時候
[00:01:42.840 --> 00:01:47.720]  那個事蹟和那個對教會
[00:01:47.720 --> 00:01:50.020]  一個受苦難的教會
