
[00:00:00.000 --> 00:00:06.000]  在《舊約聖經》新明記30章11至20節
[00:00:06.000 --> 00:00:08.000]  請聽我讀出經文
[00:00:09.000 --> 00:00:11.000]  我今日所吩咐你的誡明
[00:00:11.000 --> 00:00:15.000]  對你並不困難,又不太遠
[00:00:15.000 --> 00:00:17.000]  不自在天上,使你說
[00:00:17.000 --> 00:00:21.000]  誰為我們上天,去取來給我們
[00:00:21.000 --> 00:00:23.000]  使我們聽了可以進行呢?
[00:00:23.000 --> 00:00:27.000]  又不自在海的那邊,使你說
[00:00:27.000 --> 00:00:31.000]  誰為我們渡海到另一邊,去取來給我們
[00:00:31.000 --> 00:00:34.000]  使我們聽了可以進行呢?
[00:00:34.000 --> 00:00:36.000]  因這話離你很近
[00:00:36.000 --> 00:00:41.000]  就在你口中,在你心裡,使你可以進行
[00:00:41.000 --> 00:00:46.000]  看,我今日將生死禍福擺在你面前
[00:00:46.000 --> 00:00:48.000]  我今日所吩咐你的
[00:00:48.000 --> 00:00:50.000]  就是要愛耶和華你的神
[00:00:50.000 --> 00:00:55.000]  遵行他的道,謹守他的誡明、律例、典章
[00:00:55.000 --> 00:00:58.000]  使你可以存活、增多
[00:00:58.000 --> 00:01:00.000]  而且耶和華你的神
[00:01:00.000 --> 00:01:02.000]  必在你所要進去得遺孽的地上
[00:01:02.000 --> 00:01:04.000]  賜福給你
[00:01:04.000 --> 00:01:07.000]  可若你的心偏離,不肯聽從
[00:01:07.000 --> 00:01:11.000]  卻被引誘敬拜別神,去侍奉他們
[00:01:11.000 --> 00:01:13.000]  我今日向你們申明
[00:01:13.000 --> 00:01:15.000]  你們必定滅亡
[00:01:15.000 --> 00:01:18.000]  在你過了大河,進去得遺孽的地上
[00:01:18.000 --> 00:01:20.000]  你的日子必不長久
[00:01:20.000 --> 00:01:24.000]  我今日呼天喚地,向你作見證
[00:01:24.000 --> 00:01:26.000]  我已經將生與死
[00:01:26.000 --> 00:01:29.000]  祝福與詛咒擺在你面前
[00:01:29.000 --> 00:01:31.000]  所以你要揀選生命
[00:01:31.000 --> 00:01:35.000]  好使你和你的後裔都得存活
[00:01:35.000 --> 00:01:37.000]  要愛耶和華你的神
[00:01:37.000 --> 00:01:40.000]  聽從他的話,緊緊跟隨他
[00:01:40.000 --> 00:01:42.000]  因為他是你的生命
[00:01:42.000 --> 00:01:44.000]  必使你的日子得以長久
