
[00:00:00.000 --> 00:00:03.200]  他的信息是保羅的禱告
[00:00:03.200 --> 00:00:04.800]  在宣導之前
[00:00:04.800 --> 00:00:06.700]  有一段經文我會讀出的
[00:00:06.700 --> 00:00:12.400]  就是在《已忽所書》第一章15到23節
[00:00:12.400 --> 00:00:17.400]  如果是本堂的聖經是第293頁
[00:00:17.400 --> 00:00:22.800]  《已忽所書》第一章15到23節
[00:00:22.800 --> 00:00:24.600]  找到的時候請聽我讀
[00:00:24.600 --> 00:00:27.000]  一章15節
[00:00:27.000 --> 00:00:32.000]  因此我既然聽見你們對主耶穌有信心
[00:00:32.000 --> 00:00:34.600]  對眾聖徒有愛心
[00:00:34.600 --> 00:00:37.600]  就不住地為你們感謝神
[00:00:37.600 --> 00:00:41.000]  禱告的時候常常提到你們
[00:00:41.000 --> 00:00:43.500]  求我們主耶穌基督的神
[00:00:43.500 --> 00:00:45.000]  榮耀的父
[00:00:45.000 --> 00:00:49.800]  把那賜人智慧和啟示的靈賜給你們
[00:00:49.800 --> 00:00:52.600]  使你們真正認識他
[00:00:52.600 --> 00:00:55.200]  照亮你們心中的眼睛
[00:00:55.200 --> 00:00:58.000]  使你們知道他呼召你們
[00:00:58.000 --> 00:01:00.600]  來得的指望是什麼
[00:01:00.600 --> 00:01:06.000]  他在聖徒中所得榮耀的基業是何等豐盛
[00:01:06.000 --> 00:01:09.600]  並知道他向我們這些信的人
[00:01:09.600 --> 00:01:12.800]  所顯的能力是何等浩大
[00:01:12.800 --> 00:01:16.800]  這是照他的大能大力運行的
[00:01:16.800 --> 00:01:20.400]  這大能曾運行在基督身上
[00:01:20.400 --> 00:01:22.800]  使他從死人中復活
[00:01:22.800 --> 00:01:26.800]  又使他在天上坐在自己的右邊
[00:01:26.800 --> 00:01:33.200]  遠超越一切執政的、掌權的、有權能的、統治的
[00:01:33.200 --> 00:01:35.200]  和一切有名號的
[00:01:35.200 --> 00:01:37.200]  不但是今世
[00:01:37.200 --> 00:01:40.400]  連來世的也都超越了
[00:01:40.400 --> 00:01:43.400]  神使萬有服在他的腳下
[00:01:43.400 --> 00:01:47.600]  又使他為了教會作萬有之首
[00:01:47.600 --> 00:01:50.000]  教會是他的身體
[00:01:50.000 --> 00:01:53.600]  是那充滿萬有者所充滿的
[00:01:53.600 --> 00:01:55.600]  請吳傳道
[00:01:55.600 --> 00:02:00.600]  
[00:02:00.600 --> 00:02:03.600]  各位弟兄姊妹,主禮平安
[00:02:03.600 --> 00:02:07.000]  今天跟大家講道
[00:02:07.000 --> 00:02:10.000]  講道呢,保羅的一個祈禱
[00:02:10.000 --> 00:02:12.000]  講道真認識耶穌
[00:02:12.000 --> 00:02:14.400]  令我想起一些事情
[00:02:14.400 --> 00:02:17.200]  我有讓我兒子學鋼琴
[00:02:17.200 --> 00:02:20.600]  我兒子七歲,他學的時候應該是五歲多六歲
[00:02:20.600 --> 00:02:24.000]  學的時候學了幾個音
[00:02:24.000 --> 00:02:26.800]  然後他就跟別人說
[00:02:26.800 --> 00:02:28.800]  我會彈鋼琴的
[00:02:28.800 --> 00:02:30.800]  那他是不是真的會彈鋼琴呢
[00:02:30.800 --> 00:02:32.800]  不是,小朋友很流行的
[00:02:32.800 --> 00:02:35.200]  他會一點點就會告訴你,我會的
[00:02:35.200 --> 00:02:38.000]  但是老師考他的時候
[00:02:38.000 --> 00:02:40.200]  他彈幾個音,彈不到
[00:02:40.200 --> 00:02:42.800]  或者掉手了,掉手了就發脾氣了
[00:02:42.800 --> 00:02:45.400]  他是不是真的認識呢
[00:02:45.400 --> 00:02:47.000]  其實又不是的
