
[00:00:00.000 --> 00:00:02.000]  我讀出以下經文
[00:00:02.000 --> 00:00:10.000]  記載在已忽所書第四章一至三節和十一至十六節
[00:00:10.000 --> 00:00:18.000]  已忽所書第四章一至三節和十一至十六節
[00:00:18.000 --> 00:00:23.000]  《商行本聖經》在新約第二百九十六頁
[00:00:23.000 --> 00:00:26.000]  新約二百九十六頁
[00:00:26.000 --> 00:00:33.000]  《商行本聖經》
[00:00:33.000 --> 00:00:38.000]  我為主作囚徒的勸你們
[00:00:38.000 --> 00:00:42.000]  既然蒙召行事為人
[00:00:42.000 --> 00:00:46.000]  就要與你們所蒙的呼召相稱
[00:00:46.000 --> 00:00:51.000]  凡事要謙虛、溫柔、忍耐
[00:00:51.000 --> 00:00:54.000]  用愛心互相寬容
[00:00:54.000 --> 00:00:58.000]  以和平彼此聯繫
[00:00:58.000 --> 00:01:03.000]  竭力保持聖靈所賜的合一
[00:01:03.000 --> 00:01:05.000]  十一節
[00:01:05.000 --> 00:01:11.000]  他所賜的有仕徒、有先知、有傳福音的
[00:01:11.000 --> 00:01:14.000]  有牧者和教師
[00:01:14.000 --> 00:01:18.000]  為要裝備聖徒做侍奉的工作
[00:01:18.000 --> 00:01:21.000]  建立基督的身體
[00:01:21.000 --> 00:01:26.000]  直等到我們眾人在信仰上同歸於一
[00:01:26.000 --> 00:01:28.000]  認識神的兒子
[00:01:28.000 --> 00:01:30.000]  得以長大成人
[00:01:30.000 --> 00:01:34.000]  達到基督完全成長的新娘
[00:01:34.000 --> 00:01:38.000]  這樣我們不再作小孩子
[00:01:38.000 --> 00:01:42.000]  中了人的詭計和欺騙的法術
[00:01:42.000 --> 00:01:45.000]  被一切邪說之風搖動
[00:01:45.000 --> 00:01:47.000]  飄來飄去
[00:01:47.000 --> 00:01:51.000]  我們反而要用愛心說誠實話
[00:01:51.000 --> 00:01:54.000]  各方面向著基督長進
[00:01:54.000 --> 00:01:58.000]  連於元首基督
[00:01:58.000 --> 00:02:01.000]  靠著他全身都連接緊湊
[00:02:01.000 --> 00:02:04.000]  八節各按各跡
[00:02:04.000 --> 00:02:07.000]  照著各體的功用彼此相助
[00:02:07.000 --> 00:02:10.000]  使身體漸漸增長
[00:02:10.000 --> 00:02:13.000]  在愛中建立自己
[00:02:13.000 --> 00:02:15.000]  我們感謝神
[00:02:15.000 --> 00:02:18.000]  今天有本堂的義務傳道
[00:02:18.000 --> 00:02:21.000]  陳一華牧師在我們當中正道
[00:02:21.000 --> 00:02:23.000]  他今天的講題是
[00:02:23.000 --> 00:02:26.000]  土神喜悅的侍奉
[00:02:26.000 --> 00:02:28.000]  現在恭請陳牧師進堂
[00:02:28.000 --> 00:02:38.000]  陳一華牧師:各位節目友早安
[00:02:38.000 --> 00:02:41.000]  很久沒有見到牧師了
[00:02:41.000 --> 00:02:43.000]  因為過去一個月
[00:02:43.000 --> 00:02:46.000]  都感謝天父給我有機會
[00:02:46.000 --> 00:02:49.000]  去到美國的地方
