
[00:00:00.000 --> 00:00:04.000]  耶穌看見這許多的人就上了山,
[00:00:04.000 --> 00:00:07.000]  基爾坐下,門徒到他跟前來,
[00:00:07.000 --> 00:00:10.000]  他就開口教訓他們,說:
[00:00:10.000 --> 00:00:14.000]  "虛心的人有福了,因為天國是他們的;
[00:00:14.000 --> 00:00:19.000]  哀悼的人有福了,因為他們必得安慰;
[00:00:19.000 --> 00:00:24.000]  溫柔的人有福了,因為他們必承受土地;
[00:00:24.000 --> 00:00:29.000]  飢渴無虞的人有福了,因為他們必得飽足;
[00:00:29.000 --> 00:00:34.000]  憐恤人的人有福了,因為他們必蒙憐憫;
[00:00:34.000 --> 00:00:39.000]  清心的人有福了,因為他們必得見神;
[00:00:39.000 --> 00:00:44.000]  祭祖和平的人有福了,因為他們必稱為神的兒子;
[00:00:44.000 --> 00:00:49.000]  為異受迫害的人有福了,因為天國是他們的。"
[00:00:49.000 --> 00:00:54.000]  經文讀筆,現在將時間交給蔣全導。
[00:00:54.000 --> 00:01:08.000]  (字幕:陳志全)
[00:01:08.000 --> 00:01:15.000]  各位弟妹,不知道大家在這段時間里的經歷如何,
[00:01:15.000 --> 00:01:20.000]  或者是當下你們的狀態如何。
[00:01:20.000 --> 00:01:27.000]  有時作為傳道人,有時有困難傳什麼道呢?
[00:01:27.000 --> 00:01:33.000]  在不同的處境,不同的局面之中都願主幫助。
[00:01:33.000 --> 00:01:38.000]  特別是在這段時間里,我相信這段經文都成為一個很大的安慰。
[00:01:38.000 --> 00:01:45.000]  在耶穌在山上,這段經文可能大家都相當熟悉,
[00:01:45.000 --> 00:01:49.000]  我們都會俗稱為一個八福的經文。
[00:01:49.000 --> 00:01:52.000]  也有不同的翻譯,所以剛才你讀的時候,
[00:01:52.000 --> 00:01:56.000]  可能和合本、和秋本或者其他本上,
[00:01:56.000 --> 00:02:01.000]  對於天國的子民的特質的形容都有不同。
[00:02:01.000 --> 00:02:06.000]  但無論如何,在上帝的角度當中,
