
[00:00:00.000 --> 00:00:05.000]  今日有本堂傳道人李淑琴姑娘在您中間靜悟
[00:00:05.000 --> 00:00:08.000]  李姑娘的題目是「父親的抉擇」
[00:00:08.000 --> 00:00:14.000]  經文是記載在《創世記》二十二章一至十九節
[00:00:14.000 --> 00:00:20.000]  「這些事以後,神考驗阿伯拉罕對他說
[00:00:20.000 --> 00:00:24.000]  阿伯拉罕他說:我在這裡
[00:00:24.000 --> 00:00:32.000]  神說:你要帶你的兒子,就是你所愛的獨生子耳撒往摩利亞地去
[00:00:32.000 --> 00:00:38.000]  在我指示你的一座山上,把他獻為凡濟
[00:00:38.000 --> 00:00:41.000]  阿伯拉罕清早起來,預備了籠
[00:00:41.000 --> 00:00:46.000]  帶著跟他一起的兩個僕人和他兒子耳撒
[00:00:46.000 --> 00:00:54.000]  劈好了凡濟的柴,就起身往神指示他的地方去了
[00:00:54.000 --> 00:00:59.000]  到了第三日,阿伯拉罕舉目遙望那地方
[00:00:59.000 --> 00:01:04.000]  阿伯拉罕對他的僕人說:你們和奴留在這裡
[00:01:04.000 --> 00:01:11.000]  我和孩子要去那裡敬拜,然後回到你們這裡來
[00:01:11.000 --> 00:01:16.000]  阿伯拉罕把凡濟的柴放在兒子耳撒身上
[00:01:16.000 --> 00:01:21.000]  自己手裡拿著火與刀,於是二人同行
[00:01:21.000 --> 00:01:25.000]  耳撒對他父親阿伯拉罕說:
[00:01:25.000 --> 00:01:30.000]  我父啊!阿伯拉罕說:我兒我在這裡
[00:01:30.000 --> 00:01:36.000]  耳撒說:看那!火與柴都有了,但凡濟的羔羊在哪裡呢?
[00:01:36.000 --> 00:01:42.000]  阿伯拉罕說:我兒,神必自己預備凡濟的羔羊
[00:01:42.000 --> 00:01:45.000]  於是二人同行
[00:01:45.000 --> 00:01:51.000]  他們到了神指示他的地方,阿伯拉罕在那裡捉柴
[00:01:51.000 --> 00:01:58.000]  把柴擺好,綁了他兒子耳撒,放在柴的柴上
[00:01:58.000 --> 00:02:03.000]  阿伯拉罕就伸手拿刀,要殺他的兒子
[00:02:03.000 --> 00:02:07.000]  耶華的使者從天上呼喚他說:
[00:02:07.000 --> 00:02:12.000]  阿伯拉罕!阿伯拉罕!說:我在這裡
[00:02:12.000 --> 00:02:19.000]  天使說:不可在這孩子身上下手,一點也不可傷害他
[00:02:19.000 --> 00:02:23.000]  現在我知道你是敬畏神的人了
[00:02:23.000 --> 00:02:30.000]  因為你沒有把你的兒子,就是你的獨子,留下不給我
[00:02:30.000 --> 00:02:37.000]  阿伯拉罕舉目觀看,看那一隻公綿羊兩角,存在灌木叢中
