
[00:00:00.000 --> 00:00:02.000]  大姐妹早晨
[00:00:02.000 --> 00:00:08.000]  每次回來宣導會講到我都feel at home
[00:00:08.000 --> 00:00:13.000]  我穆少驊還戴著宣導會領帶
[00:00:13.000 --> 00:00:19.000]  今天能夠在主日裏跟大家一起思考 成立話語
[00:00:19.000 --> 00:00:24.000]  剛才那段經文其實是很難解的
[00:00:24.000 --> 00:00:29.000]  我相信你看完之後或許不是太明白
[00:00:29.000 --> 00:00:34.000]  所以我必須要用一些時間解釋
[00:00:34.000 --> 00:00:40.000]  這段經文跟第三章所講很有關係
[00:00:40.000 --> 00:00:43.000]  我們沒時間再看第三章
[00:00:43.000 --> 00:00:47.000]  我將這段經文的主要原因
[00:00:47.000 --> 00:00:50.000]  為何會寫這段經文
[00:00:50.000 --> 00:00:54.000]  這段經文提到有兩個安息
[00:00:54.000 --> 00:01:00.000]  第一個安息是以色列人沒有去到 沒有進入
[00:01:00.000 --> 00:01:05.000]  然後上帝再提另一個安息
[00:01:05.000 --> 00:01:11.000]  這點剛才你讀經文的時候大致上可以掌握得到
[00:01:11.000 --> 00:01:13.000]  我們現在就問
[00:01:13.000 --> 00:01:19.000]  為何上帝在路中起誓不讓他們進入安息
[00:01:19.000 --> 00:01:22.000]  這段經文我們不再讀了
[00:01:22.000 --> 00:01:35.000]  這段經文提到原來以色列人在埃及圍爐的時候很慘
[00:01:35.000 --> 00:01:38.000]  他們沒有身份 他們是廉價勞工
[00:01:38.000 --> 00:01:44.000]  他們被埃及人虐待 被法律當他們是牛是馬
[00:01:44.000 --> 00:01:52.000]  結果他們向上帝呼求 上帝聽到他們的哀聲 看到他們的辛勞
[00:01:52.000 --> 00:01:57.000]  就差遣摩西帶領他們離開埃及
[00:01:57.000 --> 00:02:01.000]  就應許說有一個流乃與物之地
[00:02:01.000 --> 00:02:08.000]  你進入那裡 離開埃及 去到那裡 你就可以得到安息
[00:02:08.000 --> 00:02:10.000]  這段歷史大家很熟悉
[00:02:10.000 --> 00:02:16.000]  於是他們就離開埃及 經歷很多神跡奇事
[00:02:16.000 --> 00:02:21.000]  但是還沒有進入流乃與物之地
[00:02:21.000 --> 00:02:24.000]  上帝就已經發怒了 為什麼呢
[00:02:24.000 --> 00:02:29.000]  因為在曠野的時候 他們發現很艱苦
[00:02:29.000 --> 00:02:32.000]  沒有東西吃 神給他們馬拿
[00:02:32.000 --> 00:02:34.000]  沒有肉吃 神給他們鵪鶉
[00:02:34.000 --> 00:02:36.000]  但是他們吃到嘴都歪了
[00:02:36.000 --> 00:02:40.000]  他們覺得在曠野的生活不好
[00:02:40.000 --> 00:02:46.000]  後來上帝樣樣要什麼給什麼 去到哪一界
[00:02:46.000 --> 00:02:53.000]  於是就跟他們說 你派探子進入這個地方
[00:02:53.000 --> 00:02:57.000]  看看是不是流乃與物之地
[00:02:57.000 --> 00:03:03.000]  探子看完之後 回來就說 果然是流乃與物之地
[00:03:03.000 --> 00:03:07.000]  但是他們的報告 全部都不是說流乃與物之地
[00:03:07.000 --> 00:03:12.000]  是說那些人又大又厲害 科技又進步
[00:03:12.000 --> 00:03:16.000]  因為加南人已經懂得煉鐵
[00:03:16.000 --> 00:03:21.000]  以色列人不懂 他們最厲害的是野煉銅
[00:03:21.000 --> 00:03:23.000]  熨熨鐵 沒得打的
