
[00:00:00.000 --> 00:00:04.920]  《目擊神學院院長 閃日新牧師為我們來證道》
[00:00:04.920 --> 00:00:09.880]  經文出處是二弗所書第二章14-16字
[00:00:09.880 --> 00:00:11.080]  請聽我讀
[00:00:11.080 --> 00:00:16.200]  他 因為他自己是我們的和平
[00:00:16.200 --> 00:00:18.520]  使雙方合而為一
[00:00:18.520 --> 00:00:22.640]  拆毀了中間間段 間絕的牆
[00:00:22.640 --> 00:00:26.680]  而且以自己的身體終止了冤仇
[00:00:26.680 --> 00:00:30.200]  廢掉那既在律法上的規條
[00:00:30.200 --> 00:00:34.480]  為要使兩方借著自己造成一個新人
[00:00:34.480 --> 00:00:36.480]  促成了和平
[00:00:36.480 --> 00:00:39.920]  既在十字架上消滅了冤仇
[00:00:39.920 --> 00:00:43.800]  就藉這十字架使雙方歸為一體
[00:00:43.800 --> 00:00:45.440]  與神和好
[00:00:45.440 --> 00:00:47.800]  讀經完畢
[00:00:47.800 --> 00:00:50.760]  邀請閃日新牧師上台證道
[00:00:50.760 --> 00:00:51.360]  謝謝
[00:00:51.360 --> 00:00:56.360]  (錄影開始)
[00:00:56.360 --> 00:01:01.360]  (錄影結束)
[00:01:01.360 --> 00:01:06.360]  (錄影開始)
[00:01:06.360 --> 00:01:11.360]  (錄影結束)
[00:01:33.840 --> 00:01:37.040]  各位錦瑟堂的頂尖姐妹早安
[00:01:37.040 --> 00:01:38.560]  也各位來賓早安
[00:01:38.560 --> 00:01:41.360]  大家一起招呼一下
[00:01:41.360 --> 00:01:43.400]  今天很有幸來到當中
[00:01:43.400 --> 00:01:44.440]  不單止分享訊息
[00:01:44.440 --> 00:01:46.360]  還可以參加聖餐
[00:01:46.360 --> 00:01:48.840]  剛才蔣博還分享了餅
[00:01:48.840 --> 00:01:50.640]  還有頂尖姐妹分享了杯
[00:01:50.640 --> 00:01:52.160]  所以也感受到
[00:01:52.160 --> 00:01:54.280]  雖然很多頂尖姐妹或來賓
[00:01:54.280 --> 00:01:55.760]  都是第一次見面
[00:01:55.760 --> 00:01:58.200]  但剛才今天的主題是
[00:01:58.200 --> 00:02:00.560]  基督是我們的和睦的時候
[00:02:00.560 --> 00:02:01.960]  其實我想
[00:02:01.960 --> 00:02:03.680]  剛才頂尖姐妹的行動
[00:02:03.680 --> 00:02:06.040]  已經將訊息帶出來
[00:02:06.040 --> 00:02:07.840]  我們來自不同的背景
