
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹主裡平安
[00:00:02.000 --> 00:00:04.000]  和大家一起祈禱
[00:00:04.000 --> 00:00:08.640]  多謝主再一次恭謹的等候在您的面前
[00:00:08.640 --> 00:00:11.760]  我們眾人包括講的
[00:00:11.760 --> 00:00:14.400]  我們每一位弟兄姊妹的心靈
[00:00:14.400 --> 00:00:18.000]  都來到去靜心聆聽您的聖言
[00:00:18.000 --> 00:00:20.320]  我們能夠有信心
[00:00:20.320 --> 00:00:22.560]  真的好像主耶穌所講的
[00:00:22.560 --> 00:00:24.960]  要有兒孫的信心
[00:00:24.960 --> 00:00:26.960]  這樣來到去等候
[00:00:26.960 --> 00:00:30.480]  我們的禱告奉耶穌基督的名
[00:00:30.480 --> 00:00:31.520]  阿們
[00:00:31.520 --> 00:00:35.200]  這段聖經發生的場景時間
[00:00:35.200 --> 00:00:39.200]  是主耶穌在最後的壽蘭州
[00:00:39.200 --> 00:00:42.080]  祂騎驢入城
[00:00:42.080 --> 00:00:46.880]  這是第一到第十節的經文告訴我們
[00:00:46.880 --> 00:00:52.000]  作者很清楚聚焦了在聖殿裡面發生的
[00:00:52.000 --> 00:00:56.480]  當然是兩天左右的事件
[00:00:56.480 --> 00:00:58.480]  然後中間夾雜的
[00:00:58.480 --> 00:01:03.200]  就是祂每晚都離開聖殿耶路撒冷
[00:01:03.200 --> 00:01:05.200]  去到伯大利
[00:01:05.200 --> 00:01:08.720]  伯大利是離開耶路撒冷六公里路
[00:01:08.720 --> 00:01:10.720]  所以不是很久
[00:01:10.720 --> 00:01:12.720]  祂就在伯大利
[00:01:12.720 --> 00:01:14.720]  似乎就是在拉薩路
[00:01:14.720 --> 00:01:15.840]  馬大
[00:01:15.840 --> 00:01:18.560]  馬尼亞的家裡居住
[00:01:18.560 --> 00:01:22.000]  每天早上就入城
[00:01:22.000 --> 00:01:25.520]  來到聖殿教訓百姓
[00:01:25.520 --> 00:01:26.720]  如是者
[00:01:26.720 --> 00:01:28.240]  壽蘭州七天
[00:01:28.240 --> 00:01:30.240]  最後在逾越節前
[00:01:30.240 --> 00:01:31.760]  就被捉拿
[00:01:31.760 --> 00:01:34.240]  然後當然是審問
[00:01:34.240 --> 00:01:36.240]  然後就被掛十字架
[00:01:36.240 --> 00:01:38.720]  作者馬可
[00:01:38.720 --> 00:01:41.760]  將幾段本來分開的經文
[00:01:41.760 --> 00:01:43.760]  聚在一起
[00:01:43.760 --> 00:01:47.040]  就帶出有多震撼的訊息
[00:01:47.040 --> 00:01:49.040]  值得我們今天去想一想
[00:01:49.040 --> 00:01:51.680]  我們的教會生活
[00:01:51.680 --> 00:01:53.840]  是不是能夠有果效
[00:01:53.840 --> 00:01:55.360]  結出果子
[00:01:55.360 --> 00:01:57.360]  好像主耶穌所說
[00:01:57.360 --> 00:02:00.720]  主耶穌在廿四節提到
[00:02:00.720 --> 00:02:02.720]  我們求什麼
[00:02:02.720 --> 00:02:04.720]  一定可以得著
[00:02:04.720 --> 00:02:06.720]  廿三節更加誇張
[00:02:06.720 --> 00:02:09.200]  可以移山的信心
[00:02:09.200 --> 00:02:10.480]  如果你有
[00:02:10.480 --> 00:02:12.160]  你就可以移山了
[00:02:12.160 --> 00:02:14.000]  這些經文的背景
[00:02:14.000 --> 00:02:16.000]  我們要梳理一下
[00:02:16.000 --> 00:02:17.760]  變成我們知道
[00:02:17.760 --> 00:02:20.880]  似乎不可以按字面解釋
[00:02:20.880 --> 00:02:23.680]  我們再一次看回第十一節
[00:02:23.680 --> 00:02:26.640]  就有更準確的背景
[00:02:26.640 --> 00:02:29.920]  因為作者在這裡特記載
[00:02:29.920 --> 00:02:32.960]  其他三卷福音書都沒有提及這件事
[00:02:32.960 --> 00:02:36.560]  就是當主耶穌騎驢仔入城的時候
[00:02:36.560 --> 00:02:38.880]  是以君王的身份
[00:02:38.880 --> 00:02:41.840]  因為當時有很多猶太人
[00:02:41.840 --> 00:02:46.800]  尤其是一些很想推翻羅馬政權的
[00:02:46.800 --> 00:02:49.120]  一些粉瑞黨的人
[00:02:49.120 --> 00:02:51.120]  或者一些祭司
[00:02:51.120 --> 00:02:54.160]  他們一直都很耿耿於懷
[00:02:54.160 --> 00:02:58.080]  自己的民族要在羅馬帝國底下
[00:02:58.080 --> 00:03:00.400]  成為了神文
[00:03:00.400 --> 00:03:03.280]  所以有分封的王希律
[00:03:03.280 --> 00:03:05.760]  和有巡撫比拉多
[00:03:05.760 --> 00:03:07.440]  在這裡治理
[00:03:07.440 --> 00:03:09.440]  只不過是一個行政區
[00:03:09.440 --> 00:03:10.880]  猶太人自己
[00:03:10.880 --> 00:03:12.880]  所以是亡國的
[00:03:12.880 --> 00:03:16.080]  所以有一個這麼重要的
[00:03:16.080 --> 00:03:19.760]  稱自己為尼塞亞的耶穌出現
[00:03:19.760 --> 00:03:24.000]  他們就會將他們擁戴的王
[00:03:24.000 --> 00:03:26.800]  投放在耶穌的身上
[00:03:26.800 --> 00:03:29.280]  壓住在耶穌的身上
[00:03:29.280 --> 00:03:31.440]  所以他們認為
[00:03:31.440 --> 00:03:34.560]  逾越節應該會有大事發生
[00:03:34.560 --> 00:03:36.560]  所以在這個禮拜裡面
[00:03:36.560 --> 00:03:40.480]  是相當轟動當時的節日
[00:03:40.480 --> 00:03:42.000]  在這個時候
[00:03:42.000 --> 00:03:45.520]  主耶穌在第十一節告訴我們
[00:03:45.520 --> 00:03:49.360]  靜靜地進入聖殿
[00:03:49.360 --> 00:03:52.560]  周圍看了各樣的物件
[00:03:52.560 --> 00:03:54.240]  天色已晚
[00:03:54.240 --> 00:03:56.800]  就和十二個門徒出城
[00:03:56.800 --> 00:03:58.800]  往伯大利去了
[00:03:58.800 --> 00:04:01.200]  尤其是作者強調
[00:04:01.200 --> 00:04:05.040]  他自己和十二個使徒
[00:04:05.040 --> 00:04:07.040]  去到聖殿
[00:04:07.040 --> 00:04:08.720]  不是聚會的期間
[00:04:08.720 --> 00:04:10.720]  因為已經是黃昏了
[00:04:10.720 --> 00:04:12.400]  他看了周圍
[00:04:12.400 --> 00:04:14.560]  似乎摸了一下一些物件
[00:04:14.560 --> 00:04:15.680]  然後
[00:04:15.680 --> 00:04:17.520]  當然他沒有進入聖殿裡面
