
[00:00:00.000 --> 00:00:03.000]  現在我們一起祈禱
[00:00:03.000 --> 00:00:09.440]  感恩天父讓我們在晚上再次有茶經的時間
[00:00:09.440 --> 00:00:13.380]  幫助我們對於撒加利亞書有明白
[00:00:13.380 --> 00:00:15.580]  有一個掌握
[00:00:15.580 --> 00:00:20.380]  特別是對整卷書一個大脈絡的掌握
[00:00:20.380 --> 00:00:22.280]  願神帶領我們
[00:00:22.280 --> 00:00:26.220]  讓我們有足夠的身心靈的力量去瞭解
[00:00:26.220 --> 00:00:27.300]  去明白
[00:00:27.300 --> 00:00:29.500]  奉主耶穌基督的名
[00:00:29.500 --> 00:00:31.360]  阿們
[00:00:31.360 --> 00:00:33.900]  好,我們恢復
[00:00:33.900 --> 00:00:38.080]  撒加利亞書一到第七章
[00:00:38.080 --> 00:00:40.060]  是有八個異象
[00:00:40.060 --> 00:00:41.760]  是很工整的
[00:00:41.760 --> 00:00:45.880]  先用異象來講解
[00:00:45.880 --> 00:00:51.400]  撒加利亞先知所得到的啓示
[00:00:51.400 --> 00:00:55.160]  然後第八章一直到十四章
[00:00:55.160 --> 00:00:58.120]  都是有另外的
[00:00:58.120 --> 00:01:00.080]  他得到的預言
[00:01:00.080 --> 00:01:02.800]  和一些教導
[00:01:02.800 --> 00:01:07.040]  所以現在就穿插在這八個異象裡面
[00:01:07.040 --> 00:01:10.960]  但是原來又是一個信息
[00:01:10.960 --> 00:01:17.640]  重點都是神重新來看顧
[00:01:17.640 --> 00:01:22.560]  或者說保守耶路撒冷
[00:01:22.560 --> 00:01:24.400]  得到的重建
[00:01:24.400 --> 00:01:30.760]  和耶路撒冷會有昔日的興旺
[00:01:30.760 --> 00:01:35.360]  我們可以透過這八個異象
[00:01:35.360 --> 00:01:40.160]  再看看神如何去關顧
[00:01:40.160 --> 00:01:43.280]  重新去賜福給祂的子民
[00:01:43.280 --> 00:01:45.480]  我們看過第一個異象
[00:01:45.480 --> 00:01:49.440]  就是有一隊騎馬的騎兵
[00:01:49.440 --> 00:01:50.920]  當然是天使
[00:01:50.920 --> 00:01:52.360]  因為是異象
[00:01:52.360 --> 00:01:55.480]  尤其是強調騎紅馬
[00:01:55.480 --> 00:01:59.920]  這樣來向神懇求
[00:01:59.920 --> 00:02:04.000]  你何時再眷顧耶路撒冷呢
[00:02:04.000 --> 00:02:07.000]  神就搭這一個騎紅馬
[00:02:07.000 --> 00:02:09.120]  另外第二個異象就是
[00:02:09.120 --> 00:02:10.680]  那個四角
[00:02:10.680 --> 00:02:13.160]  其實重點是四個像人
[00:02:13.160 --> 00:02:15.400]  就是說耶路撒冷
[00:02:15.400 --> 00:02:18.440]  是真真正正得到重建的
[00:02:18.440 --> 00:02:22.280]  神要來保守這個工程
[00:02:22.280 --> 00:02:24.280]  其實已經開始了
[00:02:24.280 --> 00:02:25.920]  這個本來是豆腐渣
[00:02:25.920 --> 00:02:29.400]  本來是一個爛尾的工程
[00:02:29.400 --> 00:02:31.520]  現在是重新建造的
[00:02:31.520 --> 00:02:34.720]  這是大理污黃的第二年的時間
[00:02:34.720 --> 00:02:39.120]  現在撒加利亞就是第二年的九月
[00:02:39.120 --> 00:02:40.920]  他得到的默示
[00:02:40.920 --> 00:02:44.040]  第三個異象就是
[00:02:44.040 --> 00:02:49.280]  他見到有一個人在量度
[00:02:49.280 --> 00:02:54.120]  轉而引出神
[00:02:54.120 --> 00:02:58.480]  應許整個耶路撒冷會得到保護
[00:02:58.480 --> 00:03:01.440]  因為神就是那個火城
[00:03:01.440 --> 00:03:02.960]  就是那個城牆
[00:03:02.960 --> 00:03:08.680]  而且還是用神作為他自己的火來保護
[00:03:08.680 --> 00:03:10.200]  所以不是焚燒
[00:03:10.200 --> 00:03:11.480]  是一個保護
[00:03:11.480 --> 00:03:13.400]  是神的屬性
[00:03:13.400 --> 00:03:18.120]  這是第三個異象給我們見到的
[00:03:18.120 --> 00:03:25.080]  接著就是有那個呼喚來求神
[00:03:25.080 --> 00:03:31.560]  神就說我會成為耶路撒冷眼中的瞳人
[00:03:31.560 --> 00:03:33.440]  他是那個Apple
[00:03:33.440 --> 00:03:39.960]  就是他一定會留意管理保守這個城
[00:03:39.960 --> 00:03:41.360]  所以你會見到
[00:03:41.360 --> 00:03:45.320]  一直都是從那個環境
[00:03:45.320 --> 00:03:49.640]  從那個物質讓人去看到
[00:03:49.640 --> 00:03:51.440]  就是讀者
[00:03:51.440 --> 00:03:55.880]  看到神現在重新眷顧耶路撒冷
[00:03:55.880 --> 00:03:57.920]  就在外圍
[00:03:57.920 --> 00:04:00.200]  有些騎兵在那裡看著
[00:04:00.200 --> 00:04:02.440]  周圍的人來到走來走去
[00:04:02.440 --> 00:04:06.760]  接著有四個像人的那個回標重建
[00:04:06.760 --> 00:04:13.720]  接著又有神自己作為那個火城
[00:04:13.720 --> 00:04:18.040]  因為那個地方已經涼度了
[00:04:18.040 --> 00:04:20.240]  不需要有城牆
[00:04:20.240 --> 00:04:21.800]  因為足夠的大
[00:04:21.800 --> 00:04:26.280]  神來到去成為那個地方的保護
[00:04:26.280 --> 00:04:29.440]  一直都見到是這樣描述
[00:04:29.440 --> 00:04:35.920]  在那個好像讓我們能夠從那個異象裡面
[00:04:35.920 --> 00:04:37.920]  好像一幅一幅的圖畫
[00:04:37.920 --> 00:04:42.600]  一幅你能夠想象得到的那個景象
[00:04:42.600 --> 00:04:44.920]  來到第四個異象
[00:04:44.920 --> 00:04:49.880]  很特別的就是不再是物質的那個物理的環境
[00:04:49.880 --> 00:04:56.120]  就是不是外圍遠遠地看耶路撒冷
[00:04:56.120 --> 00:04:58.000]  現在是進入聖殿
[00:04:58.000 --> 00:05:02.960]  因為大祭司約書亞就在聖殿裡面
[00:05:02.960 --> 00:05:06.480]  接著第四張就是所羅巴伯
[00:05:06.480 --> 00:05:16.080]  就是說祭司和領袖首領來到去
[00:05:16.080 --> 00:05:19.840]  都被擺在異象裡面
[00:05:19.840 --> 00:05:25.560]  而且都是正面地來扶持他們
[00:05:25.560 --> 00:05:32.120]  能夠肩負起那個聖跡的工作
[00:05:32.120 --> 00:05:35.920]  第三張天使又子給我看
[00:05:35.920 --> 00:05:39.240]  所以是一連串的異象
[00:05:39.240 --> 00:05:42.080]  是一個緊接另外一個的
[00:05:42.080 --> 00:05:44.480]  所以如果之前那三個
[00:05:44.480 --> 00:05:50.120]  就是從一個很遙遠的望去耶路撒冷
[00:05:50.120 --> 00:05:54.000]  這次就不再只是普通的耶路撒冷
[00:05:54.000 --> 00:05:58.920]  而是耶路撒冷裡面最重要的侍奉人員
[00:05:58.920 --> 00:06:00.600]  就是大祭司
[00:06:00.600 --> 00:06:02.600]  天使又子給我看
[00:06:02.600 --> 00:06:07.320]  大祭司約書亞站在耶和華的使者面前
[00:06:07.320 --> 00:06:13.760]  撒旦也站在約書亞的右邊與他作對
[00:06:13.760 --> 00:06:17.000]  大家想想那個畫面
[00:06:17.000 --> 00:06:19.920]  約書亞知不知道撒旦在他旁邊
[00:06:19.920 --> 00:06:21.480]  在他的右邊
[00:06:21.480 --> 00:06:25.680]  在他的左邊就是耶和華的使者
[00:06:25.680 --> 00:06:28.920]  天使是子給撒加利亞看的
[00:06:28.920 --> 00:06:33.080]  撒加利亞當然一邊看一邊聽
[00:06:33.080 --> 00:06:35.200]  因為第二節
[00:06:35.200 --> 00:06:37.480]  耶和華向撒旦說
[00:06:37.480 --> 00:06:40.320]  撒旦啊 耶和華責備你
