
[00:00:00.000 --> 00:00:02.320]  可以健康些 開心些
[00:00:02.320 --> 00:00:05.000]  不要那麼多問題發生
[00:00:05.000 --> 00:00:06.760]  問題就不是你那個問題
[00:00:06.760 --> 00:00:11.080]  而是怎樣去減少一些心理的問題
[00:00:11.080 --> 00:00:12.600]  精神的問題
[00:00:12.600 --> 00:00:15.000]  甚至是身體健康的問題
[00:00:15.000 --> 00:00:18.960]  今天我會有些多少少的內容
[00:00:18.960 --> 00:00:20.920]  去給大家都很關注的
[00:00:20.920 --> 00:00:22.600]  在座都很多是
[00:00:22.600 --> 00:00:25.560]  有青年人 亦都有些好像我這樣
[00:00:25.560 --> 00:00:26.800]  中年人
[00:00:26.800 --> 00:00:30.560]  都開始留意身體健康
[00:00:30.560 --> 00:00:31.880]  這個是很寶貴的
[00:00:31.880 --> 00:00:34.480]  亦都是和我們信仰很吻合的
[00:00:34.480 --> 00:00:35.680]  信仰應該怎樣?
[00:00:35.680 --> 00:00:37.600]  照顧自己應該怎樣?
[00:00:37.600 --> 00:00:40.680]  要好好對自己身體的健康
[00:00:40.680 --> 00:00:42.680]  要愛惜甚麼?
[00:00:42.680 --> 00:00:45.200]  愛惜妻子
[00:00:45.200 --> 00:00:46.560]  妻子是自己要愛
[00:00:46.560 --> 00:00:49.880]  是 要愛身子
[00:00:49.880 --> 00:00:51.480]  即不是說不愛你的家人
[00:00:51.480 --> 00:00:53.720]  不是不愛你的工作
[00:00:53.720 --> 00:00:55.440]  不愛你的生命
[00:00:55.440 --> 00:00:57.040]  不愛你的生活
[00:00:57.040 --> 00:00:59.880]  更加重要你做到這些事要愛惜身子
[00:00:59.880 --> 00:01:01.640]  即身體要強健
[00:01:01.640 --> 00:01:02.920]  要好
[00:01:02.920 --> 00:01:05.600]  不單止有生命氣息
[00:01:05.600 --> 00:01:07.040]  還要懂得行 懂得走
[00:01:07.040 --> 00:01:08.480]  懂得吃飯 懂得睡覺
[00:01:08.480 --> 00:01:12.320]  不用人照顧自己可以周圍去
[00:01:12.320 --> 00:01:14.880]  這樣才可以怎樣?
[00:01:14.880 --> 00:01:16.040]  (照顧自己)
[00:01:16.040 --> 00:01:18.400]  可以活出生命 是嗎?
[00:01:18.400 --> 00:01:20.760]  活出我們的標題就是
[00:01:20.760 --> 00:01:22.560]  豐盛 成功的生命
[00:01:22.560 --> 00:01:26.320]  這個亦都是上帝給我們有生命的
[00:01:26.320 --> 00:01:28.080]  其中一個在地上這幾十年
[00:01:28.080 --> 00:01:31.840]  我們要好好管理好我們的身體健康
[00:01:31.840 --> 00:01:34.040]  亦都管理好我們的心理
[00:01:34.040 --> 00:01:35.360]  我們的腦袋
[00:01:35.360 --> 00:01:37.480]  我們的精神健康
[00:01:37.480 --> 00:01:40.160]  和我們怎樣面對我們的壓力
[00:01:40.160 --> 00:01:42.800]  衝擊 困難
[00:01:42.800 --> 00:01:46.720]  我想一會兒PowerPoint準備好之後
[00:01:46.720 --> 00:01:47.920]  我想大家想一下
[00:01:47.920 --> 00:01:50.520]  你是一個甚麼性格的人
[00:01:50.520 --> 00:01:53.400]  平時你是怎樣想事 怎樣做事
[00:01:53.400 --> 00:01:54.920]  你是一個怎樣的人
[00:01:54.920 --> 00:01:57.280]  無論你有沒有新樣
[00:01:57.280 --> 00:01:58.400]  你結了婚沒有
[00:01:58.400 --> 00:01:59.360]  你家裏有甚麼人
[00:01:59.360 --> 00:02:00.200]  你做甚麼工作
[00:02:00.200 --> 00:02:02.600]  其實都可能有少少影響
[00:02:02.600 --> 00:02:05.520]  但其實你本身是一個怎樣的人
[00:02:05.520 --> 00:02:07.720]  是否三歲還是八十呢?
[00:02:07.720 --> 00:02:09.000]  你問我呢
[00:02:09.000 --> 00:02:10.480]  這句說話都對的
[00:02:10.480 --> 00:02:14.640]  三歲都猜到你八十歲的性格
[00:02:14.640 --> 00:02:17.120]  我現在看回我見的人
[00:02:17.120 --> 00:02:18.080]  問他小時候
[00:02:18.080 --> 00:02:20.800]  其實我循例問的
[00:02:20.800 --> 00:02:23.280]  我其實猜到他小時候是怎樣的
[00:02:23.280 --> 00:02:24.880]  他小學怎樣 中學怎樣
[00:02:24.880 --> 00:02:26.400]  現在見到一個大學生
[00:02:26.400 --> 00:02:30.920]  其實我看回都多數猜到一半以上
[00:02:30.920 --> 00:02:33.160]  多數都接近
