
[00:00:00.000 --> 00:00:02.500]  當烏西亞黃崩的那年,
[00:00:02.500 --> 00:00:05.800]  我看見主坐在高高的寶座上,
[00:00:05.800 --> 00:00:08.900]  祂的衣裳下擺遮門靜電,
[00:00:08.900 --> 00:00:11.000]  像有撒拉弗時勒,
[00:00:11.000 --> 00:00:12.600]  各有六個翅膀,
[00:00:12.600 --> 00:00:14.400]  兩個翅膀遮臉,
[00:00:14.400 --> 00:00:16.200]  兩個翅膀遮腳,
[00:00:16.200 --> 00:00:18.100]  兩個翅膀飛翔,
[00:00:18.100 --> 00:00:19.700]  彼此呼喊說:
[00:00:19.700 --> 00:00:22.200]  「聖哉!聖哉!聖哉!」
[00:00:22.200 --> 00:00:23.900]  萬軍千野和華,
[00:00:23.900 --> 00:00:26.600]  祂的榮光遍滿全地,
[00:00:26.600 --> 00:00:28.600]  因呼喊者的聲音,
[00:00:28.600 --> 00:00:30.600]  門欄的根基震動,
[00:00:30.600 --> 00:00:33.000]  電裡充滿了煙雲。
[00:00:33.000 --> 00:00:34.500]  那時我說:
[00:00:34.500 --> 00:00:37.000]  「禍災,我滅亡了。」
[00:00:37.000 --> 00:00:39.500]  因為我是嘴唇不潔的人,
[00:00:39.500 --> 00:00:42.000]  住在嘴唇不潔的民中,
[00:00:42.000 --> 00:00:44.900]  又因我親眼看見大君王,
[00:00:44.900 --> 00:00:46.800]  萬軍千野和華,
[00:00:46.800 --> 00:00:49.800]  又有一撒拉弗向我飛來,
[00:00:49.800 --> 00:00:52.400]  手裡拿著燒紅的炭,
[00:00:52.400 --> 00:00:55.600]  是用火拳從炭上取下來的,
[00:00:55.600 --> 00:00:57.400]  用炭煎我的口,
[00:00:57.400 --> 00:01:01.200]  說:「看!這炭煎了你的嘴唇,
[00:01:01.200 --> 00:01:03.200]  你的罪孽便除掉,
[00:01:03.200 --> 00:01:05.800]  你的罪惡就赦免了。」
[00:01:05.800 --> 00:01:09.200]  感謝神!今晚有本堂傳道同工,
[00:01:09.200 --> 00:01:12.000]  曾問姑娘在我們中間的傳道,
[00:01:12.000 --> 00:01:13.600]  她的講題是:
[00:01:13.600 --> 00:01:16.000]  「佩德榮耀稱頌的主。」
[00:01:16.000 --> 00:01:18.600]  以在恭請曾姑娘正道。
[00:01:19.600 --> 00:01:21.600]  (掌聲)
[00:01:22.600 --> 00:01:24.600]  (掌聲)
[00:01:25.600 --> 00:01:27.600]  (掌聲)
[00:01:27.600 --> 00:01:29.600]  (掌聲)
[00:01:29.600 --> 00:01:32.600]  今晚很感動,
[00:01:32.600 --> 00:01:36.600]  那些詩歌,無論是回頌的詩歌,
[00:01:36.600 --> 00:01:38.800]  或者是詩班獻情的詩歌,
[00:01:38.800 --> 00:01:40.600]  都是非常感人的。
[00:01:40.600 --> 00:01:42.600]  感謝著詩班帶來我們
[00:01:42.600 --> 00:01:44.600]  有一個很美好的獻情,
[00:01:44.600 --> 00:01:46.600]  令到我自己很懷念,
[00:01:46.600 --> 00:01:48.600]  都不知道多少年前,
[00:01:48.600 --> 00:01:50.200]  在讀神學的時候,
[00:01:50.200 --> 00:01:53.200]  還可以唱詩班的那些美景,
[00:01:53.200 --> 00:01:55.600]  當時覺得很享受。
[00:01:55.600 --> 00:01:58.600]  我想唱詩班很享受,
[00:01:58.600 --> 00:02:00.600]  因為過程不只是
[00:02:00.600 --> 00:02:04.600]  可以用上帝給我們的聲音,
[00:02:04.600 --> 00:02:06.600]  能夠唱很美好的詩歌,
[00:02:06.600 --> 00:02:08.600]  可以宣講很好的訊息,
[00:02:08.600 --> 00:02:10.600]  有一個過程,
[00:02:10.600 --> 00:02:13.600]  其實詩班和靖英姐妹和回頌一樣,
[00:02:13.600 --> 00:02:18.600]  我們在那裡獻情咀唇和心靈的祭,
[00:02:18.600 --> 00:02:21.600]  我們一同去敬拜讚美這位上帝,
[00:02:21.600 --> 00:02:23.600]  這個神真的很佩德,
[00:02:23.600 --> 00:02:25.600]  我們去敬拜讚美的。
[00:02:25.600 --> 00:02:27.600]  今晚很想去講一下,
[00:02:27.600 --> 00:02:30.600]  這個我們去敬拜的對象,
[00:02:30.600 --> 00:02:32.600]  是一位怎樣的神呢?
[00:02:32.600 --> 00:02:35.600]  在這裡我們開始再有一個禱告,
[00:02:35.600 --> 00:02:42.600]  天父上帝,我們感謝祢,
[00:02:42.600 --> 00:02:45.600]  不嫌棄我們的卑微,
[00:02:45.600 --> 00:02:49.600]  竟然讓我們一群這麼微小的人,
[00:02:49.600 --> 00:02:51.600]  可以來祢的面前,
[00:02:51.600 --> 00:02:54.600]  獻上咀唇和心靈的祭。
[00:02:54.600 --> 00:02:57.600]  天父求祢今晚開我們的眼睛,
[00:02:57.600 --> 00:03:00.600]  讓我們看到祢,聽到祢的聲音,
[00:03:00.600 --> 00:03:03.600]  願聖靈給我們有同一個感動,
[00:03:03.600 --> 00:03:07.600]  讓我們曉得神祢的心意是什麼,
[00:03:07.600 --> 00:03:09.600]  給我們有悉切的回應,
[00:03:09.600 --> 00:03:13.600]  願祢得盡一切當德的榮耀和重讚,
[00:03:13.600 --> 00:03:16.600]  奉耶穌基督的名字祈禱,
[00:03:16.600 --> 00:03:17.600]  阿們。
[00:03:17.600 --> 00:03:23.600]  我今天要講的是佩德榮耀稱頌的神,
[00:03:23.600 --> 00:03:29.600]  為什麼我們說這位上帝是佩德榮耀稱頌的呢?
[00:03:29.600 --> 00:03:32.600]  第一件事,透過今晚的經文,
