
[00:00:00.000 --> 00:00:02.720]  感恩我們再一次在晚上
[00:00:02.720 --> 00:00:06.080]  我們可以有恢復黃馬書的《查經班》
[00:00:06.080 --> 00:00:10.180]  求天父讓我們能夠對經文有認識
[00:00:10.180 --> 00:00:14.980]  也讓我們能夠對保羅所說的整傳的福音
[00:00:14.980 --> 00:00:18.680]  這個神的義是怎樣運作
[00:00:18.680 --> 00:00:23.400]  還有我們一直這樣去研習的時候
[00:00:23.400 --> 00:00:28.400]  我們自己都是深受神的話語的激勵、感動
[00:00:28.400 --> 00:00:31.740]  還有我們真的可以在人生裏面
[00:00:31.740 --> 00:00:36.660]  去為主的真理、為福音來效力
[00:00:36.660 --> 00:00:40.380]  求主幫助、仰望、感恩、禱告
[00:00:40.380 --> 00:00:44.160]  奉耶穌基督的名 阿們
[00:00:44.160 --> 00:00:47.540]  好 我們先開這個檔案
[00:00:47.540 --> 00:00:49.620]  我們來到第五講
[00:00:49.620 --> 00:00:52.760]  其實一直都在說一個大的課題
[00:00:52.760 --> 00:00:54.300]  就是神的義
[00:00:54.300 --> 00:00:59.140]  神的義其實由第1章16節
[00:00:59.140 --> 00:01:04.920]  嚴格來說應該延伸到第4章結尾
[00:01:04.920 --> 00:01:09.800]  當然比較重要的關鍵的約句
[00:01:09.800 --> 00:01:15.820]  就是3章21節這個段落的轉變
[00:01:15.820 --> 00:01:19.080]  所以我們可以逐段去看
[00:01:19.080 --> 00:01:22.420]  一個大的成卷書、一個總的主題
[00:01:22.420 --> 00:01:27.760]  肯定是保羅很想羅馬教會來支持他
[00:01:27.760 --> 00:01:32.560]  對這個世界、對萬民的宣教
[00:01:32.560 --> 00:01:33.740]  即是傳福音
[00:01:33.740 --> 00:01:38.480]  因為唯有福音可以改變和拯救萬民
[00:01:38.480 --> 00:01:41.620]  所以羅馬的教會要明白
[00:01:41.620 --> 00:01:45.300]  第一章很明顯就是一個引言
[00:01:45.300 --> 00:01:51.480]  就是很想羅馬教會認識保羅試圖的身份
[00:01:51.480 --> 00:01:56.280]  所以這個位份他是神特選的使徒
[00:01:56.280 --> 00:01:59.060]  特派他去傳福音
[00:01:59.060 --> 00:02:02.240]  而且特別是向外邦人傳福音
[00:02:02.240 --> 00:02:06.020]  這些大家在過去透過《四道行傳》
[00:02:06.020 --> 00:02:08.660]  或者其他的書信都有提到
[00:02:08.660 --> 00:02:11.560]  在羅馬書一開始就開宗明義說
[00:02:11.560 --> 00:02:14.920]  他是特派去傳神國的福音
[00:02:14.920 --> 00:02:18.300]  接著就說那個福音到底是什麼內容呢?
[00:02:18.300 --> 00:02:24.160]  就是神在舊約透過眾仙支已經有默示
[00:02:24.160 --> 00:02:26.460]  有那個啟示
[00:02:26.460 --> 00:02:29.200]  直至耶穌基督的降生
[00:02:29.200 --> 00:02:36.520]  就讓這個福音正正式式成為人類的盼望
[00:02:36.520 --> 00:02:42.380]  福音其實就是講到主耶穌的降生、受死
[00:02:42.380 --> 00:02:46.380]  祂的復活和祂的永活
[00:02:46.380 --> 00:02:49.580]  所以我們要傳揚的就是這位
[00:02:49.580 --> 00:02:52.320]  叫人得到生命的耶穌基督
[00:02:52.320 --> 00:02:59.320]  接著保羅就提到他自己和羅馬教會的關係
[00:02:59.320 --> 00:03:03.000]  就是他很想切切地去到他們中間
[00:03:03.000 --> 00:03:05.940]  要將他自己一些的屬靈的恩賜
[00:03:05.940 --> 00:03:07.460]  和他們去分享
[00:03:07.460 --> 00:03:11.100]  使得他們見到保羅的時候
[00:03:11.100 --> 00:03:14.200]  又可以同得信心和安慰
[00:03:14.200 --> 00:03:18.880]  接著他們又可以繼續支持保羅
[00:03:18.880 --> 00:03:24.280]  向西班牙傳道宣教的使命
[00:03:24.280 --> 00:03:28.260]  所以保羅就一直切務地去
[00:03:28.260 --> 00:03:30.020]  但是有難阻
[00:03:30.020 --> 00:03:32.340]  所以他又等候神的時間
[00:03:32.340 --> 00:03:36.180]  希望能夠有一個平坦的道路
[00:03:36.180 --> 00:03:38.500]  去到羅馬
[00:03:38.500 --> 00:03:41.760]  這個是保羅他想講的原因
[00:03:41.760 --> 00:03:43.100]  就是第十五節
[00:03:43.100 --> 00:03:46.880]  因為他是一個欠債者
[00:03:46.880 --> 00:03:50.280]  他很想要還這個福音的債
[00:03:50.280 --> 00:03:53.620]  無論是什麼人
[00:03:53.620 --> 00:03:55.240]  他都欠他們的債
[00:03:55.240 --> 00:04:00.500]  情願都來將這個福音都傳給他們
