
[00:00:00.000 --> 00:00:01.400]  好, 兄弟姐妹午安
[00:00:01.400 --> 00:00:04.680]  今日跟大家一起分享
[00:00:04.680 --> 00:00:06.680]  我都有一個習慣
[00:00:06.680 --> 00:00:11.000]  我每一次都想花一點時間
[00:00:11.000 --> 00:00:14.080]  去跟大家讀一個另外的版本
[00:00:14.080 --> 00:00:15.680]  目的是第一
[00:00:15.680 --> 00:00:18.880]  這些版本會令大家更加明白這段英文講什麼
[00:00:18.880 --> 00:00:23.600]  第二是我想不斷去引誘大家
[00:00:23.600 --> 00:00:29.880]  請大家用三至四餐快餐店的平價午餐價錢
[00:00:29.880 --> 00:00:31.880]  多買一本聖經
[00:00:31.880 --> 00:00:36.440]  讓你讀聖經時不要經常覺得看不明白
[00:00:36.440 --> 00:00:40.760]  而是我想講上帝給了很多恩典讓我們可以看得明白
[00:00:40.760 --> 00:00:43.320]  花一點時間專心聽我讀
[00:00:43.320 --> 00:00:45.320]  有一個版本叫新普及版
[00:00:45.320 --> 00:00:47.320]  是剛才那段英文
[00:00:47.320 --> 00:00:51.000]  從前我認為這些事肯定有價值
[00:00:51.000 --> 00:00:54.280]  但現在我因基督所成就的
[00:00:54.280 --> 00:00:58.520]  就把他們都看為毫無價值了
[00:00:58.520 --> 00:01:01.080]  是的, 相比之下
[00:01:01.080 --> 00:01:04.840]  認識我主耶穌基督才是無價之寶
[00:01:04.840 --> 00:01:07.720]  其他的事都毫無價值
[00:01:07.720 --> 00:01:12.120]  我為了祂的緣故已經拋棄了一切
[00:01:12.120 --> 00:01:14.840]  把這一切都看作是垃圾
[00:01:14.840 --> 00:01:17.160]  好讓我能得著基督
[00:01:17.160 --> 00:01:19.160]  與祂合而為一
[00:01:19.160 --> 00:01:23.880]  我不再依靠自己通過遵守律法而得來的義
[00:01:23.880 --> 00:01:27.800]  而是通過相信基督而成為義人
[00:01:27.800 --> 00:01:32.440]  因為上帝使我們跟祂恢復正確關係的方法
[00:01:32.440 --> 00:01:34.440]  取決於信心
[00:01:34.440 --> 00:01:36.440]  我希望認識基督
[00:01:36.440 --> 00:01:41.560]  並且體驗那使祂從死人中復活的莫大能力
[00:01:41.560 --> 00:01:44.600]  我希望能跟祂一同受苦
[00:01:44.600 --> 00:01:46.600]  一同赴死
[00:01:46.600 --> 00:01:50.840]  好讓自己無論怎樣都能經歷從死人中復活
