
[00:00:00.000 --> 00:00:03.400]  今日正道的經文是記載在
[00:00:03.400 --> 00:00:08.800]  路加福音分別是五章一至十一節
[00:00:08.800 --> 00:00:11.800]  六章十二至十六節
[00:00:11.800 --> 00:00:16.400]  以及二十二章三十一至三十四節
[00:00:16.400 --> 00:00:17.600]  感謝神
[00:00:17.600 --> 00:00:20.200]  今日有我們本堂的堂主任
[00:00:20.200 --> 00:00:23.000]  曾銳桂牧師在我們當中正道
[00:00:23.000 --> 00:00:26.200]  講題是一條從未走過的路
[00:00:26.200 --> 00:00:28.400]  各位弟兄姊妹早晨
[00:00:28.400 --> 00:00:31.200]  我們一起來祈禱
[00:00:31.200 --> 00:00:33.200]  親愛的恩主
[00:00:33.200 --> 00:00:36.400]  我們今早再一次等候
[00:00:36.400 --> 00:00:38.400]  來到在你的面前
[00:00:38.400 --> 00:00:42.400]  我們也有剛才的守聖餐時間
[00:00:42.400 --> 00:00:45.800]  我們能夠領受神莫大的恩典
[00:00:45.800 --> 00:00:48.800]  我們很盼望今早的訊息
[00:00:48.800 --> 00:00:51.400]  特別是對於使徒彼得
[00:00:51.400 --> 00:00:52.800]  他的經歷
[00:00:52.800 --> 00:00:58.200]  他人生與主耶穌不同的片段的關係
[00:00:58.200 --> 00:01:00.200]  都讓我們自己
[00:01:00.200 --> 00:01:02.600]  能夠透過聖靈的感動
[00:01:02.600 --> 00:01:05.800]  聖靈的恩高在我們的心靈裏面
[00:01:05.800 --> 00:01:07.800]  讓我們有啟發
[00:01:07.800 --> 00:01:09.800]  有反思的空間
[00:01:09.800 --> 00:01:12.800]  一齊的來到去走人生的道路
[00:01:12.800 --> 00:01:16.600]  願主帶領我們在你面前等候
[00:01:16.600 --> 00:01:18.800]  奉耶穌基督的名
[00:01:18.800 --> 00:01:20.200]  阿們
[00:01:20.200 --> 00:01:22.000]  先用一個例子
[00:01:22.000 --> 00:01:23.800]  開始今日的引言
[00:01:23.800 --> 00:01:25.800]  有一位宣教士
[00:01:25.800 --> 00:01:27.800]  在東非的宣教士
[00:01:27.800 --> 00:01:29.800]  叫做Philip Cowler
[00:01:29.800 --> 00:01:31.800]  他寫了一本很小的書
[00:01:31.800 --> 00:01:33.800]  詩篇23篇
[00:01:33.800 --> 00:01:36.800]  原來他自己年青的時候
[00:01:36.800 --> 00:01:40.800]  他有一個很大的一個牧場
