
[00:00:00.000 --> 00:00:01.200]  嘉恩樓的弟兄姊妹
[00:00:01.200 --> 00:00:02.240]  主女兒平安
[00:00:02.240 --> 00:00:05.800]  又看到有很多新面孔是未見過的
[00:00:05.800 --> 00:00:07.480]  非常感謝神
[00:00:07.480 --> 00:00:10.800]  盼望大家繼續可以在神的家裡
[00:00:10.800 --> 00:00:13.080]  一起成長
[00:00:13.080 --> 00:00:15.800]  我們開始簡單的祈禱
[00:00:15.800 --> 00:00:17.200]  多謝主
[00:00:17.200 --> 00:00:20.000]  今早我們能夠敬拜祢
[00:00:20.000 --> 00:00:25.240]  也有剛才我們眾人來到神的面前
[00:00:25.240 --> 00:00:27.080]  去守聖餐
[00:00:27.200 --> 00:00:30.560]  紀念耶穌基督十字架犧牲的愛
[00:00:30.560 --> 00:00:32.040]  我們感謝主
[00:00:32.040 --> 00:00:34.560]  今早當我們聚集
[00:00:34.560 --> 00:00:38.280]  剛才我們也看到有我們的小朋友
[00:00:38.280 --> 00:00:41.360]  和我們一起來敬拜唱詩
[00:00:41.360 --> 00:00:44.800]  他們現在分開了在另外的房間
[00:00:44.800 --> 00:00:47.080]  有聖經的教導
[00:00:47.080 --> 00:00:50.680]  天父我們盼望我們的信仰
[00:00:50.680 --> 00:00:53.280]  能夠讓我們自己
[00:00:53.280 --> 00:00:54.440]  我們的家人
[00:00:54.720 --> 00:00:57.240]  我們的下一代的小朋友
[00:00:57.240 --> 00:00:59.040]  能夠認識
[00:00:59.040 --> 00:01:00.400]  聽明白
[00:01:00.400 --> 00:01:04.320]  對你有他個人的信心
[00:01:04.320 --> 00:01:06.760]  和生命的改變
[00:01:06.760 --> 00:01:09.080]  我們將今早的講道
[00:01:09.080 --> 00:01:10.720]  來仰望
[00:01:10.720 --> 00:01:14.520]  當我們打開生命記這段聖經的時候
[00:01:14.520 --> 00:01:18.920]  求祢讓我們能夠在生命裡有學習
[00:01:18.920 --> 00:01:22.960]  真的透過摩西臨終末後的說話
[00:01:23.400 --> 00:01:26.200]  語重心長地來訓練的時候
[00:01:26.200 --> 00:01:32.040]  讓我們感覺到當時氣氛的凝重和重要
[00:01:32.040 --> 00:01:35.400]  叫我們大家一起不要掉以輕心
