
[00:00:00.000 --> 00:00:02.000]  和大家一起祈禱
[00:00:02.000 --> 00:00:04.000]  (字幕:Sarah)
[00:00:05.000 --> 00:00:09.000]  天父愛尼,雖然天氣不是那麼穩定
[00:00:09.000 --> 00:00:12.000]  但也感謝您讓我們有晚上
[00:00:12.000 --> 00:00:16.000]  一起在不同地方聚集
[00:00:16.000 --> 00:00:20.000]  也可能有些人在稍後透過一些紀錄
[00:00:20.000 --> 00:00:24.000]  YouTube的一些紀錄來聽信息
[00:00:24.000 --> 00:00:29.000]  我們很盼望能夠透過這樣來保存
[00:00:29.000 --> 00:00:32.000]  可以使得更多弟兄姊妹
[00:00:32.000 --> 00:00:35.000]  甚至來自不同國家的弟兄姊妹
[00:00:35.000 --> 00:00:39.000]  能夠聽到一些簡單的宗教改革的信息
[00:00:39.000 --> 00:00:44.000]  可能引發大家有不同的思想或者言讀
[00:00:44.000 --> 00:00:49.000]  使這個運動不是一個已經過去了的
[00:00:49.000 --> 00:00:56.000]  而是我們不斷可以在信仰上有那個屬靈的更新
[00:00:56.000 --> 00:00:58.000]  因為所謂的宗教改革
[00:00:58.000 --> 00:01:01.000]  其實就是生命的更新的運動
[00:01:01.000 --> 00:01:03.000]  一個心靈的重整
[00:01:03.000 --> 00:01:09.000]  不過是一個整個當時歐洲的宗教信仰
[00:01:09.000 --> 00:01:11.000]  生命的重整
[00:01:11.000 --> 00:01:13.000]  所以也盼望神給我們
[00:01:13.000 --> 00:01:16.000]  既然已經來到我們中國人的社區
[00:01:16.000 --> 00:01:18.000]  來到香港
[00:01:18.000 --> 00:01:21.000]  我們華人有我們很獨特的傳統
[00:01:21.000 --> 00:01:27.000]  盼望我們去掉那些跟傳統不是最直接的關係
[00:01:27.000 --> 00:01:29.000]  而是信仰的核心
[00:01:29.000 --> 00:01:31.000]  我們能夠把持
[00:01:31.000 --> 00:01:35.000]  尤其是當初最重要的恩信、清義
[00:01:35.000 --> 00:01:39.000]  這個客觀、被動的義
[00:01:39.000 --> 00:01:44.000]  是神主動將救恩藉著愛子賜給我們的
[00:01:44.000 --> 00:01:46.000]  給我們每一個時代
[00:01:46.000 --> 00:01:50.000]  每一個信的人牢牢地抓住
[00:01:50.000 --> 00:01:53.000]  我們真的賴以得救的
[00:01:53.000 --> 00:01:55.000]  都不是我們的功勞
[00:01:55.000 --> 00:01:57.000]  不是我們的好行為
[00:01:57.000 --> 00:01:59.000]  是神無條件的救恩
[00:01:59.000 --> 00:02:01.000]  幫助我們能夠明白
[00:02:01.000 --> 00:02:04.000]  我們今天晚上會說的人物
[00:02:04.000 --> 00:02:07.000]  都給我們能夠對他有一些的認識
[00:02:07.000 --> 00:02:10.000]  可能其實都不是可能
[00:02:10.000 --> 00:02:14.000]  是已經淹沒在歷史的長河
[00:02:14.000 --> 00:02:18.000]  但是多謝主給我們有一些的書籍
[00:02:18.000 --> 00:02:21.000]  尤其是宗教歷史的書籍
[00:02:21.000 --> 00:02:23.000]  我們可以透過當時代的人
[00:02:23.000 --> 00:02:26.000]  對他們的描述、記錄
[00:02:26.000 --> 00:02:28.000]  我們後世的人能夠知道
[00:02:28.000 --> 00:02:30.000]  當然有更多的基督徒
[00:02:30.000 --> 00:02:34.000]  更多的可能沒有那麼出名的
[00:02:34.000 --> 00:02:36.000]  已經是我們不知道的了
[00:02:36.000 --> 00:02:38.000]  因為沒有記錄到
[00:02:38.000 --> 00:02:40.000]  幫助我們能夠認識
[00:02:40.000 --> 00:02:42.000]  也給我們有思想、有反省
[00:02:42.000 --> 00:02:47.000]  我們怎樣能夠留給後世有那個記憶
[00:02:47.000 --> 00:02:52.000]  有那個我們的擺上為神國度的福音
[00:02:52.000 --> 00:02:55.000]  因為每一個時代都是那麼短暫
[00:02:55.000 --> 00:02:57.000]  我們的人生都是那麼有限
[00:02:57.000 --> 00:02:59.000]  怎樣留給後世
[00:02:59.000 --> 00:03:02.000]  真是值得我們大家一起去思想的
