
[00:00:00.000 --> 00:00:08.820]  多謝主讓我們今天晚上又恢復回來一起去研讀聖經啟示錄這一卷書卷
[00:00:08.820 --> 00:00:11.560]  求祢都帶領我們大家的心靈
[00:00:11.560 --> 00:00:14.560]  讓我們都準備好去明白
[00:00:14.560 --> 00:00:21.200]  尋求的去知道應該怎樣去在這個應用上
[00:00:21.200 --> 00:00:23.200]  在我們大家的生活
[00:00:23.200 --> 00:00:26.480]  雖然是已經二千年前的作品
[00:00:26.480 --> 00:00:31.680]  留到今天都是有上主的保守和美意
[00:00:31.680 --> 00:00:36.080]  要歷世歷代的教會看到這些預言
[00:00:36.080 --> 00:00:39.480]  去遵守、去警醒、去等候的
[00:00:39.480 --> 00:00:41.280]  求主幫助我們
[00:00:41.280 --> 00:00:44.280]  我們一起在祢面前等待、禱告
[00:00:44.280 --> 00:00:46.280]  奉耶穌基督的名
[00:00:46.280 --> 00:00:47.880]  阿們
[00:00:47.880 --> 00:00:50.880]  新年快樂各位弟兄姊妹
[00:00:50.880 --> 00:00:54.880]  麻煩了,慕蓮你幫忙一下
[00:00:54.880 --> 00:00:57.880]  如果有一些弟兄姊妹一直進來
[00:00:57.880 --> 00:01:00.880]  有時我說就不想停下來
[00:01:00.880 --> 00:01:03.880]  大家看到這本書
[00:01:03.880 --> 00:01:08.880]  今天我叫同工幫我影印給大家
[00:01:08.880 --> 00:01:11.880]  有其中三個章節
[00:01:11.880 --> 00:01:13.880]  每個章節都講幾十頁
[00:01:13.880 --> 00:01:17.880]  你想一下多厚
[00:01:17.880 --> 00:01:20.880]  整本是系統神學的書
[00:01:20.880 --> 00:01:23.880]  最後那個大的類別
[00:01:23.880 --> 00:01:27.880]  第七課就是講末世論
[00:01:27.880 --> 00:01:29.880]  末世論有很多課題
[00:01:29.880 --> 00:01:31.880]  主耶穌何時回來
[00:01:31.880 --> 00:01:34.880]  和主耶穌回來之後
[00:01:34.880 --> 00:01:36.880]  世界會怎樣
[00:01:36.880 --> 00:01:38.880]  教會會怎樣
[00:01:38.880 --> 00:01:40.880]  猶太人會怎樣
[00:01:40.880 --> 00:01:42.880]  因為我們研讀啟示錄
[00:01:42.880 --> 00:01:45.880]  一定會碰到這個課題
[00:01:45.880 --> 00:01:49.880]  所以我就找了這些資料給大家可以先參考
[00:01:49.880 --> 00:01:52.880]  如果你看英文有困難
[00:01:52.880 --> 00:01:57.880]  到時我去到那些章節
[00:01:57.880 --> 00:02:00.880]  我就會再詳細和大家講
[00:02:00.880 --> 00:02:02.880]  大家當是興趣就可以了
[00:02:02.880 --> 00:02:05.880]  因為這些是神學院讀的課程
[00:02:05.880 --> 00:02:09.880]  所以大家不用太擔心
[00:02:09.880 --> 00:02:13.880]  如果你有興趣想看看其他的系統神學
[00:02:13.880 --> 00:02:15.880]  例如神論
[00:02:15.880 --> 00:02:17.880]  教會論
[00:02:17.880 --> 00:02:19.880]  人論
[00:02:19.880 --> 00:02:21.880]  魔鬼
[00:02:21.880 --> 00:02:25.880]  舊因
[00:02:25.880 --> 00:02:27.880]  這些都可以去看
[00:02:27.880 --> 00:02:32.880]  我只是選取了第七課的關於末世論
[00:02:32.880 --> 00:02:36.880]  來和大家做一個興趣的探討
[00:02:36.880 --> 00:02:40.880]  當然將來我們講完之後
[00:02:40.880 --> 00:02:43.880]  你自己都應該有一個立場
[00:02:43.880 --> 00:02:47.880]  到底你是千禧年的前派
[00:02:47.880 --> 00:02:49.880]  還是後派
[00:02:49.880 --> 00:02:51.880]  還是毛千禧年
[00:02:51.880 --> 00:02:55.880]  你都應該有一個立場
[00:02:55.880 --> 00:02:58.880]  我簡單地講了
[00:02:58.880 --> 00:03:00.880]  這本書
[00:03:00.880 --> 00:03:08.880]  我們開始啟示錄
[00:03:08.880 --> 00:03:10.880]  上一星期
[00:03:10.880 --> 00:03:12.880]  上一次都講過
[00:03:12.880 --> 00:03:14.880]  不會逐節逐節解釋
[00:03:14.880 --> 00:03:17.880]  因為有22章聖經
[00:03:17.880 --> 00:03:20.880]  很難逐節逐節解釋
[00:03:20.880 --> 00:03:22.880]  拖了太長的時間
[00:03:22.880 --> 00:03:25.880]  未必適合
[00:03:25.880 --> 00:03:28.880]  所以如果你遇到一些
[00:03:28.880 --> 00:03:30.880]  你自己講完之後
[00:03:30.880 --> 00:03:32.880]  有些不是太明白
[00:03:32.880 --> 00:03:36.880]  可能是你個別來WhatsApp我
[00:03:36.880 --> 00:03:38.880]  問問題
[00:03:38.880 --> 00:03:40.880]  懂得問問題都很重要
[00:03:40.880 --> 00:03:44.880]  還有原因你不明白
[00:03:44.880 --> 00:03:50.880]  我盡量就著問題去幫你解釋
[00:03:50.880 --> 00:03:55.880]  很難我再很大圍地去講解
[00:03:55.880 --> 00:03:58.880]  除非一些大家都關心的
[00:03:58.880 --> 00:04:00.880]  我們可以去到這些位置
[00:04:00.880 --> 00:04:02.880]  我們可以停長一點時間
[00:04:02.880 --> 00:04:05.880]  然後我們一起去探討
