
[00:00:00.000 --> 00:00:03.780]  我感恩今晚又再一次去查羅馬書
[00:00:03.780 --> 00:00:06.900]  今天會開第九章這個課題
[00:00:06.900 --> 00:00:09.140]  我們一起先祈禱
[00:00:09.140 --> 00:00:10.940]  天父我們感恩
[00:00:10.940 --> 00:00:14.140]  讓我們都能夠平安的過了一個星期
[00:00:14.140 --> 00:00:18.140]  我們又可以能夠在工作上來服侍你
[00:00:18.140 --> 00:00:19.200]  榮耀你
[00:00:19.200 --> 00:00:21.900]  也都讓我們能夠在救恩裏面
[00:00:21.900 --> 00:00:25.560]  我們不斷在主的愛和恩典底下
[00:00:25.560 --> 00:00:27.060]  這樣來生活
[00:00:27.060 --> 00:00:32.560]  我們很盼望我們在經文一直進行的時候
[00:00:32.560 --> 00:00:37.900]  保羅的思路成為我們思考的模式
[00:00:37.900 --> 00:00:44.260]  他現在突然轉向面對一大群猶太人
[00:00:44.260 --> 00:00:47.620]  其實大部份是不得救
[00:00:47.620 --> 00:00:51.600]  應該怎樣處理他們的神學
[00:00:51.600 --> 00:00:54.600]  都是讓我們能夠有一些發現
[00:00:54.600 --> 00:00:58.320]  盼望透過這三章的九至十一章
[00:00:58.320 --> 00:01:02.920]  都讓我們能夠再一次從更加宏觀的去看
[00:01:02.920 --> 00:01:07.480]  這個恩信清義和神的揀選
[00:01:07.480 --> 00:01:14.120]  和神定義的私恩到底那個銜接是怎樣
[00:01:14.120 --> 00:01:15.680]  求你帶領我們
[00:01:15.680 --> 00:01:18.780]  因為我們都有很多舊約的背景
[00:01:18.780 --> 00:01:22.040]  盼望我們都能夠有一個掌握
[00:01:22.040 --> 00:01:23.880]  使我們更加明白
[00:01:23.880 --> 00:01:26.500]  我們在你面前等候禱告
[00:01:26.500 --> 00:01:30.180]  奉耶穌基督的名 阿們
[00:01:30.180 --> 00:01:31.720]  八章的結尾
[00:01:31.720 --> 00:01:37.580]  我先開小一點的這個方案
[00:01:37.580 --> 00:01:41.020]  我們上一個星期就很清楚的說了
[00:01:41.020 --> 00:01:44.680]  第八章保羅告訴我們
[00:01:44.680 --> 00:01:50.100]  其實他沒有特別針對猶太人或者是外邦人的
[00:01:50.100 --> 00:01:53.720]  而是在聖靈的一路的工作底下
[00:01:53.720 --> 00:01:57.260]  人很自然就會看到在耶穌裡面
[00:01:57.260 --> 00:01:59.680]  祂的救恩 祂的犧牲
[00:01:59.680 --> 00:02:02.760]  就帶給我們有這個得救的清義
[00:02:02.760 --> 00:02:06.840]  再加上聖靈會令到我們感受到
[00:02:06.840 --> 00:02:10.560]  我們和神的關係 一份的親密
[00:02:10.560 --> 00:02:13.880]  我們多數是說外邦人
[00:02:13.880 --> 00:02:17.140]  就可以來去稱呼神做阿花姑
[00:02:17.140 --> 00:02:21.240]  對猶太人來說是一件很大亦不道的事
[00:02:21.240 --> 00:02:24.800]  因為十誡的第三誡就已經禁止
[00:02:24.800 --> 00:02:27.680]  我們不可以妄稱神的名
[00:02:27.680 --> 00:02:32.200]  妄稱神的名就會被刑罰的
[00:02:32.200 --> 00:02:36.180]  所以保羅這樣來去呼喚弟兄姐妹
[00:02:36.180 --> 00:02:37.800]  外邦的弟兄姐妹
[00:02:37.800 --> 00:02:42.640]  可以來去這樣稱呼叫做阿爸父神
[00:02:42.640 --> 00:02:45.820]  這樣的阿難民的說話
[00:02:45.820 --> 00:02:50.000]  再加上我們在聖靈的一路的引導底下
[00:02:50.000 --> 00:02:53.920]  我們明白世界的世情和人
[00:02:53.920 --> 00:02:55.520]  生活在這個世界
[00:02:55.520 --> 00:02:59.800]  是真的會有生老病死的困苦
[00:02:59.800 --> 00:03:01.700]  就是說信了主
[00:03:01.700 --> 00:03:07.240]  都不要以為是順順利利、平平安安、上天堂
[00:03:07.240 --> 00:03:09.540]  所指的不是心靈的平安
[00:03:09.540 --> 00:03:14.180]  而是生活要每一個環節都是盡善盡美
[00:03:14.180 --> 00:03:16.580]  都是要相安無事
[00:03:16.580 --> 00:03:18.420]  都是要什麼有什麼
