
[00:00:00.000 --> 00:00:02.000]  好,大英姐妹,諸女民平安
[00:00:02.000 --> 00:00:06.280]  首先多謝大家為我代禱
[00:00:06.280 --> 00:00:09.440]  大家都知道我剛剛做了手術
[00:00:09.440 --> 00:00:10.720]  已經三個星期了
[00:00:10.720 --> 00:00:12.280]  手術很成功的
[00:00:12.280 --> 00:00:14.280]  所以大家不用太擔心
[00:00:14.280 --> 00:00:20.720]  但是背部的骨頭還要半年時間才會埋口
[00:00:20.720 --> 00:00:22.720]  兩塊骨頭藏在一起
[00:00:22.720 --> 00:00:26.120]  這段時間都要好好休息
[00:00:26.120 --> 00:00:28.600]  還有一些肌肉還沒有好
[00:00:28.600 --> 00:00:32.400]  所以大家看到我像機械人一樣走
[00:00:32.400 --> 00:00:37.160]  其實有些站著又不是坐著又不是睡覺的感覺
[00:00:37.160 --> 00:00:39.360]  不過都OK的
[00:00:39.360 --> 00:00:41.800]  多謝大家去祈禱
[00:00:41.800 --> 00:00:44.240]  可能我個人有些虛弱
[00:00:44.240 --> 00:00:45.400]  說話沒有聲音
[00:00:45.400 --> 00:00:47.400]  大家就專心聽
[00:00:47.400 --> 00:00:49.400]  是不是有些fit?
[00:00:49.400 --> 00:00:52.240]  我再調低一點
[00:00:52.240 --> 00:00:53.440]  這樣行不行?
[00:00:53.440 --> 00:00:54.360]  清楚了?
[00:00:54.360 --> 00:00:55.360]  OK
[00:00:55.360 --> 00:01:00.080]  多謝大家聽完今天的經文
[00:01:00.080 --> 00:01:02.080]  是來自哥倫多後書
[00:01:02.080 --> 00:01:08.120]  哥倫多教會其實是一間相當多問題的教會
[00:01:08.120 --> 00:01:13.120]  如果有看前書就知道它有很多很敗壞的風氣
[00:01:13.120 --> 00:01:16.120]  很多需要責備的地方
[00:01:16.120 --> 00:01:17.520]  而後書呢
[00:01:17.520 --> 00:01:20.880]  後書就是保羅社去教訓他們
[00:01:20.880 --> 00:01:25.120]  因為原來教會裡面有一些攻擊保羅的聲音
[00:01:25.120 --> 00:01:29.120]  包括指控保羅是一個反口覆舌的人
[00:01:29.120 --> 00:01:31.400]  說了去又不去
[00:01:31.400 --> 00:01:32.920]  又改變行程
[00:01:32.920 --> 00:01:37.120]  也有人指控保羅是一個假仕途
[00:01:37.120 --> 00:01:40.200]  所以在前面的三章
[00:01:40.200 --> 00:01:43.200]  保羅就要向哥倫多教會解釋
[00:01:43.200 --> 00:01:45.200]  為什麼他沒有去呢?
[00:01:45.200 --> 00:01:46.480]  為什麼改變行程呢?
[00:01:46.480 --> 00:01:51.200]  以及去說他是一個上帝指派的即時
[00:01:51.200 --> 00:01:57.200]  他去重申他這個新約的即時是由上帝而來的
[00:01:57.200 --> 00:01:57.800]  OK
[00:01:57.800 --> 00:02:01.200]  接著就去到今天的經文第四章
[00:02:01.200 --> 00:02:04.200]  第四章說到
[00:02:04.200 --> 00:02:07.200]  先看看經文
[00:02:07.200 --> 00:02:08.880]  這裡說到說
[00:02:08.880 --> 00:02:11.200]  「所以既然我們蒙連文
[00:02:11.200 --> 00:02:14.800]  受了者侍奉的責任就不喪膽」
[00:02:14.800 --> 00:02:17.800]  第一點我想跟大家說的就是
[00:02:17.800 --> 00:02:20.400]  原來我們能夠去到全福音
[00:02:20.400 --> 00:02:22.600]  我們能夠去到侍奉神
[00:02:22.600 --> 00:02:25.400]  是蒙神的連文
[00:02:25.400 --> 00:02:27.200]  這個侍奉的責任
[00:02:27.200 --> 00:02:28.200]  剛才我已經說了
[00:02:28.200 --> 00:02:30.200]  這個侍奉的責任是全福音
[00:02:30.200 --> 00:02:34.000]  或者是作為一個新約的執事
[00:02:34.000 --> 00:02:35.800]  其實也是有理據的
[00:02:35.800 --> 00:02:38.800]  你按照前文後理去看的時候
[00:02:38.800 --> 00:02:44.000]  他前面就在說自己這個新約的即時
[00:02:44.000 --> 00:02:46.000]  是從上帝而來的
[00:02:46.000 --> 00:02:48.000]  後面如果你看後一點
[00:02:48.000 --> 00:02:50.200]  也在說關於全福音的
[00:02:50.200 --> 00:02:53.000]  所以我們看聖經就是提醒大家
[00:02:53.000 --> 00:02:54.400]  你去看前文後理
[00:02:54.400 --> 00:02:56.200]  我們由前文後理去看
[00:02:56.200 --> 00:02:57.400]  他無端端說
[00:02:57.400 --> 00:02:58.800]  不會說其他東西的
[00:02:58.800 --> 00:03:00.800]  他就是在說這個侍奉的責任
[00:03:00.800 --> 00:03:05.400]  我們是要從全福音這個向度去理解
[00:03:05.400 --> 00:03:06.800]  能夠侍奉上帝
[00:03:06.800 --> 00:03:09.200]  去到全福音是很光榮的事
[00:03:09.200 --> 00:03:11.400]  這個一向的論調
[00:03:11.400 --> 00:03:13.400]  我好像也有說過一個例子
[00:03:13.400 --> 00:03:15.200]  有一個弟兄
[00:03:15.200 --> 00:03:17.400]  他很自豪地跟別人說
[00:03:17.400 --> 00:03:20.400]  我是幫上帝換光管的
[00:03:20.400 --> 00:03:23.200]  換光管是一件很簡單的事
[00:03:23.200 --> 00:03:25.200]  但是他自己認為
[00:03:25.200 --> 00:03:27.000]  我在教會換光管
[00:03:27.000 --> 00:03:30.000]  我不是純粹幫教會做義工那麼簡單
[00:03:30.000 --> 00:03:32.400]  我是幫上帝去換光管
[00:03:32.400 --> 00:03:34.400]  如果將一件事
[00:03:34.400 --> 00:03:36.200]  從另一個角度去看
[00:03:36.200 --> 00:03:38.000]  就很不同了
[00:03:38.000 --> 00:03:39.400]  有時候我也會
[00:03:39.400 --> 00:03:42.200]  你也知道我的嘴巴也有過油
[00:03:42.200 --> 00:03:45.800]  有一次在家裡換燈泡
[00:03:45.800 --> 00:03:46.800]  我跟我老婆說
[00:03:46.800 --> 00:03:48.600]  我現在不是換燈泡那麼簡單
[00:03:48.600 --> 00:03:51.200]  我是為我老婆帶來光明
[00:03:51.200 --> 00:03:54.000]  這件事好像馬上就完全不同了
[00:03:54.000 --> 00:03:56.400]  老公學習
[00:03:56.400 --> 00:03:57.400]  或者老婆也可以
[00:03:57.400 --> 00:03:59.400]  你說我不是煮一頓飯給你吃
[00:03:59.400 --> 00:04:02.400]  我是為我丈夫帶來一頓溫飽
[00:04:02.400 --> 00:04:04.200]  你可以用這些方法去說
[00:04:04.200 --> 00:04:07.800]  從不同的角度去看一件事
[00:04:07.800 --> 00:04:12.600]  其實是可以有很不同的理解
[00:04:12.600 --> 00:04:15.400]  你在教會裡面的侍奉
[00:04:15.400 --> 00:04:18.000]  其實是很光榮的一件事
[00:04:18.000 --> 00:04:21.400]  但是保羅更進一步指出
[00:04:21.400 --> 00:04:23.800]  我們能夠傳福音
[00:04:23.800 --> 00:04:25.400]  能夠侍奉上帝
[00:04:25.400 --> 00:04:27.400]  是蒙憐憫
[00:04:27.400 --> 00:04:30.000]  蒙憐憫是什麼呢?
[00:04:30.000 --> 00:04:32.000]  上帝可憐你
[00:04:32.000 --> 00:04:34.800]  上帝可憐你讓你做而已
