
[00:00:00.000 --> 00:00:04.600]  你們不是說到收割的時候還有四個月嗎?
[00:00:04.600 --> 00:00:11.400]  我告訴你們,舉目向前觀看,裝甲服了,可以收割了。
[00:00:11.400 --> 00:00:16.400]  收割的人已經得工錢,為永生儲存五穀,
[00:00:16.400 --> 00:00:20.600]  是殺種的和收割的同一同快樂。
[00:00:20.600 --> 00:00:26.600]  乃人殺種,也人收割,這話可見是真的。
[00:00:26.600 --> 00:00:34.200]  我參你們去收你們沒有薪奴的,別人薪奴,你們享受他們薪奴的成果。
[00:00:34.200 --> 00:00:38.000]  那城裡有好些撒瑪利亞人信了耶穌,
[00:00:38.000 --> 00:00:41.200]  因為那婦人作見證,說:
[00:00:41.200 --> 00:00:45.200]  她把我素來所做的一切事都說了出來。
[00:00:45.200 --> 00:00:50.400]  於是撒瑪利亞人來見耶穌,求他在他們那裡住下,
[00:00:50.400 --> 00:00:53.600]  他就在那裡住了兩天。
[00:00:53.600 --> 00:00:57.400]  因為耶穌的話,信的人就更多了。
[00:00:57.400 --> 00:00:59.400]  他們對那婦人說:
[00:00:59.400 --> 00:01:05.000]  現在我們信,不再是因為你的話,而是我們親自聽見了,
[00:01:05.000 --> 00:01:09.000]  知道這人真是世界的救主。
[00:01:09.000 --> 00:01:14.600]  感謝神,今天有我們負責本堂引來事工的林華廷牧師在我們中間靜悟。
[00:01:14.600 --> 00:01:17.200]  今天林牧師的講題是收裝甲的時候,
[00:01:17.200 --> 00:01:19.200]  我們就請林牧師。
[00:01:19.200 --> 00:01:29.200]  (林牧師講話)
[00:01:29.200 --> 00:01:51.200]  (林牧師講話)
[00:01:51.200 --> 00:02:00.200]  如果我們看在聖經中的第四章第35節,
[00:02:00.200 --> 00:02:07.200]  (聖經第四章第35節)
[00:02:07.200 --> 00:02:18.200]  (聖經第四章第35節)
[00:02:18.200 --> 00:02:34.200]  (聖經第四章第35節)
[00:02:34.200 --> 00:02:41.200]  改目,讓田官漢種甲已經熟了,可以收甲了。
[00:02:41.200 --> 00:02:47.200]  (聖經第四章第35節)
[00:02:47.200 --> 00:02:52.200]  耶穌說收甲的屬靈意思是什麼?
[00:02:52.200 --> 00:02:58.200]  (聖經第四章第35節)
