
[00:00:00.000 --> 00:00:04.000]  多謝主讓我們再一次在晚上聚集
[00:00:04.000 --> 00:00:07.300]  我們有系統的去研讀神理的話語
[00:00:07.300 --> 00:00:11.700]  幫助我們在這樣一路逐節逐節去解釋的時候
[00:00:11.700 --> 00:00:15.200]  我們能夠掌握聖經的脈絡
[00:00:15.200 --> 00:00:18.400]  和作者要讓我們知道的
[00:00:18.400 --> 00:00:21.800]  雖然對啟示錄這些天啟的文學
[00:00:21.800 --> 00:00:26.200]  有時候我們不能夠按絕對的字面的意思去解釋
[00:00:26.200 --> 00:00:29.300]  但是裡面的肅靈的含義
[00:00:29.300 --> 00:00:32.600]  或者一些教訓其實是相當清楚的
[00:00:32.600 --> 00:00:35.400]  是非常之穩固
[00:00:35.400 --> 00:00:37.200]  是我們能夠明白
[00:00:37.200 --> 00:00:40.600]  和真的需要我們每一個時代的聖徒
[00:00:40.600 --> 00:00:44.600]  去堅忍去憑信心去相信
[00:00:44.600 --> 00:00:46.600]  求主帶領我們今天晚上
[00:00:46.600 --> 00:00:49.400]  當我們將第十二十三章
[00:00:49.400 --> 00:00:52.700]  或者有少少時間會看完十四章的時候
[00:00:52.700 --> 00:00:55.900]  都讓我們能夠明白裡面的
[00:00:55.900 --> 00:01:00.300]  特別是這個肅靈的天上的這些的增賤
[00:01:00.300 --> 00:01:02.200]  叫我們能夠掌握
[00:01:02.200 --> 00:01:04.100]  我們這樣仰望禱告
[00:01:04.100 --> 00:01:06.200]  奉耶穌基督的名
[00:01:06.200 --> 00:01:07.300]  阿們
[00:01:07.300 --> 00:01:09.700]  十二章可以補充一點點
[00:01:09.700 --> 00:01:14.800]  對十三章就會有更多的了解
[00:01:14.800 --> 00:01:18.700]  十二章我們說到天上的異象
[00:01:18.700 --> 00:01:20.800]  一而再都是約翰
[00:01:20.800 --> 00:01:24.800]  他被邀請去見到的這些異象
[00:01:24.800 --> 00:01:29.700]  很大的異象就是這一條的大紅龍
[00:01:29.700 --> 00:01:31.300]  被他見到
[00:01:31.300 --> 00:01:34.000]  首先就是見到一個婦人
[00:01:34.000 --> 00:01:39.500]  那個描述絕對不是奇形怪狀的怪獸
[00:01:39.500 --> 00:01:41.400]  而是一個婦人
[00:01:41.400 --> 00:01:46.000]  所以既然是新披日頭
[00:01:46.000 --> 00:01:47.300]  腳踏月亮
[00:01:47.300 --> 00:01:49.600]  頭戴十二星冠冕
[00:01:49.600 --> 00:01:53.800]  我們揭過創世紀關於三十七章
[00:01:53.800 --> 00:01:55.200]  關於約瑟
[00:01:55.200 --> 00:01:57.000]  關於瓦國
[00:01:57.000 --> 00:01:59.100]  關於十二支派
[00:01:59.100 --> 00:02:01.200]  都是這樣的描述
[00:02:01.200 --> 00:02:04.400]  所以這個婦人都很清楚
[00:02:04.400 --> 00:02:07.200]  無論另外一會說的就是
[00:02:07.200 --> 00:02:09.600]  她生了的那個男孩子
[00:02:09.600 --> 00:02:13.500]  就是將來用鐵匠核管萬國
[00:02:13.500 --> 00:02:17.000]  和她被提到去神寶座的
[00:02:17.000 --> 00:02:19.100]  就是死而復活
[00:02:19.100 --> 00:02:21.300]  在天上的
[00:02:21.300 --> 00:02:23.600]  將來要掌權的
[00:02:23.600 --> 00:02:26.500]  所以這個婦人都相當清楚
[00:02:26.500 --> 00:02:33.800]  就是孕育救主尼塞亞的以色列國家
[00:02:33.800 --> 00:02:35.100]  就是這個婦人
[00:02:35.100 --> 00:02:39.900]  所以你可以說後三年半的焦點
[00:02:39.900 --> 00:02:43.600]  就是放在以色列的
[00:02:43.600 --> 00:02:48.400]  所以這個都是真是某一個比較主流的派別
[00:02:48.400 --> 00:02:50.800]  在那個七年大災難
[00:02:50.800 --> 00:02:53.200]  特別是災中被提之後的
[00:02:53.200 --> 00:02:56.600]  後三年半的災難期
[00:02:56.600 --> 00:02:59.200]  那些的解釋
[00:02:59.200 --> 00:03:02.400]  所以真是有一些弟兄姊妹
[00:03:02.400 --> 00:03:05.900]  意識到猶太人要歸主
[00:03:05.900 --> 00:03:07.800]  所以就要印聖經
[00:03:07.800 --> 00:03:10.200]  這個是有一定的根據的
[00:03:10.200 --> 00:03:13.000]  這裡就告訴我們那個婦人的情況
[00:03:13.000 --> 00:03:15.000]  重要就是那個大龍
[00:03:15.000 --> 00:03:18.600]  是要等候要想吞吃那個小孩子
[00:03:18.600 --> 00:03:21.200]  就是要出生下來
[00:03:21.200 --> 00:03:22.600]  他就要吞吃他
