
[00:00:00.000 --> 00:00:03.360]  我們開始今天晚上的茶經
[00:00:03.360 --> 00:00:05.840]  連續回上一次
[00:00:05.840 --> 00:00:07.840]  我們講到的就是
[00:00:07.840 --> 00:00:11.520]  貪婪是拜偶像一樣
[00:00:11.520 --> 00:00:16.880]  我們也思想過12章13章
[00:00:16.880 --> 00:00:19.440]  要帶下去的
[00:00:19.440 --> 00:00:22.400]  就是到底心裡面
[00:00:22.400 --> 00:00:26.240]  誰是那個安全感
[00:00:26.240 --> 00:00:29.760]  那個主
[00:00:29.760 --> 00:00:31.760]  是誰
[00:00:31.760 --> 00:00:35.200]  貪婪會帶來有安全感的
[00:00:35.200 --> 00:00:41.760]  會帶來慢慢偏離了神的同在
[00:00:41.760 --> 00:00:45.440]  這是12章無知的財主
[00:00:45.440 --> 00:00:47.440]  和主耶穌
[00:00:47.440 --> 00:00:51.760]  向門徒再講的安慰勸勉
[00:00:51.760 --> 00:00:55.760]  帶出很重要的延伸
[00:00:55.760 --> 00:00:58.560]  因為門徒不是財主
[00:00:58.560 --> 00:01:03.040]  門徒不是在地上有富足
[00:01:03.040 --> 00:01:06.000]  但是他們在生命上
[00:01:06.000 --> 00:01:09.600]  他們就是要經歷耶穌給他們的富足
[00:01:09.600 --> 00:01:12.560]  就是以神為他的本位
[00:01:12.560 --> 00:01:14.560]  在他們的心靈裡面
[00:01:14.560 --> 00:01:17.120]  他們無論面對什麼困難
[00:01:17.120 --> 00:01:20.560]  他們都會經歷到那種富足平安
[00:01:20.560 --> 00:01:25.200]  所以這個就是很重要在12章透洩出來的
[00:01:25.200 --> 00:01:29.040]  但是16章
[00:01:29.040 --> 00:01:34.000]  作者真的是很厲害的講比喻的高手
[00:01:34.000 --> 00:01:37.760]  將兩個比喻拼湊在一起
[00:01:37.760 --> 00:01:39.760]  一個正一個反
[00:01:39.760 --> 00:01:43.360]  這樣去帶出一種張力
[00:01:43.360 --> 00:01:45.360]  這個張力就是
[00:01:45.360 --> 00:01:49.520]  對於永恆的那個要抓緊
[00:01:49.520 --> 00:01:51.520]  不可以放鬆
[00:01:51.520 --> 00:01:53.520]  這個張力
[00:01:53.520 --> 00:01:58.000]  和怎樣準備自己進入那個永恆
[00:01:58.000 --> 00:02:02.080]  這個也是在16章全章裡面
[00:02:02.080 --> 00:02:04.080]  就可以帶出來的
[00:02:04.080 --> 00:02:06.640]  但是又透視了
[00:02:06.640 --> 00:02:09.440]  有些在耶穌時代的人
[00:02:09.440 --> 00:02:12.480]  就是說不以神在他們的心靈
[00:02:12.480 --> 00:02:14.480]  成為他們的安全感的人
[00:02:14.480 --> 00:02:17.680]  他們就會對耶穌講的這些迫切性
[00:02:17.680 --> 00:02:19.200]  嗤之以鼻了
[00:02:19.200 --> 00:02:22.080]  我們就這樣做了這個序幕之後
[00:02:22.080 --> 00:02:24.080]  我們要回到12章
[00:02:24.080 --> 00:02:27.520]  有這些經文我們要留心的
[00:02:27.520 --> 00:02:35.520]  12章的第54節
[00:02:35.520 --> 00:02:40.800]  54到59節
[00:02:40.800 --> 00:02:44.640]  耶穌又對眾人說
[00:02:44.640 --> 00:02:47.520]  你們看見西邊起了雲彩
[00:02:47.520 --> 00:02:50.160]  就說要下一陣雨
[00:02:50.160 --> 00:02:51.760]  果然就有
