
[00:00:00.000 --> 00:00:04.000]  題目是「平安從何處來」
[00:00:04.000 --> 00:00:07.000]  剛才大家唱完詩歌
[00:00:07.000 --> 00:00:11.000]  平安的樣貌讓我感受得到
[00:00:11.000 --> 00:00:13.000]  以下有一段經文
[00:00:13.000 --> 00:00:19.000]  經文記載在約翰福音第十四章第二十七節
[00:00:19.000 --> 00:00:21.000]  只有一節
[00:00:21.000 --> 00:00:25.000]  不如我們一起將這一節的經文重讀出來
[00:00:25.000 --> 00:00:27.000]  好 預備起
[00:00:27.000 --> 00:00:30.000]  我留下平安給你們
[00:00:30.000 --> 00:00:34.000]  我把我的平安賜給你們
[00:00:34.000 --> 00:00:36.000]  我所賜給你們的
[00:00:36.000 --> 00:00:38.000]  不像世人所賜的
[00:00:38.000 --> 00:00:41.000]  你們心裡不要責
[00:00:41.000 --> 00:00:43.000]  也不要膽怯
[00:00:43.000 --> 00:00:47.000]  今天在我們中間去整部的
[00:00:47.000 --> 00:00:48.000]  有魯耀雄傳道
[00:00:48.000 --> 00:00:50.000]  大家都很熟悉的
[00:00:50.000 --> 00:00:52.000]  就是我們彭子任助理
[00:00:52.000 --> 00:00:55.000]  我們現在將時間公的交給魯傳道
[00:00:55.000 --> 00:01:11.000]  (音樂)
[00:01:11.000 --> 00:01:14.000]  感孫家的弟兄姊妹平安
[00:01:14.000 --> 00:01:17.000]  今晚既然是平安夜
[00:01:17.000 --> 00:01:21.000]  我希望和大家分享一個平安有關的訊息
[00:01:21.000 --> 00:01:25.000]  我選了約翰福音十四章二十七節的經文
[00:01:25.000 --> 00:01:29.000]  並且以平安從何處來作為一個講題
[00:01:29.000 --> 00:01:34.000]  和大家一起去探索一下平安有三個特質
[00:01:34.000 --> 00:01:37.000]  開始之前我們有一個祈禱
[00:01:37.000 --> 00:01:39.000]  因此我們要感謝你
[00:01:39.000 --> 00:01:42.000]  因為所有的平安都是來自你的
[00:01:42.000 --> 00:01:44.000]  特別在今晚這個平安夜的晚上
[00:01:44.000 --> 00:01:47.000]  我們更加需要你所賜的平安
[00:01:47.000 --> 00:01:51.000]  讓我們每一個都領受從你而來的平安
[00:01:51.000 --> 00:01:53.000]  為你作一個和平之子
[00:01:53.000 --> 00:01:56.000]  我們祈禱是奉子耶穌基督的聖名祈求
[00:01:56.000 --> 00:01:57.000]  阿們
