
[00:00:00.000 --> 00:00:02.000]  以下宣讀時間
[00:00:02.000 --> 00:00:05.000]  請聽我讀出以下經文
[00:00:05.000 --> 00:00:10.000]  經文記載在哥林多侯書
[00:00:10.000 --> 00:00:15.000]  四章十六節
[00:00:15.000 --> 00:00:19.000]  所以,我們不送膽
[00:00:19.000 --> 00:00:24.000]  雖然我們外在的人日漸老懷
[00:00:24.000 --> 00:00:28.000]  內在的人卻日日更新
[00:00:28.000 --> 00:00:33.000]  我們得短暫而輕微的苦楚
[00:00:33.000 --> 00:00:39.000]  要為我們成就極闖無比永遠的榮耀
[00:00:39.000 --> 00:00:42.000]  四章十八節
[00:00:42.000 --> 00:00:48.000]  因為我們不是顧念看得見的
[00:00:48.000 --> 00:00:52.000]  而是顧念看不見的
[00:00:52.000 --> 00:00:56.000]  原來看得見的是暫時的
[00:00:56.000 --> 00:01:00.000]  看不見的才是永遠的
[00:01:00.000 --> 00:01:04.000]  讀經言筆
[00:01:04.000 --> 00:01:08.000]  今天早上有陳力華牧師來到我們中根井
[00:01:08.000 --> 00:01:12.000]  陳牧師是本堂的顧問牧師
[00:01:12.000 --> 00:01:16.000]  他今天的講題是積極人生
[00:01:16.000 --> 00:01:18.000]  有請陳牧師
[00:01:18.000 --> 00:01:20.000]  (陳力華牧師) 各位姐妹早安
[00:01:20.000 --> 00:01:26.000]  上個月大家回中堂的時候
[00:01:26.000 --> 00:01:28.000]  應該是一月份吧
[00:01:28.000 --> 00:01:30.000]  回中堂的時候
[00:01:30.000 --> 00:01:34.000]  會記得我曾經和大家分享一個題目
[00:01:34.000 --> 00:01:38.000]  是關於一個目標的人生
[00:01:38.000 --> 00:01:41.000]  我其實在今年當中
[00:01:41.000 --> 00:01:46.000]  都很想和大家環繞著一個專題
[00:01:46.000 --> 00:01:48.000]  就是關於健康的
[00:01:48.000 --> 00:01:50.000]  健康這方面
[00:01:50.000 --> 00:01:52.000]  大家聽到健康的時候
[00:01:52.000 --> 00:01:53.000]  當然好
[00:01:53.000 --> 00:01:55.000]  人人都很喜歡有健康
[00:01:55.000 --> 00:01:58.000]  每個人都很想有好的健康
[00:01:58.000 --> 00:02:03.000]  健康是怎樣為之健康呢
[00:02:03.000 --> 00:02:07.000]  我會打算和大家分享
[00:02:07.000 --> 00:02:11.000]  我們的健康是需要一個全人的健康
[00:02:11.000 --> 00:02:13.000]  一個整全的健康
[00:02:13.000 --> 00:02:15.000]  包括我們身體有健康
[00:02:15.000 --> 00:02:17.000]  我們的心靈有健康
[00:02:17.000 --> 00:02:19.000]  人際關係有健康
[00:02:19.000 --> 00:02:21.000]  我們心心舍靈
[00:02:21.000 --> 00:02:27.000]  都是在一個完美的狀態下
[00:02:27.000 --> 00:02:29.000]  一個整全的健康
[00:02:29.000 --> 00:02:31.000]  所以當我想到這方面的時候
[00:02:31.000 --> 00:02:34.000]  我就想今年既然和大家思想
[00:02:34.000 --> 00:02:36.000]  關於健康系列的訊息
[00:02:36.000 --> 00:02:41.000]  我就多一點集中在心靈那方面
[00:02:41.000 --> 00:02:43.000]  內心那方面
[00:02:43.000 --> 00:02:46.000]  如果我們擁有一個喜樂的心
[00:02:46.000 --> 00:02:51.000]  我相信大家身體自然會更加健康
[00:02:51.000 --> 00:02:54.000]  所以我的構思就是
[00:02:54.000 --> 00:02:56.000]  很希望和大家環繞著
[00:02:56.000 --> 00:02:58.000]  我們的心靈的健康
[00:02:58.000 --> 00:03:00.000]  怎樣有一個喜樂的心
[00:03:00.000 --> 00:03:02.000]  怎樣能夠使我們的生命
[00:03:02.000 --> 00:03:04.000]  內心讓日轉
[00:03:04.000 --> 00:03:06.000]  給我們那份喜樂
[00:03:06.000 --> 00:03:10.000]  我就和大家按這個專題
[00:03:10.000 --> 00:03:12.000]  這個系列去思想
[00:03:12.000 --> 00:03:16.000]  在這裡我就和大家去看看
[00:03:16.000 --> 00:03:20.000]  和喜樂都有關係的
[00:03:20.000 --> 00:03:24.000]  就是我們人是一個怎樣的積極的思想
[00:03:24.000 --> 00:03:26.000]  積極的人生
[00:03:26.000 --> 00:03:34.000]  剛才主席都和我們讀了三節聖經
[00:03:34.000 --> 00:03:36.000]  如果你沒有蓋上的話
[00:03:36.000 --> 00:03:40.000]  可以打開它
[00:03:40.000 --> 00:03:42.000]  今天講到可能會喝點水
[00:03:42.000 --> 00:03:50.000]  因為喉嚨不太舒服
[00:03:50.000 --> 00:03:55.000]  保羅他為人怎樣去傳福音
[00:03:55.000 --> 00:03:57.000]  怎樣去建立教會
[00:03:57.000 --> 00:04:04.000]  怎樣去在會堂為真理辯護
[00:04:04.000 --> 00:04:07.000]  我們對保羅做的事蹟
[00:04:07.000 --> 00:04:09.000]  大家都很清晰的
[00:04:09.000 --> 00:04:11.000]  大家都不會陌生的
[00:04:11.000 --> 00:04:13.000]  但我們今早
[00:04:13.000 --> 00:04:16.000]  從哥林多後書的四章十六到十八傳
[00:04:16.000 --> 00:04:18.000]  去看另一個角度
[00:04:18.000 --> 00:04:21.000]  就是保羅這個人
[00:04:21.000 --> 00:04:23.000]  他的思想
[00:04:23.000 --> 00:04:25.000]  他的思維是怎樣的呢
[00:04:25.000 --> 00:04:27.000]  他看到不同的事物
[00:04:27.000 --> 00:04:29.000]  他是怎樣看的呢
[00:04:29.000 --> 00:04:31.000]  鄭華讀的經文
[00:04:31.000 --> 00:04:34.000]  就給我們有兩個很清晰的例子
[00:04:34.000 --> 00:04:37.000]  因為這裡保羅就舉兩個例子
[00:04:37.000 --> 00:04:40.000]  第一個例子就是外體
[00:04:40.000 --> 00:04:43.000]  外體就是身體
[00:04:43.000 --> 00:04:45.000]  人的身體會怎樣呢
[00:04:45.000 --> 00:04:47.000]  漸漸的扭壞
[00:04:47.000 --> 00:04:49.000]  這個大家都很認同
[00:04:49.000 --> 00:04:52.000]  是一個不變的事實
[00:04:52.000 --> 00:04:54.000]  每個人都知道
[00:04:54.000 --> 00:04:58.000]  年紀大了就機器壞了
[00:04:58.000 --> 00:05:01.000]  老人家坐在一起
[00:05:01.000 --> 00:05:03.000]  吃個包喝杯茶的時候
[00:05:03.000 --> 00:05:05.000]  就說:沒用了年紀大了
[00:05:05.000 --> 00:05:07.000]  人又老
[00:05:07.000 --> 00:05:09.000]  耳又聾
[00:05:09.000 --> 00:05:11.000]  眼又矇
[00:05:11.000 --> 00:05:14.000]  什麼都不行了
[00:05:14.000 --> 00:05:19.000]  所以我們有時候聽到老人家聊天
[00:05:19.000 --> 00:05:21.000]  就很喜歡說
[00:05:21.000 --> 00:05:24.000]  這是一個真實的情況
[00:05:24.000 --> 00:05:29.000]  住在錦繡加州的弟兄姊妹更加明白
[00:05:29.000 --> 00:05:30.000]  住著住著
[00:05:30.000 --> 00:05:32.000]  但又不是很好住
[00:05:32.000 --> 00:05:33.000]  為什麼呢
[00:05:33.000 --> 00:05:35.000]  因為有條樓梯
[00:05:35.000 --> 00:05:38.000]  樓梯走上走下
[00:05:38.000 --> 00:05:40.000]  真的有幾糟糕
[00:05:40.000 --> 00:05:41.000]  初初不覺得
[00:05:41.000 --> 00:05:43.000]  但幾十年之後就好覺了
[00:05:43.000 --> 00:05:45.000]  你們認不認同
[00:05:45.000 --> 00:05:47.000]  所以有些人
[00:05:47.000 --> 00:05:49.000]  還是樓下建一間房比較好
[00:05:49.000 --> 00:05:52.000]  建一間房就不用走上走下
[00:05:52.000 --> 00:05:55.000]  一會兒忘了拿手錶走上去
[00:05:55.000 --> 00:05:57.000]  忘了拿眼鏡又要走上走下
