
[00:00:00.000 --> 00:00:06.000]  在家中在教會裏面的弟子妹平安
[00:00:06.000 --> 00:00:11.000]  很多謝剛才李卜師為我們讀出今日的經文
[00:00:11.000 --> 00:00:13.000]  由今個星期開始
[00:00:13.000 --> 00:00:16.000]  連續幾個星期的崇拜
[00:00:16.000 --> 00:00:19.000]  會由不同的傳道同工
[00:00:19.000 --> 00:00:24.000]  去宣講關於提摩太前後書的信息
[00:00:24.000 --> 00:00:29.000]  提摩太前後書的作者是仕途保羅
[00:00:29.000 --> 00:00:31.000]  原名他叫做素羅
[00:00:31.000 --> 00:00:33.000]  是一位猶太人
[00:00:33.000 --> 00:00:39.000]  曾經受教於猶太教的學者加瑪列的門下
[00:00:39.000 --> 00:00:44.000]  並且對猶太教的法利賽學派非常之熱心
[00:00:44.000 --> 00:00:48.000]  還好像法利賽人迪士耶穌一樣
[00:00:48.000 --> 00:00:51.000]  迪士基督徒
[00:00:51.000 --> 00:00:55.000]  不過自從耶穌拯救了他
[00:00:55.000 --> 00:00:59.000]  他的生命完全被改變
[00:00:59.000 --> 00:01:03.000]  成為了初期教會的領袖
[00:01:03.000 --> 00:01:08.000]  亦都改名成為了保羅
[00:01:08.000 --> 00:01:11.000]  他有一位年輕的助手兼同工
[00:01:11.000 --> 00:01:14.000]  叫做提摩太
[00:01:14.000 --> 00:01:18.000]  提摩太作為已忽所教會的年輕領袖
[00:01:18.000 --> 00:01:22.000]  除了需要由保羅引導他
[00:01:22.000 --> 00:01:27.000]  學習做耶穌基督的僕人之外
[00:01:27.000 --> 00:01:30.000]  更加需要保羅幫助他
[00:01:30.000 --> 00:01:33.000]  應對外面的假教師
[00:01:33.000 --> 00:01:37.000]  以及教會裏面的各種問題
[00:01:37.000 --> 00:01:42.000]  於是保羅寫了這封信給提摩太
[00:01:42.000 --> 00:01:44.000]  提摩太前書第一章
[00:01:44.000 --> 00:01:47.000]  主要提到保羅的信仰自白
[00:01:47.000 --> 00:01:51.000]  以及對提摩太的勉勵
[00:01:51.000 --> 00:01:55.000]  而第二章亦即是剛才所讀的經文
[00:01:55.000 --> 00:02:00.000]  保羅直接指向這封信的寫作目的
[00:02:00.000 --> 00:02:05.000]  就是教導提摩太如何面對教會裏面的問題
[00:02:05.000 --> 00:02:07.000]  我們同心一齊祈禱
[00:02:07.000 --> 00:02:08.000]  親愛的天父
[00:02:08.000 --> 00:02:10.000]  我將以下的時間交在你的手中
[00:02:10.000 --> 00:02:13.000]  求你引導我們明白你的話語
[00:02:13.000 --> 00:02:16.000]  明白你在我們生命裏面的旨意
[00:02:16.000 --> 00:02:18.000]  奉靠救主耶穌基督的聖名
[00:02:18.000 --> 00:02:21.000]  阿們
[00:02:22.000 --> 00:02:23.000]  在二章一節
[00:02:23.000 --> 00:02:25.000]  保羅首先說
[00:02:25.000 --> 00:02:27.000]  所以我勸你
[00:02:27.000 --> 00:02:29.000]  首先要為人人祈求
[00:02:29.000 --> 00:02:30.000]  禱告
[00:02:30.000 --> 00:02:32.000]  代求感謝
[00:02:32.000 --> 00:02:37.000]  當中的首先並非指時間表上排第一
[00:02:37.000 --> 00:02:39.000]  最先做的事
[00:02:39.000 --> 00:02:41.000]  而是指對提摩太
[00:02:41.000 --> 00:02:43.000]  對教會
[00:02:43.000 --> 00:02:46.000]  對基督徒群體最重要的事
[00:02:46.000 --> 00:02:48.000]  而且不單是重要
[00:02:48.000 --> 00:02:50.000]  更加是很迫切
[00:02:50.000 --> 00:02:53.000]  因為保羅用了勸這個字
[00:02:53.000 --> 00:02:55.000]  既是帶著激勵
[00:02:55.000 --> 00:02:58.000]  當中亦有催促的意思
[00:02:58.000 --> 00:03:00.000]  即是說為人人祈禱
[00:03:00.000 --> 00:03:02.000]  是教會最重要
[00:03:02.000 --> 00:03:05.000]  並且很迫切要做的事
[00:03:05.000 --> 00:03:07.000]  而祈禱的場景
[00:03:07.000 --> 00:03:10.000]  雖然經文沒有直接說
[00:03:10.000 --> 00:03:11.000]  但普遍的學者
[00:03:11.000 --> 00:03:14.000]  認為是和教會聚會裏面
[00:03:14.000 --> 00:03:16.000]  公討有關
[00:03:16.000 --> 00:03:18.000]  即是主要和崇拜
[00:03:18.000 --> 00:03:20.000]  和祈禱會有關
[00:03:20.000 --> 00:03:22.000]  而並非只是自己
[00:03:22.000 --> 00:03:25.000]  或者兩三個人的祈禱
[00:03:25.000 --> 00:03:26.000]  而祈禱的內容
[00:03:26.000 --> 00:03:28.000]  保羅用了四個詞語
[00:03:28.000 --> 00:03:29.000]  祈求
[00:03:29.000 --> 00:03:30.000]  禱告
[00:03:30.000 --> 00:03:31.000]  代求
[00:03:31.000 --> 00:03:32.000]  感謝
[00:03:32.000 --> 00:03:35.000]  前三個字其實都很類似
[00:03:35.000 --> 00:03:39.000]  基本上都是為所有人的不同需要
[00:03:39.000 --> 00:03:40.000]  向神祈求
[00:03:40.000 --> 00:03:43.000]  並且為此獻上感謝
[00:03:43.000 --> 00:03:45.000]  而在第二節
[00:03:45.000 --> 00:03:47.000]  保羅特別舉了一個
[00:03:47.000 --> 00:03:50.000]  為所有人禱告的例子
[00:03:50.000 --> 00:03:54.000]  就是為君王和一切在位的
[00:03:54.000 --> 00:03:57.000]  這處的君王是福數
[00:03:57.000 --> 00:04:00.000]  所以對象不單止是羅馬皇帝
[00:04:00.000 --> 00:04:04.000]  亦都包括不同地區的分封王
[00:04:04.000 --> 00:04:07.000]  又或者是地區的首長
[00:04:07.000 --> 00:04:08.000]  為人祈禱
[00:04:08.000 --> 00:04:10.000]  相信大家一點都不陌生
[00:04:10.000 --> 00:04:13.000]  不過為何特別要為君王
[00:04:13.000 --> 00:04:15.000]  和在位的祈禱呢
[00:04:15.000 --> 00:04:18.000]  經文後半節提供了答案
[00:04:18.000 --> 00:04:22.000]  就是使我們能夠敬虔端正地過
[00:04:22.000 --> 00:04:24.000]  平穩寧靜的生活
[00:04:24.000 --> 00:04:29.000]  當時的基督教其實仍未合法
[00:04:29.000 --> 00:04:32.000]  而且經常會受到打壓
[00:04:32.000 --> 00:04:35.000]  當中其實有一個最主要的原因
[00:04:35.000 --> 00:04:38.000]  就是關於我們的核心信仰
[00:04:38.000 --> 00:04:39.000]  聖經裏面說
[00:04:39.000 --> 00:04:42.000]  唯有耶和華他是神
[00:04:42.000 --> 00:04:45.000]  除他以外再無別神
[00:04:45.000 --> 00:04:49.000]  基督教是一個排他的宗教
[00:04:49.000 --> 00:04:53.000]  正正因為這一點激怒了其他宗教人士
[00:04:53.000 --> 00:04:56.000]  令到當權者出於違穩
[00:04:56.000 --> 00:04:59.000]  需要去打壓基督教
[00:04:59.000 --> 00:05:03.000]  另外基督教相信除了上帝之外
[00:05:03.000 --> 00:05:06.000]  其他的神都是假的
[00:05:06.000 --> 00:05:10.000]  包括自封為神的羅馬和帝
[00:05:10.000 --> 00:05:14.000]  所以當權者出於統治的需要
[00:05:14.000 --> 00:05:18.000]  必須對基督教進行打壓
[00:05:18.000 --> 00:05:22.000]  就算在今時今日的香港
[00:05:22.000 --> 00:05:24.000]  基督教是合法的
[00:05:24.000 --> 00:05:27.000]  但我們都要為當權者去祈禱
[00:05:27.000 --> 00:05:31.000]  因為我們吃粥吃飯都是看他們
[00:05:31.000 --> 00:05:33.000]  而且他講一句
[00:05:33.000 --> 00:05:36.000]  比我們普通人講十句好
[00:05:36.000 --> 00:05:38.000]  他去破口罩去破戒指
[00:05:38.000 --> 00:05:41.000]  一定比你和我容易
[00:05:41.000 --> 00:05:43.000]  而更重要的是
[00:05:43.000 --> 00:05:46.000]  神有能力改變君王的心意
[00:05:46.000 --> 00:05:47.000]  聖經裏面說
[00:05:47.000 --> 00:05:49.000]  王的心在耶和華手中
[00:05:49.000 --> 00:05:53.000]  好像濃溝的水隨意流轉
[00:05:53.000 --> 00:05:55.000]  當權者有好的管治
[00:05:55.000 --> 00:06:00.000]  就能夠為人民帶來平穩寧靜的生活
[00:06:00.000 --> 00:06:04.000]  讓我們不需要花費很多的精神和時間
[00:06:04.000 --> 00:06:06.000]  去處理生活所需
[00:06:06.000 --> 00:06:09.000]  於是乎可以專心去追求
[00:06:09.000 --> 00:06:13.000]  敬虔、端正的生命
[00:06:13.000 --> 00:06:17.000]  敬虔是指以神為中心的敬拜生命
[00:06:17.000 --> 00:06:20.000]  而端正是指基督徒有好行為
[00:06:20.000 --> 00:06:22.000]  受人尊重
[00:06:22.000 --> 00:06:26.000]  當我們活出敬虔、端正的好見證
[00:06:26.000 --> 00:06:30.000]  其實亦為我們帶來平穩寧靜的生活
[00:06:30.000 --> 00:06:32.000]  起碼少些受人攻擊
[00:06:32.000 --> 00:06:34.000]  少些受到打壓
[00:06:34.000 --> 00:06:37.000]  可以讓更多的人認識福音
[00:06:37.000 --> 00:06:40.000]  已經是很不同的了
[00:06:40.000 --> 00:06:42.000]  想就是這樣想
[00:06:42.000 --> 00:06:46.000]  不過世界又哪有這麼理想呢
[00:06:46.000 --> 00:06:48.000]  事實上當時的保羅
[00:06:48.000 --> 00:06:50.000]  面對的是羅馬帝國
[00:06:50.000 --> 00:06:53.000]  出名的暴君尼祿
[00:06:53.000 --> 00:06:56.000]  不要說生活上的平穩寧靜
[00:06:56.000 --> 00:07:00.000]  想維持有好見證其實都很艱難
[00:07:00.000 --> 00:07:04.000]  古時的羅馬城曾經發生大火
[00:07:04.000 --> 00:07:06.000]  造成很重大的損失
[00:07:06.000 --> 00:07:10.000]  當時普遍是懷疑被人縱火的
[00:07:10.000 --> 00:07:14.000]  尼祿聽聞有人懷疑是他做的
[00:07:14.000 --> 00:07:17.000]  於是為了要制止傳言
[00:07:17.000 --> 00:07:21.000]  就宣稱這一場災難是由基督徒所做
[00:07:21.000 --> 00:07:25.000]  並且下令逮捕基督徒
[00:07:25.000 --> 00:07:28.000]  其實保羅在提摩賽後書第三章
[00:07:28.000 --> 00:07:30.000]  也有提到
[00:07:30.000 --> 00:07:33.000]  基督徒若要追求敬虔道人
[00:07:33.000 --> 00:07:35.000]  就預了會面對迫害
[00:07:35.000 --> 00:07:38.000]  失去平穩寧靜的生活
[00:07:38.000 --> 00:07:40.000]  雖然如此
[00:07:40.000 --> 00:07:43.000]  教會歷史也讓我們知道
[00:07:43.000 --> 00:07:47.000]  打壓是不能夠消滅基督教的信仰
[00:07:47.000 --> 00:07:50.000]  正如教父特土良的名言
[00:07:50.000 --> 00:07:54.000]  他說殉道者的血是教會的種子
[00:07:54.000 --> 00:07:56.000]  即使被污名化
[00:07:56.000 --> 00:08:00.000]  我們也相信神有辦法拆亮人的眼睛
[00:08:00.000 --> 00:08:03.000]  福音仍然會傳開
[00:08:03.000 --> 00:08:06.000]  除非我們對神失去了信心
[00:08:06.000 --> 00:08:09.000]  為了追求平穩寧靜
[00:08:09.000 --> 00:08:12.000]  而放棄敬虔端正
[00:08:12.000 --> 00:08:14.000]  所以無論如何
[00:08:14.000 --> 00:08:19.000]  為人人為君王和一切在位的祈禱
[00:08:19.000 --> 00:08:21.000]  仍然是好
[00:08:21.000 --> 00:08:23.000]  仍然是夢神的月亮
[00:08:23.000 --> 00:08:25.000]  正如第三節所說
[00:08:25.000 --> 00:08:31.000]  是合乎願意人人得救的神的心意
[00:08:31.000 --> 00:08:33.000]  而保羅特別指出
