
[00:00:00.000 --> 00:00:05.000]  提交文件:環境事務及庫務局局長的發言 - 由梁美芬議員發言
[00:00:05.000 --> 00:00:34.000]  自上次會議舉行至今發出的資料文件
[00:00:34.000 --> 00:00:36.000]  請各位一起禱告
[00:00:36.000 --> 00:00:38.000]  親愛的天父上帝我們來到祢的面前
[00:00:38.000 --> 00:00:40.000]  我們要感謝祢
[00:00:40.000 --> 00:00:43.000]  感謝祢讓我們可以回來教會當中一起崇拜
[00:00:43.000 --> 00:00:45.000]  一起學習祢的話語
[00:00:45.000 --> 00:00:48.000]  求祢用祢的話語來教導我們每一位
[00:00:48.000 --> 00:00:51.000]  讓我們聽的 說的 都能夠有祢的恩典
[00:00:51.000 --> 00:00:55.000]  一起來學習 以及一起來領受
[00:00:55.000 --> 00:00:57.000]  主也求祢賜福
[00:00:57.000 --> 00:01:00.000]  讓一群為我們辛苦來侍奉
[00:01:00.000 --> 00:01:02.000]  主也得到你額外的私恩
[00:01:02.000 --> 00:01:04.000]  我們仰望祢奉主耶穌基督的聖名
[00:01:04.000 --> 00:01:06.000]  阿們
[00:01:07.000 --> 00:01:14.000]  這段聖經我給大家一個簡單的分段
[00:01:14.000 --> 00:01:17.000]  今天跟大家分享
[00:01:17.000 --> 00:01:20.000]  想看一看可以看一看這個分段
[00:01:20.000 --> 00:01:23.000]  我想跟大家分享另外一個是什麼呢
[00:01:23.000 --> 00:01:25.000]  另外一個就是
[00:01:25.000 --> 00:01:32.000]  這個是猶太人的航班的飛機餐
[00:01:32.000 --> 00:01:38.000]  好像下一次搭飛機都要要求這個餐
[00:01:38.000 --> 00:01:40.000]  好像很豐富
[00:01:40.000 --> 00:01:42.000]  也有很多不同的色彩
[00:01:42.000 --> 00:01:44.000]  很吸引
[00:01:44.000 --> 00:01:47.000]  這個應該不是當日利美
[00:01:47.000 --> 00:01:50.000]  利美另一個名字叫馬太
[00:01:50.000 --> 00:01:52.000]  書寫馬太 福音的各位
[00:01:52.000 --> 00:01:55.000]  應該不是吃這些的了 他們當日
[00:01:55.000 --> 00:01:59.000]  不過這個就是現在猶太人他們吃的餐
[00:01:59.000 --> 00:02:03.000]  所以在飛機當中如果是猶太人就可以要求這個餐
[00:02:03.000 --> 00:02:07.000]  我們說的這件事
[00:02:07.000 --> 00:02:10.000]  耶穌基督就去到瑞關那裡的地方
[00:02:10.000 --> 00:02:13.000]  呼召了利美來跟隨他
[00:02:13.000 --> 00:02:16.000]  這個場景裡邊就是瑞關
[00:02:16.000 --> 00:02:18.000]  瑞關不是在灣仔
[00:02:18.000 --> 00:02:22.000]  他的瑞關應該是在駡市當中
[00:02:22.000 --> 00:02:25.000]  不是一個特定的辦公室
[00:02:25.000 --> 00:02:27.000]  大家去交費
[00:02:27.000 --> 00:02:30.000]  而是一個大家走過會看到的地方
[00:02:30.000 --> 00:02:32.000]  方便收稅
[00:02:32.000 --> 00:02:39.000]  收稅是沒有一個叫做薪酬的制度
[00:02:39.000 --> 00:02:42.000]  為什麼無心地要去收稅呢
[00:02:42.000 --> 00:02:48.000]  由羅馬發出的一個收稅的制度
[00:02:48.000 --> 00:02:52.000]  當時的稅利他們只是做了這個位置的時候
[00:02:52.000 --> 00:02:56.000]  就要在那個地方代表羅馬政府去收稅
[00:02:56.000 --> 00:03:00.000]  然後把錢交給羅馬政府
[00:03:00.000 --> 00:03:05.000]  為了方便羅馬政府就很聰明
[00:03:05.000 --> 00:03:09.000]  不會用羅馬人去不同的地方去收稅
[00:03:09.000 --> 00:03:12.000]  他讓當地人
[00:03:12.000 --> 00:03:14.000]  他同民族的人
[00:03:14.000 --> 00:03:16.000]  去向同民族的人收稅
[00:03:16.000 --> 00:03:19.000]  所以這個人也是猶太人
[00:03:19.000 --> 00:03:22.000]  但是做了收稅的人
[00:03:22.000 --> 00:03:24.000]  因為他做收稅的人
[00:03:24.000 --> 00:03:26.000]  所以很多猶太人就不高興他了
[00:03:26.000 --> 00:03:28.000]  覺得他是一個罪人
[00:03:28.000 --> 00:03:30.000]  你向我們自己民族的人
[00:03:30.000 --> 00:03:36.000]  拿錢去給一個不是我們民族的羅馬人
[00:03:36.000 --> 00:03:37.000]  羅馬的政府
[00:03:37.000 --> 00:03:39.000]  所以就視他是罪人
[00:03:39.000 --> 00:03:40.000]  這是第一個原因
[00:03:40.000 --> 00:03:42.000]  覺得他是一個罪人
[00:03:42.000 --> 00:03:43.000]  第二個原因
