
[00:00:00.000 --> 00:00:05.000]  大家好,我是鄧炳謙,節目組的主持人,鄧炳謙節目的主持人
[00:00:05.000 --> 00:00:08.000]  鄧炳謙節目的主持人,很久沒見大家了
[00:00:08.000 --> 00:00:13.000]  每一次當上帝給我機會講道,我都發覺上帝是很奇妙的
[00:00:13.000 --> 00:00:16.000]  其實今天本來也不是安排我說的
[00:00:16.000 --> 00:00:21.000]  我發覺每次上帝安插我在講道的時候,都是一些很特別的時間
[00:00:21.000 --> 00:00:26.000]  今天是間流最後的一篇道,是這一年
[00:00:26.000 --> 00:00:31.000]  大家都很不容易,整個香港,整個世界,大家都很不容易
[00:00:31.000 --> 00:00:36.000]  上帝你要我說什麼,我腦裡就很清楚,就出現了這個圖畫
[00:00:36.000 --> 00:00:43.000]  迦南地就在前面,迦南地就在前面
[00:00:43.000 --> 00:00:49.000]  我今天要跟大家分享的不是剛才那節經文,而是整個十一章
[00:00:49.000 --> 00:00:53.000]  整個十一章裡面其實非常重要,為什麼呢?
[00:00:53.000 --> 00:01:00.000]  因為《生命記》的背景是摩西帶領著這些以色列人進入了一個曠野四十年
[00:01:00.000 --> 00:01:05.000]  如果大家細心去看的時候,雖然在《文素記》的時候
[00:01:05.000 --> 00:01:12.000]  進入迦南的人,離開埃及的人,和進入迦南的人數差不多是一樣的
[00:01:12.000 --> 00:01:19.000]  但是其實裡面有一個很重要的細節是,原來所有裡面的人都已經換過
[00:01:19.000 --> 00:01:28.000]  大部分的人都已經死在了迦南,死在了曠野
[00:01:28.000 --> 00:01:35.000]  而現在要進入迦南的,其實只剩下少數的舊的以色列人和新生代
[00:01:35.000 --> 00:01:42.000]  所以當他們預備要進入迦南,你就會發現摩西就要向著這一班的人
[00:01:42.000 --> 00:01:53.000]  在摩西離世之前,要重新的再和他們去強調以色列的歷史,舊因歷史和上帝的律法
[00:01:53.000 --> 00:02:02.000]  而讓他們能夠明白上帝的拯救,和進入迦南之後他們有律法可依
[00:02:02.000 --> 00:02:08.000]  所以其實這一章是很重要的,是進入一個新的時代的起點
[00:02:08.000 --> 00:02:17.000]  弟兄姊妹,2021年對於你來說,也是上帝給大家的另一個開始
[00:02:17.000 --> 00:02:24.000]  究竟我們要進入迦南,還是你繼續留在曠野走路?
[00:02:24.000 --> 00:02:27.000]  我們今天一起去看看
[00:02:27.000 --> 00:02:31.000]  第十一章開始的時候,第一次七節,他這樣說
[00:02:31.000 --> 00:02:38.000]  你要愛耶和華你們的神,上手他的吩咐,律例典章誡命
[00:02:38.000 --> 00:02:43.000]  你們今日當知道我本不是和你們的兒女說話
[00:02:43.000 --> 00:02:51.000]  因為他們不知道也沒有看見耶和華你們神的管教威嚴,大能的手和伸出來的旁臂
[00:02:51.000 --> 00:02:58.000]  並他在埃及中向埃及王法老和其全地所行的神跡祈示
[00:02:58.000 --> 00:03:04.000]  也沒有看見他怎樣代埃及的軍兵車馬
[00:03:04.000 --> 00:03:10.000]  他們追趕你們的時候,耶和華怎樣使紅海的水淹沒他們
[00:03:10.000 --> 00:03:13.000]  將他們滅絕,直到今日
[00:03:13.000 --> 00:03:18.000]  並他在曠野怎樣代你們,以至你們來到這地方
[00:03:18.000 --> 00:03:25.000]  也沒有看見他怎樣代裡面子孫以利亞的兒子大坦亞比蘭
[00:03:25.000 --> 00:03:31.000]  他們怎樣在以色列人中間開口吞了他們和他們的家眷
[00:03:31.000 --> 00:03:34.000]  並將彭宇跟他們的一切活脈
[00:03:34.000 --> 00:03:39.000]  唯有你們親眼看見耶和華所做的一切大事
[00:03:39.000 --> 00:03:43.000]  我一開始說的時候就說得很清楚
[00:03:43.000 --> 00:03:46.000]  我現在說這番話不是和你們的兒女說
[00:03:46.000 --> 00:03:50.000]  因為他們沒有見過上帝的大能
[00:03:50.000 --> 00:03:54.000]  沒有見過上帝為他們做的事
[00:03:54.000 --> 00:03:59.000]  我是和你們這些舊的以色列留下來的人說的
