
[00:00:00.000 --> 00:00:02.760]  今晚為我們傳講訊息的
[00:00:02.760 --> 00:00:07.680]  是本堂的堂主任曾銳桂牧師
[00:00:07.680 --> 00:00:12.600]  他講題是「釘十價者的玩搖」
[00:00:12.600 --> 00:00:19.000]  經文是記載在《哥林多前書》二章六至九節
[00:00:19.000 --> 00:00:24.800]  《哥林多前書》第二章六至九節
[00:00:24.800 --> 00:00:33.200]  經文這樣說:然而在成熟的人中,我們也講智慧
[00:00:33.200 --> 00:00:40.000]  但不是今世的智慧,也不是今世有權有位
[00:00:40.000 --> 00:00:43.400]  將要滅亡的人的智慧
[00:00:43.400 --> 00:00:50.600]  我們所講是從前隱藏的神奧秘的智慧
[00:00:50.600 --> 00:00:58.400]  就是神在萬世以前預定使我們得榮耀的智慧
[00:00:58.400 --> 00:01:05.600]  這智慧今世有權有位的人沒有一個知道
[00:01:05.600 --> 00:01:13.600]  若知道,他們就不會把榮耀的主釘在十字架上了
[00:01:13.600 --> 00:01:19.600]  如經上所記:神為愛他的人所預備的
[00:01:19.600 --> 00:01:25.600]  是眼睛未曾看見,耳朵未曾聽見
[00:01:25.600 --> 00:01:29.600]  人心也未曾想到的
[00:01:29.600 --> 00:01:32.600]  我們恭請曾牧師
[00:01:32.600 --> 00:01:51.600]  (掌聲)
[00:01:51.600 --> 00:01:58.600]  今天晚上我們有壽苦節和聖餐的崇拜
[00:01:58.600 --> 00:02:04.600]  這段聖經我選取不是福音書的經文
[00:02:04.600 --> 00:02:09.600]  耶穌在十字架上的壽苦過程
[00:02:09.600 --> 00:02:13.600]  也沒有引用以塞亞書的五十三章
[00:02:13.600 --> 00:02:15.600]  這一位受苦的僕人
[00:02:15.600 --> 00:02:19.600]  反而我今天晚上很想藉著舍圖保羅
[00:02:19.600 --> 00:02:30.600]  他對十字架對耶穌的認識和大家彼此去勸勉
[00:02:30.600 --> 00:02:34.600]  這段聖經如果由第一章的十八節開始
[00:02:34.600 --> 00:02:38.600]  一直到二章第九節
[00:02:38.600 --> 00:02:41.600]  是有一個訊息的
[00:02:41.600 --> 00:02:45.600]  舍圖保羅他要限制自己
[00:02:45.600 --> 00:02:52.600]  不受哥倫多人對他的挑剔、藐視
[00:02:52.600 --> 00:02:59.600]  原因是當時的社會
[00:02:59.600 --> 00:03:06.600]  對於一些的思辯、辯論學、講道學、哲學
[00:03:06.600 --> 00:03:13.600]  口才的宣講的魅力是很強的
[00:03:13.600 --> 00:03:18.600]  只要你能夠講得很好的論述
[00:03:18.600 --> 00:03:25.600]  有些很能夠不同的方式吸引到聽眾的注意力
[00:03:25.600 --> 00:03:28.600]  不理你那個內容是否很浮淺
[00:03:28.600 --> 00:03:34.600]  就會帶來你可以有很高的所謂曝光知名率
[00:03:34.600 --> 00:03:38.600]  舍圖保羅他要約制自己
[00:03:38.600 --> 00:03:41.600]  甚至他對哥倫多人說
[00:03:41.600 --> 00:03:43.600]  二章第六節開始
[00:03:43.600 --> 00:03:49.600]  然而在完全的人當中或成熟的人當中
[00:03:49.600 --> 00:03:52.600]  我們都會講智慧
