
[00:00:00.000 --> 00:00:14.000]  首先,與眾在座的每一位父親,明天父親節快樂!
[00:00:14.000 --> 00:00:24.000]  今天我們是懇親主日,特別歡迎有今天第一次參加我們教會聚會的父親,我們特別歡迎你!
[00:00:24.000 --> 00:00:33.000]  因為一家人去參加主日崇拜,去參加主的敬拜,是一幅很美麗的圖畫。
[00:00:33.000 --> 00:00:43.000]  不單止我們在家庭裏面去分享天倫的愛,我們在神的家裏面也分享主的愛。
[00:00:43.000 --> 00:00:52.000]  年輕的父母帶著小朋友參加教會聚會,一定會因為愛他們,希望他們在主裏面成長。
[00:00:52.000 --> 00:01:05.000]  因為這裏是一個充滿愛的地方,但當我們懷著愛,坐在一起的時候,我們有沒有想過究竟真正的愛是怎樣的呢?
[00:01:05.000 --> 00:01:16.000]  愛不單止是一種感覺,而是一個決定,一個堅持,一個承諾,讓我們去透過今天的經文,
[00:01:16.000 --> 00:01:29.000]  約翰一書四章七至十二節,去清楚認識愛是甚麼,讓我們可以對我們的父母和子女說一聲,真的愛你。
[00:01:29.000 --> 00:01:37.000]  耶穌所愛的門徒約翰在耳俗所傳道的時候已經很年老了,
[00:01:37.000 --> 00:01:46.000]  這位老約翰在晚年的時候寫信勸勉小亞、細亞教會的信徒要彼此相愛,
[00:01:46.000 --> 00:01:57.000]  我們可以在經文裏面找到三個彼此相愛的字眼,是重重複複的,很親切地說,親愛的。
[00:01:57.000 --> 00:02:13.000]  我們可以想像一個老人家在他還有精神、氣力去寫信的時候,不斷地重複,天兵萬足一個很重要的信息,就是信徒彼此相愛。
[00:02:13.000 --> 00:02:30.000]  這個也是我們今天去思想的題目,彼此相愛,愛是一個互動的,不是單向,如果單向的話只是很有限,和可能結不出一些健康的果子。
[00:02:30.000 --> 00:02:40.000]  而相向的愛就會叫我們的愛越來越增加,好像一個雪球一樣,一路向前一路向前,越滾越大。
[00:02:40.000 --> 00:02:50.000]  所以這裡提醒我們要彼此相愛,讓我們特別在父親子的前夕看看相愛的意思。
[00:02:50.000 --> 00:03:03.000]  首先我們看愛究竟是什麼呢?在我思想父母對小朋友的愛的時候,第一個就是彼此珍惜不離棄。
