
[00:00:00.000 --> 00:00:07.000]  今日我們有本堂主任牧師曾銳桂牧師為我們傳講訊息
[00:00:07.000 --> 00:00:11.000]  他的講題是對抗失亡
[00:00:11.000 --> 00:00:18.000]  經文記載在馬太福音11章第2至第6節
[00:00:18.000 --> 00:00:25.000]  馬太福音11章第2至第6節
[00:00:25.000 --> 00:00:28.000]  請聽我讀出
[00:00:29.000 --> 00:00:33.000]  約翰在監獄裡聽見基督所做的事
[00:00:33.000 --> 00:00:37.000]  就派他的門徒去問耶穌
[00:00:37.000 --> 00:00:41.000]  將來的要來的那位就是你嗎?
[00:00:41.000 --> 00:00:44.000]  還是我們要等另一位呢?
[00:00:44.000 --> 00:00:47.000]  耶穌回答他們
[00:00:47.000 --> 00:00:54.000]  你們去把所聽見所看見的告訴約翰
[00:00:55.000 --> 00:01:12.000]  就算萬人看見,缺止行走,馬蜂人得潔淨,龍子聽見,死人復活,窮人聽到福音,凡不因我跌倒的,就有福了。
[00:01:12.000 --> 00:01:14.000]  我們恭請曾牧師
[00:01:14.000 --> 00:01:23.000]  各位弟兄姊妹早晨
[00:01:24.000 --> 00:01:26.000]  我們一起同心祈禱
[00:01:26.000 --> 00:01:30.000]  親愛的主,再一次感謝祢
[00:01:30.000 --> 00:01:32.000]  感謝祢招聚我們
[00:01:32.000 --> 00:01:35.000]  讓我們能夠聆聽祢的真道
[00:01:35.000 --> 00:01:39.000]  我們又能夠用我們的心靈去敬拜三一的上主
[00:01:39.000 --> 00:01:42.000]  感謝祢讓我們能夠有生命氣息
[00:01:42.000 --> 00:01:46.000]  求祢保守,讓我們能夠在疫症期間
[00:01:46.000 --> 00:01:50.000]  心靈裡仍然有一份盼望
[00:01:50.000 --> 00:01:53.000]  而不是失望,更加不是絕望
[00:01:53.000 --> 00:01:56.000]  而且我們面對困難,我們不氣餒
[00:01:56.000 --> 00:02:00.000]  甚至我們不會放棄
[00:02:00.000 --> 00:02:02.000]  願神幫助我們
[00:02:02.000 --> 00:02:07.000]  藉著今天早上,《馬太福音》這段聖經
[00:02:07.000 --> 00:02:12.000]  透過主耶穌和約翰所說的這段話
[00:02:12.000 --> 00:02:16.000]  讓我們能夠重拾對主耶穌的信心
[00:02:16.000 --> 00:02:21.000]  對生活持有盼望地去生活
[00:02:21.000 --> 00:02:24.000]  求主帶領我們一起在祢面前的祈禱
[00:02:24.000 --> 00:02:28.000]  奉耶穌基督的名,阿們
[00:02:28.000 --> 00:02:30.000]  題目都很清楚了
[00:02:30.000 --> 00:02:33.000]  如何能夠對抗絕望、失望呢?
[00:02:33.000 --> 00:02:36.000]  經文也反映給我們知道
[00:02:36.000 --> 00:02:38.000]  這位施洗約翰
[00:02:38.000 --> 00:02:43.000]  有解經家說他坐牢已經超過一年的時間
[00:02:43.000 --> 00:02:46.000]  他就聽到關於耶穌所做
[00:02:46.000 --> 00:02:49.000]  就叫他的門徒去問主耶穌
[00:02:49.000 --> 00:02:53.000]  到底我們是否要等第二個呢?
[00:02:53.000 --> 00:02:55.000]  所以有解經家說
[00:02:55.000 --> 00:03:00.000]  這句話蘊含著施洗約翰有很大的灰心
[00:03:00.000 --> 00:03:03.000]  為何要等第二個呢?
[00:03:03.000 --> 00:03:07.000]  明明是他自己當年在約旦河
[00:03:07.000 --> 00:03:11.000]  來見證這位就是神的羔羊
[00:03:11.000 --> 00:03:13.000]  這位就是基督
[00:03:13.000 --> 00:03:16.000]  我在他面前幫他解鞋帶都不配
[00:03:16.000 --> 00:03:19.000]  明明就是這位耶穌
[00:03:19.000 --> 00:03:25.000]  為何現在約翰說我要等待第二個呢?
[00:03:25.000 --> 00:03:30.000]  似乎是他內心在監獄裡有一個灰心
[00:03:30.000 --> 00:03:32.000]  當然有解經家說
[00:03:32.000 --> 00:03:34.000]  可能是否他已經對耶穌
[00:03:34.000 --> 00:03:37.000]  是彌賽亞這個身份有懷疑呢?
[00:03:37.000 --> 00:03:40.000]  似乎看主耶穌的回答
[00:03:40.000 --> 00:03:43.000]  因為那兩個門徒回去之後
[00:03:43.000 --> 00:03:46.000]  耶穌就開始講論關於約翰
[00:03:46.000 --> 00:03:49.000]  凡是婦人所生的在地上
[00:03:49.000 --> 00:03:52.000]  都不會比約翰大
[00:03:52.000 --> 00:03:56.000]  當然在天國裡最小的都比約翰大
[00:03:56.000 --> 00:03:58.000]  這裡大家可以揣摩
[00:03:58.000 --> 00:04:01.000]  不過今天不想處理那邊的題目
[00:04:01.000 --> 00:04:05.000]  反而處理約翰這個灰心
[00:04:05.000 --> 00:04:07.000]  這個失望
[00:04:07.000 --> 00:04:10.000]  以及我們怎樣來面對我們自己
[00:04:10.000 --> 00:04:15.000]  在人生裡大大小小的失望灰心
[00:04:15.000 --> 00:04:16.000]  總會有的
[00:04:16.000 --> 00:04:19.000]  剛剛預備講道的時候
[00:04:19.000 --> 00:04:23.000]  突然間腦袋裡勾起了童年回憶
[00:04:23.000 --> 00:04:25.000]  有一個很深的回憶
[00:04:25.000 --> 00:04:28.000]  令我自己很灰心很失望
[00:04:28.000 --> 00:04:33.000]  對家人很不開心不喜歡
[00:04:33.000 --> 00:04:34.000]  就是很小的時候
[00:04:34.000 --> 00:04:36.000]  大概六七歲左右
[00:04:36.000 --> 00:04:39.000]  家人不知什麼原因
[00:04:39.000 --> 00:04:40.000]  穿得很漂亮
[00:04:40.000 --> 00:04:44.000]  很多哥哥姐姐和媽媽去街
[00:04:44.000 --> 00:04:48.000]  我當然抓住一定要跟著去
[00:04:48.000 --> 00:04:50.000]  穿好衣服準備好
[00:04:50.000 --> 00:04:53.000]  出到路口
[00:04:53.000 --> 00:04:55.000]  我們住在火區的九龍塘
[00:04:55.000 --> 00:04:59.000]  出到路口就是沙福道現在的地鐵站
[00:04:59.000 --> 00:05:01.000]  火車站的位置
[00:05:01.000 --> 00:05:02.000]  那個位置
[00:05:02.000 --> 00:05:04.000]  剛剛那個最黃綠最黃的位置
[00:05:04.000 --> 00:05:07.000]  即是現在的士停的位置
[00:05:07.000 --> 00:05:09.000]  去到那裡
