
[00:00:00.000 --> 00:00:04.000]  各位議長,主持人,早安,主持人,平安
[00:00:04.000 --> 00:00:08.000]  今日這個經文,大家都應該覺得熟了熟面
[00:00:08.000 --> 00:00:13.000]  其實說到心意更新而變化,但講題竟然沒有什麼新意
[00:00:13.000 --> 00:00:15.000]  心意更新這件事
[00:00:15.000 --> 00:00:22.000]  其實某程度上我是非常怕講這類熱門和熟口熟面的經文
[00:00:22.000 --> 00:00:26.000]  為什麼呢?因為事實上每一次講到
[00:00:26.000 --> 00:00:31.000]  我都會嘗試去想有沒有新的東西可以講給大家聽
[00:00:31.000 --> 00:00:36.000]  但其實這些熱門的經文應該都有N這麼多的高手講過
[00:00:36.000 --> 00:00:39.000]  亦都做過無數這麼多次的識經
[00:00:39.000 --> 00:00:42.000]  講他的書亦都是多於天上的繁星
[00:00:42.000 --> 00:00:47.000]  作為一個小傳道,有時候都很難去講出什麼新意
[00:00:47.000 --> 00:00:52.000]  但想深一層,其實是不是真的每次都一定要有新意呢?
[00:00:52.000 --> 00:00:58.000]  信主的人永遠都會有新的,不斷會有新的人出現
[00:00:58.000 --> 00:01:02.000]  對他們來說,這些經文都是新的,是不是?
[00:01:02.000 --> 00:01:05.000]  另外就是,我們信了主一段長時間
[00:01:05.000 --> 00:01:11.000]  是不是就代表我們不可以在一些熟了熟面的經文裡面得到新的領袖呢?
[00:01:11.000 --> 00:01:17.000]  又不是的,其實經文雖然是不變
[00:01:17.000 --> 00:01:23.000]  但裡面的真理是會隨著時代的改變而有不同的應用
[00:01:23.000 --> 00:01:27.000]  而且我們作為聽眾,人生經驗是會改變的
[00:01:27.000 --> 00:01:33.000]  是會不同的,你十年前看東西和十年後看東西
[00:01:33.000 --> 00:01:35.000]  是可以是完全兩個世界的
[00:01:35.000 --> 00:01:39.000]  所以無論怎樣都好,每一次我們任何人
[00:01:39.000 --> 00:01:43.000]  你重新去聽一段經文的時候,你是可以有新的領袖的
[00:01:43.000 --> 00:01:46.000]  所以我都再次去到講這個經文
[00:01:46.000 --> 00:01:50.000]  那麼,這個心意更新這段經文呢
[00:01:50.000 --> 00:01:53.000]  其實我平時不是太用powerpoint的
[00:01:53.000 --> 00:01:56.000]  我不是很喜歡一邊應付一邊按
[00:01:56.000 --> 00:01:58.000]  但是今天要講的東西比較多
[00:01:58.000 --> 00:02:01.000]  所以我都要用powerpoint去處理一下
[00:02:01.000 --> 00:02:06.000]  那麼,其實呢,經文一開始用的"所以"兩個字
[00:02:06.000 --> 00:02:09.000]  我們當中有些人是做老師的,是不是?
[00:02:09.000 --> 00:02:12.000]  教中文的時候,所以代表什麼呢?
[00:02:12.000 --> 00:02:17.000]  有些是連接的,有些是前後因果關係的
[00:02:17.000 --> 00:02:20.000]  通常做句就是因為什麼,所以什麼
[00:02:20.000 --> 00:02:23.000]  要做句,有一種因果關係
[00:02:23.000 --> 00:02:26.000]  保羅在這裡開始要講的東西
[00:02:26.000 --> 00:02:30.000]  就是和前面的十一章的經文有因果關係
[00:02:30.000 --> 00:02:32.000]  前面那十一章講的東西
[00:02:32.000 --> 00:02:35.000]  導致他後面要出這一堆教訓
[00:02:35.000 --> 00:02:38.000]  前面的其實是相當之教義的
[00:02:38.000 --> 00:02:41.000]  其實羅馬書,即是羅馬書的《釋經》書
[00:02:41.000 --> 00:02:43.000]  都考得好像字典一樣
[00:02:43.000 --> 00:02:46.000]  放兩本放在枕頭底你就睡不著了
[00:02:46.000 --> 00:02:49.000]  因為已經把頸部弄得變成L形了
[00:02:49.000 --> 00:02:51.000]  羅馬書是很教義的
[00:02:51.000 --> 00:02:55.000]  裡面有很多很珍貴的道理
[00:02:55.000 --> 00:02:59.000]  而前面那十一章有一個很主要的教義
[00:02:59.000 --> 00:03:02.000]  就叫做"恩順清儀"
[00:03:02.000 --> 00:03:06.000]  信耶穌很久應該都聽過這四個字
[00:03:06.000 --> 00:03:09.000]  恩順清儀,為什麼呢?
[00:03:09.000 --> 00:03:13.000]  為什麼呢?通常問為什麼
[00:03:13.000 --> 00:03:15.000]  然後人們的眼光就開始迴避我了
[00:03:15.000 --> 00:03:17.000]  就看著PowerPoint,怕我問問題
[00:03:17.000 --> 00:03:21.000]  恩順清儀是我們信仰的核心
[00:03:21.000 --> 00:03:27.000]  簡單來說,就是我們人犯了罪
[00:03:27.000 --> 00:03:30.000]  所以我們墮落了,我們失去了
[00:03:30.000 --> 00:03:33.000]  上帝原初創造這個世界的時候
[00:03:33.000 --> 00:03:35.000]  人和神的那種關係
[00:03:35.000 --> 00:03:37.000]  因為我們失去了和神的關係
[00:03:37.000 --> 00:03:41.000]  所以我們結果就要面對一個永遠的死亡
[00:03:41.000 --> 00:03:45.000]  人們向我們傳福音,或者我們向人傳福音
[00:03:45.000 --> 00:03:47.000]  都有說這些的
[00:03:47.000 --> 00:03:51.000]  你犯了罪,所以你將來就要面對這個永死
[00:03:51.000 --> 00:03:52.000]  就是地獄的刑罰
[00:03:52.000 --> 00:03:55.000]  於是上帝就為我們預備了一條出路
[00:03:55.000 --> 00:03:56.000]  就是什麼?
[00:03:56.000 --> 00:03:59.000]  這個不是答不到的
[00:03:59.000 --> 00:04:01.000]  上帝預備了什麼出路?
[00:04:01.000 --> 00:04:03.000]  耶穌嘛,耶穌基督嘛
[00:04:03.000 --> 00:04:06.000]  耶穌基督透過釘十字架為我們死
[00:04:06.000 --> 00:04:09.000]  於是我們就可以因為這個信心
[00:04:09.000 --> 00:04:12.000]  相信耶穌基督的信心或者這份信仰
[00:04:12.000 --> 00:04:15.000]  我們可以被神算為義
[00:04:15.000 --> 00:04:17.000]  算為義,可以得到永生
[00:04:17.000 --> 00:04:19.000]  那就叫做恩順清義
[00:04:19.000 --> 00:04:20.000]  那義是什麼呢?
[00:04:20.000 --> 00:04:23.000]  義就是有公正、正確的意思
[00:04:23.000 --> 00:04:27.000]  就是你人犯了罪,你和神的關係就是錯的
[00:04:27.000 --> 00:04:29.000]  就是已經不正確的了
[00:04:29.000 --> 00:04:30.000]  要打我的大交叉的了
[00:04:30.000 --> 00:04:33.000]  這些就叫做不義
[00:04:33.000 --> 00:04:35.000]  在神眼中你是不義的
[00:04:35.000 --> 00:04:37.000]  你是犯罪的,犯錯的
[00:04:37.000 --> 00:04:39.000]  但是因為你相信
[00:04:39.000 --> 00:04:41.000]  所以清義就算你是
[00:04:41.000 --> 00:04:43.000]  就叫你做義人
[00:04:43.000 --> 00:04:46.000]  原本你們全部都交叉、交叉、交叉、交叉錯的
[00:04:46.000 --> 00:04:48.000]  但是神算你為義
[00:04:48.000 --> 00:04:50.000]  當你對,當你對
[00:04:50.000 --> 00:04:53.000]  做老師的不知道會不會很抗拒我這個說法
[00:04:53.000 --> 00:04:56.000]  一提數學題或者一提英文
