
[00:00:00.000 --> 00:00:05.500]  《士徒行傳》十七章二十二至三十二節
[00:00:05.500 --> 00:00:10.200]  保羅站在阿勒巴古當中說
[00:00:10.200 --> 00:00:12.000]  諸位雅典人
[00:00:12.000 --> 00:00:15.500]  我看你們凡事很敬畏鬼神
[00:00:15.500 --> 00:00:18.200]  我到處走走的時候
[00:00:18.200 --> 00:00:20.000]  仔細觀察
[00:00:20.000 --> 00:00:21.800]  你們所敬拜的
[00:00:21.800 --> 00:00:23.800]  發現有一座壇
[00:00:23.800 --> 00:00:25.400]  上面寫著
[00:00:25.400 --> 00:00:28.200]  獻給未識之神明
[00:00:28.200 --> 00:00:31.200]  你們所不認識而敬拜的
[00:00:31.200 --> 00:00:34.200]  我現在向你們宣告
[00:00:34.200 --> 00:00:39.200]  祂是創造宇宙和其中萬物的神
[00:00:39.200 --> 00:00:41.800]  祂既是天地的主
[00:00:41.800 --> 00:00:46.200]  就不住在人手所造的善如雷
[00:00:46.200 --> 00:00:49.200]  也不用人手去服事
[00:00:49.200 --> 00:00:52.200]  好像缺少什麼詞的
[00:00:52.200 --> 00:00:55.200]  自己倒將生命
[00:00:55.200 --> 00:00:59.200]  氣息、萬物、次級萬人
[00:00:59.200 --> 00:01:02.200]  祂從一人造出萬族
[00:01:02.200 --> 00:01:05.200]  居住在全地面上
[00:01:05.200 --> 00:01:11.200]  並且預先定準他們的連閒和鎖住的疆界
[00:01:11.200 --> 00:01:14.200]  為要使他們尋求神
[00:01:14.200 --> 00:01:17.200]  或者可以揣摩而找得到祂
[00:01:17.200 --> 00:01:21.200]  其實祂離我們各人不遠
[00:01:21.200 --> 00:01:26.200]  我們生活、行動、存在都在於祂
[00:01:26.200 --> 00:01:30.200]  就如你們的詩人也有人說
[00:01:30.200 --> 00:01:33.200]  我們也是祂所生的
[00:01:33.200 --> 00:01:36.200]  既然我們是神所生的
[00:01:36.200 --> 00:01:39.200]  就不應該以為神的神聖
[00:01:39.200 --> 00:01:47.200]  將人用手藝和心思所挑剔的金、銀、石像一般
[00:01:47.200 --> 00:01:50.200]  世人夢寐無知的時候
[00:01:50.200 --> 00:01:52.200]  神命不追究
[00:01:52.200 --> 00:01:58.200]  如今卻吩咐各處的人都要悔改
[00:01:58.200 --> 00:02:01.200]  因為祂已經定了日子
[00:02:01.200 --> 00:02:04.200]  要藉著祂所設立的人
[00:02:04.200 --> 00:02:07.200]  按公義審判天下
[00:02:07.200 --> 00:02:10.200]  並且使祂從死人中復活
[00:02:10.200 --> 00:02:13.200]  給萬人作可信的憑據
[00:02:13.200 --> 00:02:17.200]  眾人聽見死人復活的話
[00:02:17.200 --> 00:02:19.200]  就有人譏笑祂
[00:02:19.200 --> 00:02:21.200]  又有人說
[00:02:21.200 --> 00:02:24.200]  我們會再聽你說這事
[00:02:24.200 --> 00:02:26.200]  感謝神
[00:02:26.200 --> 00:02:31.200]  今日有我們本堂堂主任曾銳慧牧師在當中靜悼
[00:02:31.200 --> 00:02:36.200]  講題是「難以相信的復活」
[00:02:36.200 --> 00:02:38.200]  恭請曾牧師
[00:02:38.200 --> 00:02:40.200]  請同心祈禱
[00:02:40.200 --> 00:02:43.200]  親愛的主
[00:02:43.200 --> 00:02:47.200]  我們剛剛守完聖餐
[00:02:47.200 --> 00:02:50.200]  我們等候在祢的面前
[00:02:50.200 --> 00:02:55.200]  求祢的聖靈開啟我們的心靈
[00:02:55.200 --> 00:02:57.200]  我們知道
[00:02:57.200 --> 00:02:59.200]  不信的人
[00:02:59.200 --> 00:03:01.200]  他們要相信復活
[00:03:01.200 --> 00:03:03.200]  如果不是有聖靈的工作
[00:03:03.200 --> 00:03:05.200]  在他們的生命裏面
[00:03:05.200 --> 00:03:07.200]  來光照
[00:03:07.200 --> 00:03:09.200]  使他們看到
[00:03:09.200 --> 00:03:12.200]  這位主是真實
[00:03:12.200 --> 00:03:15.200]  其實是很難叫人信耶穌
[00:03:15.200 --> 00:03:19.200]  但我們今天已經信的每一位弟兄姊妹
[00:03:19.200 --> 00:03:22.200]  求祢使我們能夠對復活的真理
[00:03:22.200 --> 00:03:24.200]  能夠有好心
[00:03:24.200 --> 00:03:26.200]  好心的明白
[00:03:26.200 --> 00:03:29.200]  經過我們詳細的查考
[00:03:29.200 --> 00:03:31.200]  來去遵行
[00:03:31.200 --> 00:03:34.200]  以致我們生命的價值
[00:03:34.200 --> 00:03:38.200]  有一個為主而活的人生態度
[00:03:38.200 --> 00:03:40.200]  今早我們事立
[00:03:40.200 --> 00:03:42.200]  等候在祢的面前
[00:03:42.200 --> 00:03:45.200]  我們藉著士徒保羅當日
[00:03:45.200 --> 00:03:47.200]  在這個阿略巴古
[00:03:47.200 --> 00:03:48.200]  在這個地方
[00:03:48.200 --> 00:03:51.200]  和一些雅典未信
[00:03:51.200 --> 00:03:52.200]  不信
[00:03:52.200 --> 00:03:54.200]  和有各種神明的人
[00:03:54.200 --> 00:03:56.200]  來辯論
[00:03:56.200 --> 00:03:59.200]  我們盼望主讓祢開啟我們心靈的轎
[00:03:59.200 --> 00:04:01.200]  能夠明白真理
[00:04:01.200 --> 00:04:03.200]  我們這樣仰望禱告
[00:04:03.200 --> 00:04:05.200]  奉耶穌基督的名
