
[00:00:00.000 --> 00:00:03.640]  各位正在看佳音樓的直播
[00:00:03.640 --> 00:00:06.200]  崇拜的弟兄姊妹 早安
[00:00:06.200 --> 00:00:10.880]  首先要感謝曾牧師的邀請
[00:00:10.880 --> 00:00:15.200]  讓我今天可以透過這個網絡
[00:00:15.200 --> 00:00:17.800]  跟大家一起去敬拜
[00:00:17.800 --> 00:00:22.280]  並且可以在神的道上彼此互勉
[00:00:22.280 --> 00:00:26.600]  雖然疫情我們都見到有反覆
[00:00:26.600 --> 00:00:30.240]  但都是新年期間
[00:00:30.240 --> 00:00:33.960]  所以都藉著這個機會
[00:00:33.960 --> 00:00:38.880]  去恭祝每一位正在敬拜的弟兄姊妹
[00:00:38.880 --> 00:00:42.160]  很盼望大家能夠牛年夢福
[00:00:42.160 --> 00:00:45.440]  身心靈健壯
[00:00:45.440 --> 00:00:47.960]  中國人有一句話是這樣說的
[00:00:47.960 --> 00:00:51.720]  一願復始 萬象更生
[00:00:51.720 --> 00:00:55.720]  所以每一年的開始
[00:00:55.720 --> 00:00:58.880]  其實都是我們一起很好的
[00:00:58.880 --> 00:01:01.600]  立志的一個機會
[00:01:01.600 --> 00:01:03.880]  我不知道大家在新的一年
[00:01:03.880 --> 00:01:07.920]  有沒有在上帝的面前去立志
[00:01:07.920 --> 00:01:11.800]  為祂擺上什麼呢?
[00:01:11.800 --> 00:01:15.440]  說到「使命」這個題目
[00:01:15.440 --> 00:01:19.200]  其實對於機構和企業
[00:01:19.200 --> 00:01:22.320]  都是一樣的重要
[00:01:22.320 --> 00:01:29.080]  所以我就選了幾個機構企業的「使命宣言」
[00:01:29.080 --> 00:01:31.000]  讓大家猜一下
[00:01:31.000 --> 00:01:33.440]  不知道你們能否猜到
[00:01:33.440 --> 00:01:38.680]  究竟是哪間企業或者機構
[00:01:38.680 --> 00:01:40.800]  第一個
[00:01:40.800 --> 00:01:44.120]  讓世界更加歡樂
[00:01:44.120 --> 00:01:47.240]  這個可能都容易
