
[00:00:00.000 --> 00:00:02.000]  請照平安
[00:00:02.000 --> 00:00:06.000]  在家中看直播的
[00:00:06.000 --> 00:00:08.000]  都要向你們鳴安
[00:00:08.000 --> 00:00:12.000]  由我們去看神的話語之前
[00:00:12.000 --> 00:00:14.000]  我們一起去有望神仙
[00:00:14.000 --> 00:00:18.000]  愛祢的主愛的神
[00:00:18.000 --> 00:00:20.000]  我們今天可以
[00:00:20.000 --> 00:00:22.000]  來到你面前去敬拜你
[00:00:22.000 --> 00:00:24.000]  這個不是必然的,我們要向你感恩
[00:00:24.000 --> 00:00:26.000]  由願理性靈眼當中
[00:00:26.000 --> 00:00:28.000]  去引導我們
[00:00:28.000 --> 00:00:30.000]  希望我們能夠在心中
[00:00:30.000 --> 00:00:32.000]  有什麼不蒙你喜悅的
[00:00:32.000 --> 00:00:34.000]  求著剔除
[00:00:34.000 --> 00:00:36.000]  以最尊心一意的
[00:00:36.000 --> 00:00:38.000]  能夠聽到神親切對我們說話
[00:00:38.000 --> 00:00:42.000]  保守我們的心
[00:00:42.000 --> 00:00:44.000]  有孩子在你面前
[00:00:44.000 --> 00:00:46.000]  心中的意念、口中的言語
[00:00:46.000 --> 00:00:48.000]  是蒙你如納
[00:00:48.000 --> 00:00:50.000]  為這樣祈禱交託奉主耶穌基督名教
[00:00:50.000 --> 00:00:52.000]  阿們
[00:00:52.000 --> 00:00:54.000]  不夠時間
[00:00:54.000 --> 00:00:56.000]  今天阿庭
[00:00:56.000 --> 00:00:58.000]  說了你有罪
[00:00:58.000 --> 00:01:00.000]  你會怎麼做呢?
[00:01:00.000 --> 00:01:02.000]  你究竟會再上訴呢?
[00:01:02.000 --> 00:01:04.000]  還是會用一些
[00:01:04.000 --> 00:01:06.000]  不正當的途徑
[00:01:06.000 --> 00:01:08.000]  或者花點黑錢
[00:01:08.000 --> 00:01:10.000]  去令你
[00:01:10.000 --> 00:01:12.000]  可以坐幾個月監獄
[00:01:12.000 --> 00:01:14.000]  就算了呢?
[00:01:14.000 --> 00:01:16.000]  但是今天
[00:01:16.000 --> 00:01:20.000]  原來你面對的法官
[00:01:20.000 --> 00:01:22.000]  是很公正的
[00:01:24.000 --> 00:01:26.000]  不會受你賄賂的
[00:01:26.000 --> 00:01:28.000]  那怎麼辦呢?
[00:01:28.000 --> 00:01:30.000]  我們今天
[00:01:30.000 --> 00:01:32.000]  看回我們的經文
[00:01:32.000 --> 00:01:34.000]  首先我們看
[00:01:34.000 --> 00:01:36.000]  今天我們由我們
[00:01:36.000 --> 00:01:38.000]  《詩篇》的64章裏面
[00:01:38.000 --> 00:01:40.000]  我們看到的就是
[00:01:40.000 --> 00:01:42.000]  原來我們全人類
[00:01:42.000 --> 00:01:44.000]  都在罪當中
[00:01:44.000 --> 00:01:46.000]  我們沒有了指望
[00:01:46.000 --> 00:01:50.000]  原來神體我們每個人都是罪人
[00:01:50.000 --> 00:01:52.000]  無論你怎麼修飾也好
[00:01:52.000 --> 00:01:54.000]  你都無法抱神的
[00:01:54.000 --> 00:01:56.000]  你說苦修
[00:01:56.000 --> 00:01:58.000]  真是
[00:01:58.000 --> 00:02:00.000]  令到自己受苦
[00:02:00.000 --> 00:02:02.000]  你始終都要去面對審判
[00:02:02.000 --> 00:02:06.000]  就好像一個大樓
[00:02:06.000 --> 00:02:08.000]  它將要
[00:02:08.000 --> 00:02:10.000]  裝修、翻修
[00:02:10.000 --> 00:02:12.000]  就算你現在將屋子
[00:02:12.000 --> 00:02:14.000]  弄得漂亮也好
[00:02:14.000 --> 00:02:16.000]  但還是沒有用的
[00:02:16.000 --> 00:02:18.000]  因為人家裝修
