
[00:00:00.000 --> 00:00:02.000]  好 電影姊妹早安
[00:00:02.000 --> 00:00:05.000]  我看看今次可不可以破這個魔咒
[00:00:05.000 --> 00:00:07.000]  每次講到我都咳嗽
[00:00:07.000 --> 00:00:09.000]  但每次我在講到又不咳嗽
[00:00:09.000 --> 00:00:12.000]  這是要見證著上帝的恩典
[00:00:12.000 --> 00:00:14.000]  見證奇蹟的時候
[00:00:14.000 --> 00:00:17.000]  我今天和大家分享的這段經文
[00:00:17.000 --> 00:00:21.000]  在這段日子裡思考了很多 想了很多
[00:00:21.000 --> 00:00:24.000]  我想如果有部份的電影姊妹
[00:00:24.000 --> 00:00:27.000]  或者大家上星期的報告知道
[00:00:27.000 --> 00:00:29.000]  我接下來要做一個手術
[00:00:29.000 --> 00:00:33.000]  最近大家都看到我的腳走得一般般
[00:00:33.000 --> 00:00:37.000]  最後醫生發覺在頸椎的地方
[00:00:37.000 --> 00:00:40.000]  有骨刺壓著中樞神經
[00:00:40.000 --> 00:00:45.000]  所以接下來會做一個有風險的手術
[00:00:45.000 --> 00:00:51.000]  醫生說因為骨刺只離開中樞神經兩毫米
[00:00:51.000 --> 00:00:55.000]  所以在過程裡其實有很多思考
[00:00:55.000 --> 00:00:58.000]  但當然我想強調上帝有很多恩典
[00:00:58.000 --> 00:01:03.000]  這次幫我做的醫生是非常有經驗的
[00:01:03.000 --> 00:01:08.000]  在做脊椎這方面其實很有權威
[00:01:08.000 --> 00:01:12.000]  在過程裡其實我就會不斷思考
[00:01:12.000 --> 00:01:13.000]  當然醫生很直接
[00:01:13.000 --> 00:01:16.000]  你知道醫生一定會跟你講所有風險
[00:01:16.000 --> 00:01:19.000]  他說你有機會在病床上做完
[00:01:19.000 --> 00:01:21.000]  不小心碰到中樞神經
[00:01:21.000 --> 00:01:22.000]  你會癱瘓
[00:01:22.000 --> 00:01:25.000]  你也有機會就這樣走了
[00:01:25.000 --> 00:01:28.000]  但我一直都說不定
[00:01:28.000 --> 00:01:30.000]  當我一直思考的時候
[00:01:30.000 --> 00:01:37.000]  我只會想如果上帝在這次手術裡將我帶走
[00:01:37.000 --> 00:01:40.000]  那我會怎樣呢
[00:01:40.000 --> 00:01:42.000]  我去想的時候
[00:01:42.000 --> 00:01:49.000]  一個傳道人其實可以唯一留下的是什麼呢
[00:01:49.000 --> 00:01:51.000]  後來我一直思考的時候
[00:01:51.000 --> 00:01:53.000]  我就覺得就好像保羅那樣說
[00:01:53.000 --> 00:01:57.000]  原來保羅儘管他在我們心裡有多偉大
[00:01:57.000 --> 00:02:01.000]  但他唯一可以留下的就是他生命的見證
[00:02:01.000 --> 00:02:04.000]  和對弟兄姊妹的祝福
[00:02:04.000 --> 00:02:06.000]  因為有一天的時候
[00:02:06.000 --> 00:02:08.000]  當上帝帶他走的時候
[00:02:08.000 --> 00:02:10.000]  他遺留下來的時候我們很感恩
[00:02:10.000 --> 00:02:11.000]  上帝選照他
[00:02:11.000 --> 00:02:16.000]  所以我們今天才會有這麼多的新約書信在裡面
[00:02:16.000 --> 00:02:18.000]  他繼續教導我們
[00:02:18.000 --> 00:02:20.000]  這個是上帝的恩典
[00:02:20.000 --> 00:02:21.000]  當然我今天講這篇道的時候
[00:02:21.000 --> 00:02:25.000]  我想強調我連保羅的十分之一都沒有
[00:02:25.000 --> 00:02:27.000]  無論是他的毀身
[00:02:27.000 --> 00:02:29.000]  無論是他的熱心
[00:02:29.000 --> 00:02:31.000]  無論是他對上帝的付出
[00:02:31.000 --> 00:02:33.000]  他那種的熱情
[00:02:33.000 --> 00:02:37.000]  坦白講我自己真的十分之一都沒有
[00:02:37.000 --> 00:02:38.000]  我沒有他的能力
[00:02:38.000 --> 00:02:41.000]  我沒有他這種毀身的生命
[00:02:41.000 --> 00:02:44.000]  但我有他的心情
[00:02:44.000 --> 00:02:47.000]  我今天去講的時候
[00:02:47.000 --> 00:02:50.000]  突然間有一段經文在我腦裡浮現
[00:02:50.000 --> 00:02:53.000]  在亞國書那裡他曾經說
[00:02:53.000 --> 00:02:56.000]  其實明天如何你們還不知道
[00:02:56.000 --> 00:02:58.000]  你們的生命是什麼呢
[00:02:58.000 --> 00:03:01.000]  你們的完事一片雲霧
[00:03:01.000 --> 00:03:04.000]  出現笑時就不見了
