
[00:00:00.000 --> 00:00:03.000]  在2007年的時候
[00:00:03.000 --> 00:00:07.000]  《華盛頓郵報》邀請了一位朋友
[00:00:07.000 --> 00:00:10.000]  做了一個試驗
[00:00:10.000 --> 00:00:13.000]  這個試驗就是
[00:00:13.000 --> 00:00:16.000]  無不動聲色地
[00:00:16.000 --> 00:00:19.000]  在一個冬天的地鐵站
[00:00:19.000 --> 00:00:21.000]  出入很多人的
[00:00:21.000 --> 00:00:23.000]  早上
[00:00:23.000 --> 00:00:26.000]  這個朋友就彈小提琴
[00:00:26.000 --> 00:00:29.000]  看看那些人會不會欣賞
[00:00:29.000 --> 00:00:33.000]  真心的欣賞美麗的美
[00:00:33.000 --> 00:00:36.000]  45分鐘的演奏
[00:00:36.000 --> 00:00:38.000]  一般人走過
[00:00:38.000 --> 00:00:41.000]  就以為只不過是街頭賣藝
[00:00:41.000 --> 00:00:45.000]  有1071個人
[00:00:45.000 --> 00:00:47.000]  因為有閉路電視拍著
[00:00:47.000 --> 00:00:51.000]  這樣來穿梭,這樣來拍著
[00:00:51.000 --> 00:00:53.000]  有7個人
[00:00:53.000 --> 00:00:54.000]  停一停下
[00:00:54.000 --> 00:00:57.000]  因為欣賞這些美妙的拉奏
[00:00:57.000 --> 00:01:03.000]  是拉奏巴哈最難的樂章
[00:01:03.000 --> 00:01:04.000]  其中有一個
[00:01:04.000 --> 00:01:06.000]  45分鐘裡面有一個
[00:01:06.000 --> 00:01:08.000]  只有一個
[00:01:08.000 --> 00:01:10.000]  發現了這個人不是普通人
[00:01:10.000 --> 00:01:13.000]  不是街頭賣藝的賣藝者
[00:01:13.000 --> 00:01:18.000]  是舉世知名的小提琴家貝爾
[00:01:18.000 --> 00:01:22.000]  他拉的小提琴價值350萬美金
[00:01:22.000 --> 00:01:27.000]  是1713年的意大利的手工做的
[00:01:27.000 --> 00:01:29.000]  那個試驗
[00:01:29.000 --> 00:01:31.000]  就是想看看
[00:01:31.000 --> 00:01:33.000]  在一個不合適的環境
[00:01:33.000 --> 00:01:36.000]  一個你沒有想到的時候
[00:01:36.000 --> 00:01:38.000]  有這麼好的音樂
[00:01:38.000 --> 00:01:40.000]  那些人會不會欣賞呢
[00:01:40.000 --> 00:01:42.000]  如果你要買他的門券
[00:01:42.000 --> 00:01:44.000]  去聽他的演奏
[00:01:44.000 --> 00:01:48.000]  300元美金你都未必能夠有位
[00:01:48.000 --> 00:01:52.000]  在華盛頓特區的演奏廳
[00:01:52.000 --> 00:01:56.000]  但是他當日45分鐘的街頭賣藝
[00:01:56.000 --> 00:02:00.000]  收了就是32.1號7美金
[00:02:00.000 --> 00:02:04.000]  這個就是那個
[00:02:04.000 --> 00:02:08.000]  華盛頓郵報要做的一個實驗
[00:02:08.000 --> 00:02:10.000]  真實的實驗
[00:02:10.000 --> 00:02:14.000]  有沒有人真的欣賞美呢
[00:02:14.000 --> 00:02:16.000]  我們一起先祈禱
[00:02:16.000 --> 00:02:18.000]  親愛的主
[00:02:18.000 --> 00:02:22.000]  我們在這個月第三講了
[00:02:22.000 --> 00:02:25.000]  關於一個快樂的門徒生活
[00:02:25.000 --> 00:02:28.000]  應該追求哪一方面
[00:02:28.000 --> 00:02:31.000]  求主打開我們大家的心靈
[00:02:31.000 --> 00:02:35.000]  對一些可能我們已經很熟悉的經文
[00:02:35.000 --> 00:02:37.000]  真的認真一起去想一下
[00:02:37.000 --> 00:02:41.000]  以及去訓練我們的思想
[00:02:41.000 --> 00:02:45.000]  怎樣能夠真的轉向美善
[00:02:45.000 --> 00:02:47.000]  我們這樣禱告
[00:02:47.000 --> 00:02:49.000]  奉耶穌基督的名
[00:02:49.000 --> 00:02:51.000]  阿們
[00:02:51.000 --> 00:02:53.000]  這兩節聖經
[00:02:53.000 --> 00:02:55.000]  大家讀完之後已經發現很不簡單
[00:02:55.000 --> 00:02:58.000]  最美麗的詞彙
[00:02:58.000 --> 00:03:00.000]  保羅差不多用完了
[00:03:00.000 --> 00:03:02.000]  第八節
[00:03:02.000 --> 00:03:04.000]  再加上將他自己
