
[00:00:00.000 --> 00:00:06.000]  感謝神今日本堂的傳道人老月紅傳道在我們中間靜悟
[00:00:06.000 --> 00:00:10.000]  老傳道的講題是「律法已因詞」
[00:00:10.000 --> 00:00:15.000]  在講道之先,我會為大家述出相關的經文
[00:00:15.000 --> 00:00:22.000]  經文是記載在《撒慕諭記》下十四章一至二十四節
[00:00:22.000 --> 00:00:31.000]  在我們本堂使用的聖經舊約第四百四十至四百四十一頁
[00:00:31.000 --> 00:00:37.000]  《撒慕諭記》下十四章一至二十四節
[00:00:37.000 --> 00:00:44.000]  舊約聖經第四百四十至四百四十一頁
[00:00:44.000 --> 00:00:56.000]  「選老衙的兒子約衙,知道王心裡想念衙沙路,他派人往提歌去。
[00:00:56.000 --> 00:01:11.000]  從那裡叫一個有智慧的婦人來對他說:請你裝作居喪的人,穿上喪服,不用高抹身,裝作為死者悲哀多日的婦人。
[00:01:11.000 --> 00:01:21.000]  你到王那裡對王如此如此說,於是約衙把當說的話放在他口中。
[00:01:21.000 --> 00:01:30.000]  提歌的婦人到王面前,臉覆於地叩拜說:王呀求你拯救。
[00:01:30.000 --> 00:01:41.000]  王對她說:你有什麼事?她說:我實在是個寡婦,我丈夫死了。
[00:01:41.000 --> 00:01:53.000]  人要把我和我兒子從神的地獄上一同除滅,王必因英雲救使裡脫離他的手,被裡賞。
[00:01:53.000 --> 00:02:07.000]  我主我王的話必安慰我,因為我主我王能辨別是非,如同神的使者一樣,惟願耶和華,你的神與你同在。
[00:02:07.000 --> 00:02:18.000]  王回答婦人說:我問你一句話,你一點也不可瞞我。婦人說:我主我王,請說。
[00:02:18.000 --> 00:02:42.000]  王說:這一切莫非是約衙的手指使你的嗎?婦人回答說:我敢在我主我王面前起誓,我主我王所說的一切不偏左右,這是王的僕人約衙吩咐我的,這一切話是他放在脾裡口中的。
[00:02:42.000 --> 00:02:55.000]  王的僕人約衙做這事,惟要扭轉局面,我主的智慧卻如神使者的智慧,能知地上一切的事。
[00:02:55.000 --> 00:03:19.000]  王對約衙說:看那,我應允這事,你去把那年輕人阿沙隆帶回來。約衙面服於地叩拜,為王祝福說:王的應允僕人這件事,婦人今日知道在我主我王眼前蒙恩重了。
[00:03:19.000 --> 00:03:38.000]  於是約衙起身往基實去,把阿沙隆帶回耶路撒冷。王說:讓他回自己的家,不要來見我的面。阿沙隆就回自己的家去,沒有見王的面。
[00:03:38.000 --> 00:03:41.000]  現在恭請王傳達政道。
[00:03:41.000 --> 00:03:56.000]  (主席向法庭提交文件)
[00:03:57.000 --> 00:03:59.000]  請稍等,姐妹平安。
[00:03:59.000 --> 00:04:15.000]  如果是一個正在熱戀的年輕人,最難回應的問題是什麼呢?就莫過於你女朋友問你,如果和你媽一起掉下海,你會先救誰呢?
[00:04:15.000 --> 00:04:25.000]  問題的背後當然是她很想知道在你心裏,究竟媽媽重要些還是女朋友重要些。
[00:04:25.000 --> 00:04:42.000]  對於一些兩難的問題,有時真的很難去處理。據一些人事顧問的資料所說,在一些高級管理人員的招聘面試裏面,那些考官很喜歡問一些兩難的問題。
[00:04:42.000 --> 00:04:56.000]  人生交叉點,考考考生的反應,重點就是要看看考生選擇的理據和背後的價值觀。
[00:04:56.000 --> 00:05:12.000]  他怎樣去思考呢?怎樣去決定呢?他是理性主導去決定,還是用感性去主導去決定呢?對一個高級的管理人員來說是很重要的。
[00:05:12.000 --> 00:05:39.000]  較早前在電視節目裏面看了一個特輯,有一個藝人律師說到一宗案件,案件裏面的被告早年喪夫,本來生無可戀,想自殺,但為了要照顧兒子,沒辦法,咬緊牙關,繼續叫下去。
[00:05:39.000 --> 00:05:58.000]  死慳死抵,存了八萬元藏在床底,想供兒子讀大學,怎料兒子申請大學資助時,申報了母親有這八萬元。
[00:05:58.000 --> 00:06:17.000]  申報了又如何呢?被政府知道了,於是就告他母親多年來騙綜援,收了八萬元沒有報,沒有資格拿綜援,但拿了,最後罪成。
[00:06:17.000 --> 00:06:40.000]  按法律規定,這個案件的被告,即是母親,是需要坐牢的,騙綜援,需要坐牢。這個藝人律師就對法官說,法律不外乎人情,寡母婆手下,這麼辛苦,死慳死抵,為了八萬元,都是希望兒子讀大學。
[00:06:40.000 --> 00:07:01.000]  他說,法律不外乎人情,這案件就是需要法官使用人情的時候。當然,最後法官就接納了律師的求情,雖然判母親有罪,但不需要坐牢。
[00:07:01.000 --> 00:07:19.000]  法律與人情,何時用法,何時用情,究竟有沒有準則呢?這個準則如何判斷呢?在我們日常生活裏,這個準則對我們有沒有參考價值呢?
[00:07:19.000 --> 00:07:33.000]  今日,我很想用法母語記十四章這段經文,用幾個角度去思考一下,法律與恩慈的關係。開始的時候,我們有一個祈禱。
[00:07:33.000 --> 00:08:01.000]  各位創天造地,啟迪人心的恩主,求祢今日與我們同在,讓講的和聽的都能夠同感一靈,去領受祢的教導,好使我們的生命有祢的話去承載我們。在這個誠整的路上,我們的生命不斷地成長,我們祈禱交托,奉教主耶穌基督的聖名祈求,阿們。
[00:08:01.000 --> 00:08:08.000]  先和大家講一下背景。十四章的經文是承接著十三章的內容的。
[00:08:08.000 --> 00:08:28.000]  即是阿沙隆為了報復妹妹卡瑪被暗亂污辱之後,阿沙隆就用詭計將暗亂殺了。
[00:08:28.000 --> 00:08:47.000]  人雖然殺了,但就引起了大衛的誤會,以為阿沙隆想謀朝篡位,最後阿沙隆就跑去外祖父基屬王那邊避難,而且一避難一避就避了三年。
[00:08:47.000 --> 00:09:04.000]  何時能夠再回去殺人呢?沒有人知道,大衛又沒有採取任何措施,總之阿沙隆就跑去了外祖父那邊。
