
[00:00:00.000 --> 00:00:01.660]  第一節會晚安
[00:00:01.660 --> 00:00:05.340]  我們一起再有機會去看羅馬書
[00:00:05.340 --> 00:00:07.620]  我們先有個祈禱
[00:00:07.620 --> 00:00:12.140]  很感恩天父讓我們再一次恢復羅馬書的言經
[00:00:12.140 --> 00:00:14.960]  我們一直在第九、第十章
[00:00:14.960 --> 00:00:17.800]  看到保羅他的思想
[00:00:17.800 --> 00:00:21.640]  對以色列人他不會有一個拒絕
[00:00:21.640 --> 00:00:26.280]  反而就是將神的計劃和人的限制
[00:00:26.280 --> 00:00:30.820]  人的失敗基於人自己的自以為是
[00:00:30.820 --> 00:00:33.340]  以為自己是神選民
[00:00:33.340 --> 00:00:35.460]  就會有一種必然
[00:00:35.460 --> 00:00:38.380]  好像是誰手可得那樣
[00:00:38.380 --> 00:00:40.720]  必然的會得到救恩
[00:00:40.720 --> 00:00:45.380]  多謝主讓我們能夠透過仕途保羅的教導
[00:00:45.380 --> 00:00:48.960]  還有在第十一章他有一個很大的奧秘
[00:00:48.960 --> 00:00:54.840]  都讓我們揭開對於神永恆計劃的了行形式
[00:00:54.840 --> 00:00:57.060]  做物主是這麼偉大
[00:00:57.060 --> 00:01:02.160]  是一位前愛、真理、信實的主
[00:01:02.160 --> 00:01:04.140]  讓我們能夠認識你
[00:01:04.140 --> 00:01:06.360]  尤其是透過聖經的啟示
[00:01:06.360 --> 00:01:10.320]  讓我們知道你在人類的救贖計劃裏面
[00:01:10.320 --> 00:01:12.980]  那個規模、那個計劃
[00:01:12.980 --> 00:01:15.560]  我們今天晚上都會接到去
[00:01:15.560 --> 00:01:17.760]  十一章這些經文的時候
[00:01:17.760 --> 00:01:21.680]  都讓我們能夠一個這樣的了解
[00:01:21.680 --> 00:01:24.360]  無論是透過引述舊樣的經文
[00:01:24.360 --> 00:01:27.100]  都讓我們認識保羅的內心
[00:01:27.100 --> 00:01:34.220]  他當時寫作的時候那個內心的慨嘆
[00:01:34.220 --> 00:01:39.440]  還有那個對神偉大的救恩的讚嘆
[00:01:39.440 --> 00:01:41.300]  都讓我們能夠認識
