
[00:00:00.000 --> 00:00:02.000]  神的心意当中
[00:00:02.000 --> 00:00:05.480]  经文是在路加福音13章1-9
[00:00:05.480 --> 00:00:07.480]  请听我读出
[00:00:07.480 --> 00:00:15.000]  正当那时有些在场的人把比拉多使加利利人的血参集在他们祭物中的时
[00:00:15.000 --> 00:00:17.000]  告诉耶稣
[00:00:17.000 --> 00:00:19.000]  耶稣对他们说
[00:00:19.000 --> 00:00:24.000]  你们以为这些加利利人比其他的加利利人更有罪
[00:00:24.000 --> 00:00:26.000]  所以受这害吗
[00:00:26.000 --> 00:00:28.000]  我告诉你们,不是的
[00:00:28.000 --> 00:00:32.000]  你们若不悔改,都同样要灭亡
[00:00:32.000 --> 00:00:37.000]  从前西罗那流倒塌,压死了十八个人
[00:00:37.000 --> 00:00:42.000]  你们以为那些人比一切住在耶路撒冷的人更有罪吗
[00:00:42.000 --> 00:00:45.000]  我告诉你们,不是的
[00:00:45.000 --> 00:00:49.000]  你们若不悔改,都照样要灭亡
[00:00:49.000 --> 00:00:52.000]  于是耶稣用比喻说
[00:00:52.000 --> 00:00:57.000]  有一个人在葡萄园里栽了一棵无花果树
[00:00:57.000 --> 00:01:02.000]  他前来在树上找果子,却找不到
[00:01:02.000 --> 00:01:04.000]  就对园丁说
[00:01:04.000 --> 00:01:11.000]  看啊,我这三年来到这棵无花果树前找果子,竟找不到
[00:01:11.000 --> 00:01:15.000]  摆得陷了罢,何必白占土地呢
[00:01:15.000 --> 00:01:17.000]  园丁回答
[00:01:17.000 --> 00:01:20.000]  主啊,今年且留着
[00:01:20.000 --> 00:01:24.000]  等我在树周围挖开土,加上肥料
[00:01:24.000 --> 00:01:30.000]  以后若结果子变白,不然再摆它陷了
[00:01:30.000 --> 00:01:33.000]  我现在将时间公正交给老传道
[00:01:51.000 --> 00:01:54.000]  各位奸流的弟兄姐妹平安
[00:01:54.000 --> 00:01:59.000]  一些古老流传下来的智慧
[00:01:59.000 --> 00:02:03.000]  或者现代心理学所提倡的人际关系之道
[00:02:03.000 --> 00:02:06.000]  都同样说到一样东西
[00:02:06.000 --> 00:02:11.000]  就是在别人说话的时候,你不要打断他
[00:02:11.000 --> 00:02:16.000]  除了是无礼貌之外,还很容易激发冲突
[00:02:16.000 --> 00:02:19.000]  或者破坏彼此之间的关系
[00:02:19.000 --> 00:02:23.000]  不过这种说法会不会有点例外呢
[00:02:23.000 --> 00:02:28.000]  今天讲到的经文,就记载了一个类似的情况
[00:02:28.000 --> 00:02:32.000]  在耶稣说话的时候,就有人打断他
[00:02:32.000 --> 00:02:37.000]  打断了耶稣的说话,不过耶稣没有生气
[00:02:37.000 --> 00:02:43.000]  只是因应别人打断他的话题,转移了去说另一个教训
[00:02:43.000 --> 00:02:45.000]  还有一个比喻来配合
[00:02:45.000 --> 00:02:50.000]  今天我想透过耶稣这段说话让大家明白
[00:02:50.000 --> 00:02:55.000]  在神的恩典底下,我们应该有一个信仰的态度
[00:02:55.000 --> 00:02:58.000]  我们开始的时候有个祈祷
[00:02:58.000 --> 00:03:03.000]  祈祷我们每一个都身处在圣殿当中
[00:03:03.000 --> 00:03:06.000]  求祢开我们每一个的心
[00:03:06.000 --> 00:03:10.000]  让我们的话语栽种在我们的心田里
[00:03:10.000 --> 00:03:15.000]  让我们的生命建立在真理的盘石上高
[00:03:15.000 --> 00:03:17.000]  而不是建立在沙土上
[00:03:17.000 --> 00:03:20.000]  让祢的话语成为我们生命的动力
[00:03:20.000 --> 00:03:23.000]  在这个弯曲末某的世代里
[00:03:23.000 --> 00:03:27.000]  不会随风而去,随水飘流
[00:03:27.000 --> 00:03:29.000]  让我们每一个坐在这里的会友
[00:03:29.000 --> 00:03:34.000]  能够甘心乐意地过一个土神喜悦的人生
[00:03:34.000 --> 00:03:37.000]  我们的祈祷是奉主耶稣基督的圣明祈求
[00:03:37.000 --> 00:03:38.000]  阿们
[00:03:38.000 --> 00:03:43.000]  开始的时候我们先处理一下经文的背景和上下文
[00:03:43.000 --> 00:03:50.000]  在十三章第一节一开始就提到一个时间的句子
[00:03:50.000 --> 00:03:52.000]  正当那时
[00:03:52.000 --> 00:03:54.000]  什么叫正当那时呢?
[00:03:54.000 --> 00:04:00.000]  这个时间性的词会是指十二章耶稣和信徒正在讲论的时候
[00:04:00.000 --> 00:04:03.000]  如果我们能够有圣经看前一点
[00:04:03.000 --> 00:04:06.000]  在十二章第一节就讲到
[00:04:06.000 --> 00:04:10.000]  原来当时有几万人聚集在这里
[00:04:10.000 --> 00:04:17.000]  而经文还形容到当时甚至彼此的践踏
[00:04:17.000 --> 00:04:19.000]  几万人在这里
[00:04:19.000 --> 00:04:24.000]  是一个很容易触发到人踩人的灾难场景
[00:04:24.000 --> 00:04:26.000]  不过纵然如此
[00:04:26.000 --> 00:04:29.000]  这几万人聚集在这里是有一个原因的
[00:04:29.000 --> 00:04:32.000]  原因就是很想听耶稣的教训
[00:04:32.000 --> 00:04:35.000]  所以虽然很擠拥很擠逼
[00:04:35.000 --> 00:04:38.000]  但是没有人愿意离开
[00:04:38.000 --> 00:04:42.000]  在一个不容易控制几万人聚集的场景
[00:04:42.000 --> 00:04:46.000]  耶稣第一次被人打断的讲论在十二章十三节
[00:04:46.000 --> 00:04:48.000]  有人插入耶稣的教训
[00:04:48.000 --> 00:04:51.000]  要求耶稣和他两兄弟分身家
[00:04:51.000 --> 00:04:53.000]  耶稣就和他说
[00:04:53.000 --> 00:04:55.000]  我来这里做这些吗?
[00:04:55.000 --> 00:04:56.000]  十二章十四节就说
[00:04:56.000 --> 00:05:00.000]  谁立我作你的判官?
[00:05:00.000 --> 00:05:05.000]  接着耶稣就因应这个人提出分身家的请求
[00:05:05.000 --> 00:05:07.000]  去提醒信徒
[00:05:07.000 --> 00:05:11.000]  人的生命不在于家道丰富
[00:05:11.000 --> 00:05:13.000]  不要积聚财富在地上
[00:05:13.000 --> 00:05:16.000]  也不要为生活而忧虑
[00:05:16.000 --> 00:05:20.000]  还在十六节说了一个比喻去配合的讲论
[00:05:20.000 --> 00:05:22.000]  去说明在世的生命
[00:05:22.000 --> 00:05:26.000]  不要只是挂着钱
[00:05:26.000 --> 00:05:28.000]  因为你的财宝在哪里
[00:05:28.000 --> 00:05:31.000]  你的心在哪里
