
[00:00:00.000 --> 00:00:05.000]  經文記載在約拿書一章一至二節
[00:00:05.000 --> 00:00:07.680]  大家一起讀吧
[00:00:07.680 --> 00:00:09.400]  1 2 3
[00:00:09.400 --> 00:00:15.200]  耶和華的話臨到阿米泰的兒子約拿說
[00:00:15.200 --> 00:00:19.000]  你起來往尼尼尼大城去
[00:00:19.000 --> 00:00:21.880]  向其中的居民呼喊
[00:00:21.880 --> 00:00:26.800]  因為他們的惡達到我面前
[00:00:26.800 --> 00:00:28.200]  好
[00:00:28.200 --> 00:00:30.200]  請林姑娘
[00:00:30.200 --> 00:00:49.800]  各位電影姐妹平安
[00:00:49.800 --> 00:00:53.600]  講到之前我們同心祈禱
[00:00:53.600 --> 00:00:55.600]  慈悲仁愛天父我們多謝你
[00:00:55.600 --> 00:00:58.800]  我們來到你自己的殿內敬拜你
[00:00:58.800 --> 00:01:02.200]  聽你自己的話語獻上感恩
[00:01:02.200 --> 00:01:05.000]  願主你自己的靈啟迪我們心切
[00:01:05.000 --> 00:01:08.600]  我們屬靈的五性智慧明白你自己的話語
[00:01:08.600 --> 00:01:10.000]  我們在你面前的祈禱
[00:01:10.000 --> 00:01:12.200]  靠耶穌基督你得聖的名
[00:01:12.200 --> 00:01:13.400]  阿們
[00:01:13.400 --> 00:01:18.400]  今天會和大家分享一個主題和幾個故事
[00:01:18.400 --> 00:01:21.400]  約拿的先知書很簡單
[00:01:21.400 --> 00:01:25.800]  其實約拿描述了一個企圖違背神
[00:01:25.800 --> 00:01:29.600]  命令先知約拿他自己所經歷的事
[00:01:29.600 --> 00:01:32.200]  耶和華神告訴他
[00:01:32.200 --> 00:01:35.400]  你去以色列的世仇
[00:01:35.400 --> 00:01:39.400]  亞述帝國的首都尼尼尼城去
[00:01:39.400 --> 00:01:44.000]  宣告該城即將因為神的審判
[00:01:44.000 --> 00:01:46.000]  傾覆之後會滅城
[00:01:46.000 --> 00:01:50.800]  但約拿怎樣也不願意將神的訊息帶到那個地方
[00:01:50.800 --> 00:01:55.600]  因為他相信尼尼尼城的滅亡是罪有應得
