
[00:00:00.000 --> 00:00:15.000]  新約聖經第100頁
[00:00:15.000 --> 00:00:23.000]  《路加福音》七章三十六節至五十節
[00:00:23.000 --> 00:00:28.000]  有一個法利賽人請耶穌和他吃飯
[00:00:28.000 --> 00:00:33.000]  耶穌就到那法利賽人家裡去坐席
[00:00:33.000 --> 00:00:38.000]  那城裡有一個女人是個罪人
[00:00:38.000 --> 00:00:42.000]  知道耶穌在法利賽人家裡坐席
[00:00:42.000 --> 00:00:45.000]  就拿著一盆香膏的玉瓶
[00:00:45.000 --> 00:00:48.000]  站在耶穌背後
[00:00:48.000 --> 00:00:50.000]  挨著他的腳哭
[00:00:50.000 --> 00:00:54.000]  眼淚滴濕了耶穌的腳
[00:00:54.000 --> 00:00:57.000]  就用自己的頭髮擦乾
[00:00:57.000 --> 00:01:01.000]  又用嘴連連親他的腳
[00:01:01.000 --> 00:01:04.000]  把香膏抹上
[00:01:04.000 --> 00:01:09.000]  請耶穌的法利賽人看見這事
[00:01:09.000 --> 00:01:11.000]  心裡說
[00:01:11.000 --> 00:01:14.000]  「這人若是先知
[00:01:14.000 --> 00:01:17.000]  一定知道我他的是誰
[00:01:17.000 --> 00:01:19.000]  是個怎樣的女人
[00:01:19.000 --> 00:01:22.000]  她是個罪人」
[00:01:22.000 --> 00:01:25.000]  耶穌回應她說
[00:01:25.000 --> 00:01:30.000]  「西門,我有話要對你說」
[00:01:30.000 --> 00:01:32.000]  西門說
[00:01:32.000 --> 00:01:35.000]  「老師,請說」
[00:01:35.000 --> 00:01:37.000]  耶穌說
[00:01:37.000 --> 00:01:42.000]  「有兩個人欠了某一個債主的錢
[00:01:42.000 --> 00:01:46.000]  一個欠五百個銀幣
[00:01:46.000 --> 00:01:49.000]  一個欠五十個銀幣
[00:01:49.000 --> 00:01:53.000]  因為他們無力償還
[00:01:53.000 --> 00:01:55.000]  債主就開恩
[00:01:55.000 --> 00:01:58.000]  賤免了他們兩個人的債
[00:01:58.000 --> 00:02:01.000]  那麼這兩個人
