
[00:00:00.000 --> 00:00:01.660]  省卿姐妹平安
[00:00:01.660 --> 00:00:05.320]  我們開始之前有一個禱告
[00:00:05.320 --> 00:00:07.680]  參加了我們再一次去感謝你
[00:00:07.680 --> 00:00:10.280]  感謝你讓我們有生命的氣息
[00:00:10.280 --> 00:00:15.200]  讓我們今天可以回到你的殿當中去敬拜你
[00:00:15.200 --> 00:00:18.720]  一生間孩子都有宣講你自己話語的時間
[00:00:18.720 --> 00:00:22.120]  求真理的聖靈與我們眾人同在
[00:00:22.120 --> 00:00:27.160]  帶領我們無論講的聽的都進入你的真理當中
[00:00:27.160 --> 00:00:30.680]  讓我們被主你自己的話語得著造就
[00:00:30.680 --> 00:00:33.080]  得著更新 得著鼓勵
[00:00:33.080 --> 00:00:35.600]  求你親自帶領以下的時間
[00:00:35.600 --> 00:00:39.520]  以上禱告 奉主耶穌基督明治祈求 阿門
[00:00:39.520 --> 00:00:44.800]  省卿姐妹在這段時間
[00:00:44.800 --> 00:00:48.320]  可能有寫報紙或身邊認識的朋友
[00:00:48.320 --> 00:00:51.360]  我想都有不少離開香港
[00:00:51.360 --> 00:00:53.880]  甚至有些是全家移民
[00:00:53.880 --> 00:00:57.080]  在不同的地方繼續生活
[00:00:57.080 --> 00:00:59.320]  有時看報紙看到在機場
[00:00:59.320 --> 00:01:00.840]  或者自己去到機場的時候
[00:01:00.840 --> 00:01:02.320]  都會看到一幕幕
[00:01:02.320 --> 00:01:07.840]  即是很多依依不捨去送別親友的場景
[00:01:07.840 --> 00:01:09.480]  大家試想想
[00:01:09.480 --> 00:01:14.800]  如果你要和你最好的親朋戚友分開的時候
[00:01:14.800 --> 00:01:17.600]  將來未必可以有機會見的時候
[00:01:17.600 --> 00:01:22.280]  你會想和他講一些什麼臨別之言呢?
[00:01:22.280 --> 00:01:24.240]  我猜大家可能都會想
[00:01:24.240 --> 00:01:27.040]  一定會講一些心底話
