
[00:00:00.000 --> 00:00:02.000]  (主持人:弟兄姊妹晚安)
[00:00:02.000 --> 00:00:10.000]  (主持人:感謝神讓我在本年度最後一個星期六晚)
[00:00:10.000 --> 00:00:13.000]  (主持人:可以在這裡和大家分享訊息)
[00:00:13.000 --> 00:00:16.000]  (主持人:我們開始的時候又一起祈禱)
[00:00:16.000 --> 00:00:23.000]  (主持人:天父上帝我們感謝祢)
[00:00:23.000 --> 00:00:26.000]  (主持人:從歲首到年終)
[00:00:26.000 --> 00:00:30.000]  (主持人:祢都是以祢的話語帶領我們行人生的路)
[00:00:30.000 --> 00:00:32.000]  (主持人:我盼望今晚的時間)
[00:00:32.000 --> 00:00:36.000]  (主持人:祢繼續開我們的眼睛 開我們的耳朵)
[00:00:36.000 --> 00:00:38.000]  (主持人:讓我們聽到祢的聲音)
[00:00:38.000 --> 00:00:42.000]  (主持人:又願意聖靈在我們眾人的生命裡工作)
[00:00:42.000 --> 00:00:46.000]  (主持人:感動我們 讓我們能夠作出即切的回應)
[00:00:46.000 --> 00:00:50.000]  (主持人:我們這樣的禱告是奉耶穌基督的名字)
[00:00:50.000 --> 00:00:52.000]  (主持人:阿們)
[00:00:52.000 --> 00:00:58.000]  (主持人:今天是寶羅很大膽的祈禱)
[00:00:58.000 --> 00:01:01.000]  (主持人:甚至是很大的祈禱)
[00:01:01.000 --> 00:01:06.000]  (主持人:請大家翻開聖經和我們一起去看)
[00:01:06.000 --> 00:01:10.000]  (主持人:在三章的一到十三節)
[00:01:10.000 --> 00:01:15.000]  (主持人:寶羅說自己有一個很重要的職份)
[00:01:15.000 --> 00:01:17.000]  (主持人:他是外邦人的使徒)
[00:01:17.000 --> 00:01:21.000]  (主持人:神呼召他 將福音傳給外邦人)
[00:01:21.000 --> 00:01:24.000]  (主持人:他也說了一個很重要的奧秘)
[00:01:24.000 --> 00:01:27.000]  (主持人:就是外邦人和猶太人一起)
[00:01:27.000 --> 00:01:30.000]  (主持人:都是積著耶穌基督的救恩)
