
[00:00:00.000 --> 00:00:02.000]  請姐妹晚安
[00:00:02.000 --> 00:00:07.600]  很感恩 很久沒有在晚堂裡面跟大家見面了
[00:00:07.600 --> 00:00:11.920]  感謝我們今天可以一起用上帝的話
[00:00:11.920 --> 00:00:14.560]  來彼此的勉勵
[00:00:14.560 --> 00:00:18.960]  上個星期我進了一個靜修營
[00:00:18.960 --> 00:00:20.960]  一至四的
[00:00:20.960 --> 00:00:24.640]  當中晚上有分組的時間
[00:00:24.640 --> 00:00:27.280]  有一位弟兄跟我們分享了
[00:00:27.280 --> 00:00:32.880]  他說在上一年他又是戴著教會的頂墊背
[00:00:32.880 --> 00:00:34.880]  去到退修營
[00:00:34.880 --> 00:00:38.160]  但是在營裡面他跌倒了
[00:00:38.160 --> 00:00:41.520]  腳受傷了 要進醫院
[00:00:41.520 --> 00:00:44.480]  但是進了醫院之後就發覺到
[00:00:44.480 --> 00:00:47.040]  其實最主要的問題不是腳
[00:00:47.040 --> 00:00:49.760]  而是他的腦裡面有積水
[00:00:49.760 --> 00:00:52.240]  所以醫院不讓他出院
[00:00:52.240 --> 00:00:55.760]  就叫他進住院了
[00:00:55.760 --> 00:00:58.800]  他覺得很淒涼
[00:00:58.800 --> 00:01:01.920]  特別在疫情期間又不可以探
[00:01:01.920 --> 00:01:04.720]  最多可以視像見一下家人
[00:01:04.720 --> 00:01:09.520]  因為他的情況都不是那麼好
[00:01:09.520 --> 00:01:11.760]  所以有時候有些事情
[00:01:11.760 --> 00:01:15.760]  那些醫護人員都未必即時可以幫到他
[00:01:15.760 --> 00:01:18.240]  他覺得很慘
[00:01:18.240 --> 00:01:21.680]  但是他又看到那些醫護人員那麼忙
[00:01:21.680 --> 00:01:25.680]  又看到有些病人不是那麼聽話的時候
[00:01:25.680 --> 00:01:27.120]  會被人罵的
[00:01:27.120 --> 00:01:31.760]  所以他就立志要做一個聽話的病人
[00:01:31.760 --> 00:01:36.000]  所以他說他住了醫院四十多天
[00:01:36.000 --> 00:01:39.680]  在當中他沒有被醫護人員罵過
[00:01:39.680 --> 00:01:45.760]  並且被那些醫護人員稱讚他是一個很好的病人
[00:01:45.760 --> 00:01:48.560]  他覺得很幸福 很幸福
[00:01:48.560 --> 00:01:50.320]  他覺得那種幸福就是說
[00:01:50.320 --> 00:01:52.400]  他遇到一些不幸的事情
[00:01:52.400 --> 00:01:53.760]  跌倒了腳
[00:01:53.760 --> 00:01:56.320]  但結果後來發現是腦積水
[00:01:56.320 --> 00:01:58.800]  做病人很淒涼
[00:01:58.800 --> 00:01:59.920]  不能動了
[00:01:59.920 --> 00:02:03.520]  但又被人稱讚他是一個很好的病人
[00:02:03.520 --> 00:02:06.000]  以至他四十多天沒有被人罵過
[00:02:06.000 --> 00:02:09.280]  他覺得很幸福 很幸福
[00:02:09.280 --> 00:02:10.960]  今天所有講題
[00:02:10.960 --> 00:02:14.000]  可能我上個星期經常聽他講得太多幸福了
[00:02:14.000 --> 00:02:16.320]  所以今天講題原本就是
[00:02:16.320 --> 00:02:18.560]  我們是被揀選的
[00:02:18.560 --> 00:02:19.680]  但我想起
[00:02:19.680 --> 00:02:22.480]  原來我們被上帝揀選的
[00:02:22.480 --> 00:02:25.760]  是一個很蒙福 很幸福的
[00:02:25.760 --> 00:02:30.320]  所以就特意加了「幸福」在前面
[00:02:30.320 --> 00:02:33.440]  這個彼得前書
[00:02:33.440 --> 00:02:39.760]  大概寫在公元62到63年的時候
[00:02:39.760 --> 00:02:43.120]  那時候羅馬皇帝尼祿王
[00:02:43.120 --> 00:02:46.480]  他差但那個大迫害
[00:02:46.480 --> 00:02:50.160]  火燒羅馬城那件事還沒有發生
[00:02:50.160 --> 00:02:52.480]  不過那幫基督徒
[00:02:52.480 --> 00:02:57.600]  其實已經經常面對一些迫害
[00:02:57.600 --> 00:03:00.480]  我們從希伯來書看到
[00:03:00.480 --> 00:03:03.600]  有些人 有些外邦人
[00:03:03.600 --> 00:03:07.360]  或者不信基督的猶太人
[00:03:07.360 --> 00:03:11.680]  他們可以隨便進屋來搶劫殺人
[00:03:11.680 --> 00:03:15.600]  另外那些人也要抵制那些基督徒
[00:03:15.600 --> 00:03:17.760]  不和基督徒做生意
[00:03:17.760 --> 00:03:20.880]  也不請他們去做事
[00:03:20.880 --> 00:03:24.160]  所以那幫基督徒在經濟
[00:03:24.160 --> 00:03:29.440]  在生活各方面都遇到很大的困難
[00:03:29.440 --> 00:03:33.280]  彼得就寫這封信去提醒他們
[00:03:33.280 --> 00:03:37.360]  他說人在地上遇到苦難
[00:03:37.360 --> 00:03:39.680]  遇到困難是一定的
[00:03:39.680 --> 00:03:41.360]  是一定會有的
[00:03:41.360 --> 00:03:44.560]  但是我們作為基督的信徒的時候
[00:03:44.560 --> 00:03:53.520]  我們就當這些苦難、困難是一個信心的鍛鍊
[00:03:53.520 --> 00:03:56.080]  並且去堅信一件事
[00:03:56.080 --> 00:03:58.640]  在耶穌基督出現的時候
[00:03:58.640 --> 00:04:00.320]  我們一幫信徒
[00:04:00.320 --> 00:04:02.800]  勝過了苦難的信徒
[00:04:02.800 --> 00:04:06.240]  都一定會得到這個獎賞的
[00:04:06.240 --> 00:04:08.880]  所以彼得就面對那些信徒
[00:04:08.880 --> 00:04:13.600]  要很勇敢地去面對一些艱苦
[00:04:13.600 --> 00:04:17.680]  也告訴他們在這個世界上
[00:04:17.680 --> 00:04:20.000]  他們是屬於基督的
[00:04:20.000 --> 00:04:23.440]  他們不再屬於這個世界了
[00:04:23.440 --> 00:04:29.520]  剛才盧先生說我們讀出第二章第九和第十節
[00:04:29.520 --> 00:04:36.720]  是說了基督徒在世界上的身份和責任
[00:04:36.720 --> 00:04:40.480]  在第九節裡面是說了有兩組字的
[00:04:40.480 --> 00:04:42.960]  就是我們一幫信徒是怎樣的呢?
[00:04:42.960 --> 00:04:45.600]  是被揀選的一族
[00:04:45.600 --> 00:04:47.280]  揀選成為什麼?
[00:04:47.280 --> 00:04:50.720]  成為了上帝的子民
[00:04:50.720 --> 00:04:52.720]  第二組是什麼呢?
[00:04:52.720 --> 00:04:55.360]  上帝的子民的特性是怎樣的?
[00:04:55.360 --> 00:04:57.760]  就是君尊的祭祀
[00:04:57.760 --> 00:05:00.560]  是神聖的國度
[00:05:00.560 --> 00:05:04.800]  我們今天就藉著這段經文彼此勉勵
[00:05:04.800 --> 00:05:08.480]  我們就看一下
[00:05:08.480 --> 00:05:10.720]  我們是被揀選的
[00:05:10.720 --> 00:05:13.120]  被上帝所揀選的
[00:05:13.120 --> 00:05:16.560]  所以我們非常的蒙福
