
[00:00:00.000 --> 00:00:03.600]  今日的講題是「一宗失蹤事件」
[00:00:03.600 --> 00:00:07.000]  經文是選自《路加福音》
[00:00:07.000 --> 00:00:11.600]  二章四十一至五十二節
[00:00:11.600 --> 00:00:13.800]  每年如月節
[00:00:13.800 --> 00:00:17.200]  他父母都上耶路撒冷去
[00:00:17.200 --> 00:00:19.600]  當他十二歲的時候
[00:00:19.600 --> 00:00:22.800]  他們按著過節的規矩上去
[00:00:22.800 --> 00:00:25.200]  走滿了節期
[00:00:25.200 --> 00:00:26.800]  他們回去
[00:00:26.800 --> 00:00:29.800]  是和耶穌營救在耶路撒冷
[00:00:29.800 --> 00:00:33.000]  他的父母並不知道
[00:00:33.000 --> 00:00:36.400]  以為他在同行的人中間
[00:00:36.400 --> 00:00:39.200]  走了一天的路程
[00:00:39.200 --> 00:00:43.400]  才在親屬和熟悉的人中找他
[00:00:43.400 --> 00:00:45.400]  既找不著
[00:00:45.400 --> 00:00:48.400]  就回耶路撒冷去找他
[00:00:48.400 --> 00:00:50.800]  過了三天
[00:00:50.800 --> 00:00:53.400]  他們發現他在聖殿裡
[00:00:53.400 --> 00:00:56.000]  坐在教師中間
[00:00:56.000 --> 00:00:59.000]  一面聽一面聞
[00:00:59.000 --> 00:01:01.000]  凡聽見他的人
[00:01:01.000 --> 00:01:05.600]  都對他的聰明和應對感到驚奇
[00:01:05.600 --> 00:01:09.600]  他父母看見就很驚奇
[00:01:09.600 --> 00:01:12.200]  他母親對他說
[00:01:12.200 --> 00:01:16.600]  「我兒啊,為什麼對我們這樣做呢?」
[00:01:16.600 --> 00:01:22.600]  「漢啊,你父親和我很焦急到處找你」
[00:01:22.600 --> 00:01:25.000]  耶穌對他們說
[00:01:25.000 --> 00:01:27.400]  「為什麼找我呢?」
[00:01:27.400 --> 00:01:33.400]  「難道你們不知道我應當在我父的家裡嗎?」
[00:01:33.400 --> 00:01:36.400]  他所說的話
[00:01:36.400 --> 00:01:38.800]  他們不明白
[00:01:38.800 --> 00:01:41.600]  他就和他們下去
[00:01:41.600 --> 00:01:43.600]  回到拿撒勒
[00:01:43.600 --> 00:01:46.000]  並且順從他們
[00:01:46.000 --> 00:01:49.600]  他母親把這一切的事
[00:01:49.600 --> 00:01:52.000]  都存在心裡
[00:01:52.000 --> 00:01:54.600]  耶穌的智慧和新良
[00:01:54.600 --> 00:01:57.400]  並神和人喜愛他的心
[00:01:57.400 --> 00:01:59.600]  都一起增長
[00:01:59.600 --> 00:02:01.400]  今天我們很開心
[00:02:01.400 --> 00:02:03.200]  有我們本堂傳道
[00:02:03.200 --> 00:02:04.800]  張超智傳道
[00:02:04.800 --> 00:02:06.200]  在我們中間整道
[00:02:06.200 --> 00:02:07.000]  不再恭敬
[00:02:07.000 --> 00:02:08.600]  將時間交給他
[00:02:08.600 --> 00:02:09.600]  (主持)各位兄妹
[00:02:09.600 --> 00:02:11.600]  早晨
[00:02:11.600 --> 00:02:17.200]  本年我們教會訂立了用勞家福音
[00:02:17.200 --> 00:02:19.400]  作為我們今年宣講
[00:02:19.400 --> 00:02:22.400]  研讀的一段書信
[00:02:22.400 --> 00:02:23.600]  或者講道的題目
[00:02:23.600 --> 00:02:26.000]  所以由今年年頭到年尾
[00:02:26.000 --> 00:02:27.600]  都會講勞家福音
[00:02:27.600 --> 00:02:29.800]  所以大家做好準備的話
[00:02:29.800 --> 00:02:31.600]  首先現在不要看聖經
[00:02:31.600 --> 00:02:33.400]  因為稍後還要看一點
[00:02:33.400 --> 00:02:35.400]  但更好的就是
[00:02:35.400 --> 00:02:36.600]  大家請你們回家
[00:02:36.600 --> 00:02:39.200]  盡量將勞家福音看完
