
[00:00:00.000 --> 00:00:04.800]  今天在崇拜當中和你們一起唱詩歌
[00:00:04.800 --> 00:00:06.800]  感覺到很雀躍
[00:00:06.800 --> 00:00:11.720]  還有大家唱歌的氣氛是很興奮
[00:00:11.720 --> 00:00:15.560]  我想可能會不會受到Watutu影響呢?
[00:00:15.560 --> 00:00:20.040]  昨晚我們在錦繡堂
[00:00:20.040 --> 00:00:23.680]  Watutu來表演唱歌
[00:00:23.680 --> 00:00:27.280]  講見證,不知有多興奮
[00:00:27.280 --> 00:00:31.320]  特別是小朋友們在歌在舞
[00:00:31.320 --> 00:00:35.280]  令我們沒試過晚堂這麼興奮和雀躍
[00:00:35.280 --> 00:00:37.280]  嘉欣樓這裏
[00:00:37.280 --> 00:00:42.960]  上星期你們有多少人參加Watutu的聚會?
[00:00:42.960 --> 00:00:44.560]  是不是很精彩?
[00:00:44.560 --> 00:00:47.040]  非常精彩,很感恩
[00:00:47.040 --> 00:00:52.200]  天父給我們的恩典是非常足夠
[00:00:52.200 --> 00:00:55.000]  不論我們在嘉欣,在錦繡
[00:00:55.000 --> 00:00:57.720]  上帝也給我們很多恩典
[00:00:57.720 --> 00:01:01.280]  牧師今早和大家分享的題目是
[00:01:01.280 --> 00:01:03.280]  為主奔跑
[00:01:03.280 --> 00:01:07.640]  剛才已經有機會讀了整段聖經
[00:01:07.640 --> 00:01:13.960]  為何保羅會說到24節
[00:01:13.960 --> 00:01:17.600]  開始用運動員的比方來說呢?
[00:01:17.600 --> 00:01:20.600]  因為前面的上文
[00:01:20.600 --> 00:01:24.080]  第九章的第一節到23節
[00:01:24.080 --> 00:01:26.080]  原來保羅在說一件事
[00:01:26.080 --> 00:01:30.600]  這件事是保羅說我怎樣去傳福音
[00:01:30.600 --> 00:01:32.600]  我的經歷如何
[00:01:32.600 --> 00:01:34.880]  我的心態如何
[00:01:34.880 --> 00:01:36.880]  我的態度如何
[00:01:36.880 --> 00:01:41.280]  在1到23節就表露無遺
[00:01:41.280 --> 00:01:45.640]  不知大家有多少人讀過臨前的第九章
[00:01:45.640 --> 00:01:47.800]  如果你讀過,你應該有些印象
[00:01:47.800 --> 00:01:49.560]  就是保羅說什麼?
[00:01:49.560 --> 00:01:52.920]  保羅說我傳福音,願沒有可誇的
[00:01:52.920 --> 00:01:56.280]  因我是不得而的
[00:01:56.280 --> 00:02:00.200]  若不傳福音,我就有和了
[00:02:00.200 --> 00:02:01.400]  有沒有印象?
[00:02:01.400 --> 00:02:03.400]  有些印象吧
[00:02:03.400 --> 00:02:08.360]  保羅又說,無論對著猶太人
