
[00:00:00.000 --> 00:00:05.000]  大英姐妹,主內平安!
[00:00:05.000 --> 00:00:12.000]  在疫症繼續肆虐未停止,
[00:00:12.000 --> 00:00:20.000]  政治經濟急速變化下滑當下的今日,
[00:00:20.000 --> 00:00:29.000]  使我們的身心舍靈都受到很大的壓力挑戰。
[00:00:29.000 --> 00:00:40.000]  我們對很多未來的事是不知道的,不確知的,uncertain。
[00:00:40.000 --> 00:00:47.000]  因此,當我今天說「願你們平安」的時候,
[00:00:47.000 --> 00:00:53.000]  我相信你們心裏面的感受,哪裏有平安呢?
[00:00:53.000 --> 00:00:59.000]  會否我們基督徒太講平安,唱個歌平安健康,
[00:00:59.000 --> 00:01:03.000]  但都不對應的?
[00:01:03.000 --> 00:01:07.000]  所以我今日的訊息就是和大家說,
[00:01:07.000 --> 00:01:14.000]  你有沒有擁有一份超越我們能理解的平安呢?
[00:01:14.000 --> 00:01:22.000]  是來自菲律賓書第四章第七節的。
[00:01:22.000 --> 00:01:28.000]  第六節其實是說,應當一無掛慮,凡事都要禱告祈求感謝,
[00:01:28.000 --> 00:01:31.000]  將一切的交託給神。
[00:01:31.000 --> 00:01:37.000]  所以你見到,今日我選這一段的二賽亞書的經文,
[00:01:37.000 --> 00:01:43.000]  聖經講平安是有四百次這麼多的,
[00:01:43.000 --> 00:01:48.000]  我今日特別選這一段是有意思的,
[00:01:48.000 --> 00:01:55.000]  我希望能夠從當時以色列他們面臨社會動盪不安的時候,
[00:01:55.000 --> 00:02:01.000]  上帝直著先知二賽亞講出這一段,
[00:02:01.000 --> 00:02:07.000]  「你信靠神,你就得十分的平安」,
[00:02:07.000 --> 00:02:13.000]  成為在這個很不安惶恐的環境裏面,
[00:02:13.000 --> 00:02:18.000]  我們的教導和鼓勵。
[00:02:18.000 --> 00:02:23.000]  其實我們每一個人自身都有很多擔憂的事,
[00:02:23.000 --> 00:02:25.000]  個人都有很多遭遇,
[00:02:25.000 --> 00:02:31.000]  很多擔子,令到我們自己煩惱不已。
[00:02:31.000 --> 00:02:40.000]  如果昔日耶穌問那位盲的巴底米,
[00:02:40.000 --> 00:02:44.000]  「你要我為你做什麼?」
[00:02:44.000 --> 00:02:52.000]  當然盲的巴底米他最渴望的就是「我要能看見」,
[00:02:52.000 --> 00:02:59.000]  如果今日神問你我,香港基督徒,你要什麼呢?
[00:02:59.000 --> 00:03:03.000]  我相信你毫不懷疑地心裏呼喊,
[00:03:03.000 --> 00:03:13.000]  「我要真平安,真安心,外在是困擾的,但我要有內安。」
[00:03:13.000 --> 00:03:19.000]  否則在這個亂象的世界裏面,我們怎樣繼續活下去呢?
[00:03:19.000 --> 00:03:23.000]  今日二賽亞二十六章這段經文,
[00:03:23.000 --> 00:03:29.000]  正是先知鼓勵我們在極不安的時勢底下,
[00:03:29.000 --> 00:03:39.000]  持續地以堅心信靠神,永保平安。
[00:03:39.000 --> 00:03:50.000]  這是聖經的說話,不是我們新年貼在家裏的出入平安的符咒,
[00:03:50.000 --> 00:03:55.000]  聖經所說的應該比我們一般人所說的平安。
[00:03:55.000 --> 00:03:57.000]  所以耶穌也說過,
[00:03:57.000 --> 00:04:01.000]  「你們在世有很多的患難,有很多的苦難,
[00:04:01.000 --> 00:04:07.000]  但我所賜的平安不是這個世界所賜的,
[00:04:07.000 --> 00:04:12.000]  是另類的安心。」
[00:04:12.000 --> 00:04:19.000]  二賽亞這段經文教導我們怎樣有另類的安心,
[00:04:19.000 --> 00:04:24.000]  以致我們不會將張力壓力,焦躁這些東西,
[00:04:24.000 --> 00:04:28.000]  經常蓋過我們自己。
[00:04:28.000 --> 00:04:36.000]  很奇怪的,先知是以一首讚美頌歌的形式的樂曲奏出,
[00:04:36.000 --> 00:04:39.000]  信心堅定這個主題的。
[00:04:39.000 --> 00:04:45.000]  這個音色就好像剛才吹色士風的姐妹一樣,
[00:04:45.000 --> 00:04:49.000]  吹出來很堅定的調子。
[00:04:49.000 --> 00:04:58.000]  這個堅定的信心完全基於神會出手來拯救聖城耶路撒冷,
[00:04:58.000 --> 00:05:02.000]  這個事實上。
[00:05:02.000 --> 00:05:09.000]  那些堅心進入城內的人,因為倚靠神而得亡保守,
[00:05:09.000 --> 00:05:11.000]  得到保障。
[00:05:11.000 --> 00:05:19.000]  所以這段積極的經文,其實是承接上一段二十五章,
[00:05:19.000 --> 00:05:23.000]  所描述聖城是被眾囚敵,
[00:05:23.000 --> 00:05:32.000]  埃及、黑術等等在侵擾或摸鴨,
[00:05:32.000 --> 00:05:37.000]  使耶路撒冷變成荒場,變成廢墟,
[00:05:37.000 --> 00:05:48.000]  殘暴處處,使聖城充滿了憂慮、哭泣、死亡、臨近的悲哀。
[00:05:48.000 --> 00:05:55.000]  聖城被形容為二十五章十二節話,是塵土,
[00:05:55.000 --> 00:06:01.000]  即是什麼都沒有了,一切都被淫亂。
[00:06:01.000 --> 00:06:07.000]  我們相信香港人現在很恐怕,未來一兩年就會知道,
[00:06:07.000 --> 00:06:12.000]  我們是否慢慢地,香港這個美好的城市,
[00:06:12.000 --> 00:06:17.000]  慢慢地變成,不是高樓大廈變成塵土,
[00:06:17.000 --> 00:06:26.000]  是人心,是整個民生變成塵土。
[00:06:26.000 --> 00:06:33.000]  所以在這種環境下,我們思想平安是有必要的。
[00:06:33.000 --> 00:06:35.000]  所以天仙之一第九節就說,
[00:06:35.000 --> 00:06:40.000]  「到那日人必說,看那這是我的神,
[00:06:40.000 --> 00:06:45.000]  我們向來等候他,他必拯救我們。
[00:06:45.000 --> 00:06:51.000]  這是耶路撒冷說,向來等候他的,
[00:06:51.000 --> 00:06:58.000]  我們必因他的救恩,歡喜快樂。」
[00:06:58.000 --> 00:07:02.000]  所以進入二十六章,仙之一立刻就回應,
[00:07:02.000 --> 00:07:07.000]  「當那日在猶太地,人必唱這歌,
[00:07:07.000 --> 00:07:15.000]  在最沒有希望的時候都要唱歌。」
[00:07:15.000 --> 00:07:20.000]  所以將來在天上,我們唯一的侍奉,
[00:07:20.000 --> 00:07:22.000]  我們這班最好的大靈經班人,
[00:07:22.000 --> 00:07:28.000]  就是永遠的侍奉,最有意義的。
[00:07:28.000 --> 00:07:35.000]  小靈師班長,最有意義的,永恆的侍奉。
[00:07:35.000 --> 00:07:39.000]  在最悲痛的日子都要唱歌,
[00:07:39.000 --> 00:07:45.000]  這個好像唱反調,很矛盾。
[00:07:45.000 --> 00:07:49.000]  但是神就在這首歌裡面說,
[00:07:49.000 --> 00:07:52.000]  「你知道有一個堅固性,
[00:07:52.000 --> 00:07:56.000]  耶和華會賜救恩給這個城,
[00:07:56.000 --> 00:08:01.000]  聖唱為門訣。」
[00:08:01.000 --> 00:08:05.000]  就是說這個城是被耶和華包圍著,
[00:08:05.000 --> 00:08:10.000]  所以耶和華神本身就是一位有平安的神,
[00:08:10.000 --> 00:08:15.000]  天下平安,保護這個城。
[00:08:15.000 --> 00:08:18.000]  所以他就說,你們要依靠他,
[00:08:18.000 --> 00:08:23.000]  當依靠耶和華,直到永遠。
[00:08:23.000 --> 00:08:29.000]  第四支,因為耶和華是我們永遠的盤石,
[00:08:29.000 --> 00:08:33.000]  很穩固的。
[00:08:33.000 --> 00:08:36.000]  教會作為信仰的群體,
[00:08:36.000 --> 00:08:41.000]  今天我們只能繼續堅心信賴神,
