
[00:00:00.000 --> 00:00:04.800]  今天很高興有梁永善牧師來到我們這裡
[00:00:04.800 --> 00:00:07.300]  為我們分享神的信息
[00:00:07.300 --> 00:00:11.000]  今天的講題是《詩恩忘報》
[00:00:11.000 --> 00:00:15.700]  經文是記載在《路加福音》十七章十一至十九節
[00:00:15.700 --> 00:00:17.700]  請聽我讀出經文
[00:00:17.700 --> 00:00:22.200]  耶穌往耶路撒冷去
[00:00:22.200 --> 00:00:26.200]  經過撒瑪利亞和加利利中間的地區
[00:00:26.200 --> 00:00:29.200]  他進入一個村子
[00:00:29.200 --> 00:00:32.200]  有十個麻風病人迎面而來
[00:00:32.200 --> 00:00:34.200]  遠遠地站著
[00:00:34.200 --> 00:00:36.200]  高聲說
[00:00:36.200 --> 00:00:38.200]  耶穌 老師呀
[00:00:38.200 --> 00:00:40.200]  可憐我們吧
[00:00:40.200 --> 00:00:43.200]  耶穌看見
[00:00:43.200 --> 00:00:45.200]  就對他們說
[00:00:45.200 --> 00:00:49.200]  你們去把身體給祭司檢查
[00:00:49.200 --> 00:00:53.200]  他們正去的時候就結症了
[00:00:53.200 --> 00:00:57.200]  其中有一個見自己已經好了
[00:00:57.200 --> 00:01:00.200]  就回來大聲歸榮耀給神
[00:01:00.200 --> 00:01:04.200]  又俯伏在耶穌腳前感謝他
[00:01:04.200 --> 00:01:07.200]  這人是撒瑪利亞人
[00:01:07.200 --> 00:01:10.200]  耶穌回答說
[00:01:10.200 --> 00:01:13.200]  結症了的不是十個人嗎?
[00:01:13.200 --> 00:01:16.200]  九個在那裡呢?
[00:01:16.200 --> 00:01:18.200]  除了這外族人
[00:01:18.200 --> 00:01:23.200]  再沒有別人回來歸榮耀給神嗎?
[00:01:24.200 --> 00:01:27.200]  於是他對乃人說
[00:01:27.200 --> 00:01:29.200]  起來 走吧
[00:01:29.200 --> 00:01:32.200]  你的信救了你
[00:01:32.200 --> 00:01:36.200]  將以下的時間交給梁牧師
[00:01:37.200 --> 00:01:39.200]  各位你們好
[00:01:39.200 --> 00:01:41.200]  很開心見到大家
[00:01:41.200 --> 00:01:43.200]  我第一次來到大家當中
[00:01:43.200 --> 00:01:45.200]  我第一次來到大家當中
[00:01:45.200 --> 00:02:09.200]  第一次來到大家當中
[00:02:09.200 --> 00:02:11.200]  剛才我剛去洗手間
[00:02:11.200 --> 00:02:14.200]  大敬拜就問有誰是第一次來
[00:02:14.200 --> 00:02:15.200]  所以我看不到
[00:02:15.200 --> 00:02:18.200]  我想問有誰是恆常來這裡的請舉手
[00:02:18.200 --> 00:02:20.200]  恆常來鼓勵大家
[00:02:20.200 --> 00:02:24.200]  有誰像我一樣是第一次來的請舉手
[00:02:24.200 --> 00:02:25.200]  我們可否用掌聲去歡迎他
[00:02:25.200 --> 00:02:27.200]  很多第一次來的
[00:02:27.200 --> 00:02:29.200]  乘機歡迎我也是第一次來的
[00:02:29.200 --> 00:02:31.200]  多謝大家
[00:02:31.200 --> 00:02:34.200]  有誰已經信了耶穌請舉手
[00:02:34.200 --> 00:02:35.200]  很多
[00:02:35.200 --> 00:02:38.200]  有誰還未信的摸索中
[00:02:38.200 --> 00:02:39.200]  不要緊的
[00:02:39.200 --> 00:02:41.200]  你是專櫃的請舉手
[00:02:41.200 --> 00:02:44.200]  1個2個3個4個5個6個7個
[00:02:44.200 --> 00:02:46.200]  少了10個
[00:02:46.200 --> 00:02:47.200]  墮落了
[00:02:47.200 --> 00:02:49.200]  OK 好
[00:02:49.200 --> 00:02:52.200]  人的墮落是慢慢地不覺的
[00:02:52.200 --> 00:02:54.200]  每個人都墮落了
[00:02:54.200 --> 00:02:57.200]  我們可否再用熱切的掌聲去歡迎
[00:02:57.200 --> 00:02:59.200]  剛才舉手的
[00:02:59.200 --> 00:03:01.200]  很開心你們可以在星期日裏面
[00:03:01.200 --> 00:03:03.200]  回來我們當中
[00:03:03.200 --> 00:03:05.200]  今天和大家分享的題目是很特別的
[00:03:05.200 --> 00:03:08.200]  叫做「施恩忘報」
[00:03:08.200 --> 00:03:10.200]  中國人有一句話這樣說
[00:03:10.200 --> 00:03:12.200]  施恩莫忘報
[00:03:12.200 --> 00:03:14.200]  忘報莫施恩
[00:03:14.200 --> 00:03:16.200]  這些是父母教導我們的
[00:03:16.200 --> 00:03:20.200]  但其實我們父母很想兒子回報給他
[00:03:20.200 --> 00:03:21.200]  教育是一套理論
[00:03:21.200 --> 00:03:22.200]  你去幫助別人
[00:03:22.200 --> 00:03:25.200]  不要想著他會有回報給你
[00:03:25.200 --> 00:03:26.200]  如果你去回報他
[00:03:26.200 --> 00:03:28.200]  不如你不要去幫他
[00:03:28.200 --> 00:03:30.200]  剛才我讀的經文很簡單
[00:03:30.200 --> 00:03:32.200]  就是耶穌醫了10個人
[00:03:32.200 --> 00:03:34.200]  後來有一個人回來多謝耶穌
[00:03:34.200 --> 00:03:36.200]  耶穌就問
[00:03:36.200 --> 00:03:37.200]  我醫了10個
[00:03:37.200 --> 00:03:39.200]  那9個去了哪裏呢?
[00:03:39.200 --> 00:03:42.200]  那時候耶穌其實有一個期望
[00:03:42.200 --> 00:03:43.200]  是怎樣的呢?
[00:03:43.200 --> 00:03:46.200]  那9個都回來多謝他
[00:03:46.200 --> 00:03:50.200]  那時候耶穌的心態究竟對不對呢?
[00:03:50.200 --> 00:03:52.200]  這是值得我們去反思的
[00:03:52.200 --> 00:03:55.200]  我們來看看情況
[00:03:55.200 --> 00:03:57.200]  我們已經讀過這些經文
[00:03:57.200 --> 00:03:59.200]  我們就已經不讀了
[00:03:59.200 --> 00:04:02.200]  我們以為很多基督徒很熟悉這段聖經
[00:04:02.200 --> 00:04:05.200]  以為這是偶然遇上的驚喜
[00:04:05.200 --> 00:04:07.200]  但其實是錯的
[00:04:07.200 --> 00:04:08.200]  聖經記載
[00:04:08.200 --> 00:04:10.200]  耶穌預備去耶路撒冷
[00:04:10.200 --> 00:04:12.200]  這是最後一次去耶路撒冷
[00:04:12.200 --> 00:04:14.200]  祂預備要面對死亡
[00:04:14.200 --> 00:04:16.200]  但是這件事發生在哪裏呢?
[00:04:16.200 --> 00:04:18.200]  在加利利這個地方
[00:04:18.200 --> 00:04:20.200]  如果大家留意到這個地圖
[00:04:20.200 --> 00:04:22.200]  耶路撒冷是在下面
[00:04:22.200 --> 00:04:24.200]  是在南部
[00:04:24.200 --> 00:04:26.200]  加利利是在北部
[00:04:26.200 --> 00:04:28.200]  如果祂要去的時候
[00:04:28.200 --> 00:04:30.200]  祂是在撒瑪利亞去的
[00:04:30.200 --> 00:04:32.200]  即是直接下去就可以了
[00:04:32.200 --> 00:04:34.200]  沒有理由要特意走上去
[00:04:34.200 --> 00:04:36.200]  北面的加利利
[00:04:36.200 --> 00:04:38.200]  我不是很熟悉這裏的地形
[00:04:38.200 --> 00:04:40.200]  當我來加州法院
[00:04:40.200 --> 00:04:42.200]  我在上水過來
[00:04:42.200 --> 00:04:44.200]  是不是應該直線過來就可以了?
[00:04:44.200 --> 00:04:45.200]  我不是
[00:04:45.200 --> 00:04:47.200]  我由上水出去紅磡
[00:04:47.200 --> 00:04:49.200]  由紅磡再坐西鐵
[00:04:49.200 --> 00:04:51.200]  然後去到西鐵之後
[00:04:51.200 --> 00:04:52.200]  在元朗再繞過來
[00:04:52.200 --> 00:04:53.200]  都可以來的
[00:04:53.200 --> 00:04:54.200]  這個世界是圓的
