
[00:00:00.000 --> 00:00:05.000]  從這個角度去看聖經人物的眼光是怎樣的呢?
[00:00:05.000 --> 00:00:09.840]  剛才我們看到九節聖經
[00:00:09.840 --> 00:00:11.300]  短短的九節裏面
[00:00:11.300 --> 00:00:15.100]  有七次講到「恩著信」
[00:00:15.100 --> 00:00:18.040]  所以我們今天會分三部份
[00:00:18.040 --> 00:00:21.880]  來看看這些人物的眼光
[00:00:21.880 --> 00:00:26.300]  首先我們來看看波西父母的眼光
[00:00:26.300 --> 00:00:30.300]  波西父親是暗男
[00:00:30.300 --> 00:00:33.140]  他的母親是約畿別
[00:00:33.140 --> 00:00:34.840]  波西出生的時候
[00:00:34.840 --> 00:00:45.180]  正是面對法老王殺害男人的時候
[00:00:45.180 --> 00:00:47.640]  為甚麼他會想要屠殺他們呢?
[00:00:47.640 --> 00:00:51.300]  其實是因為以色列人的人口太多
[00:00:51.300 --> 00:00:54.000]  很膨脹
[00:00:54.000 --> 00:00:57.340]  你想想,由雅各他們去埃及的時候
[00:00:57.340 --> 00:01:00.000]  全家族都是70人
[00:01:00.000 --> 00:01:05.340]  但到摩西要帶這班以色列人去埃及的時候
[00:01:05.340 --> 00:01:08.760]  南丁已經有60萬人
[00:01:08.760 --> 00:01:11.500]  再加上父親和弟弟
[00:01:11.500 --> 00:01:13.380]  應該有200萬人
[00:01:13.380 --> 00:01:15.920]  我們看看短短的四百年裏
[00:01:15.920 --> 00:01:17.840]  差不多四、五代人
[00:01:17.840 --> 00:01:21.300]  人數已經增長得這麼厲害
[00:01:21.300 --> 00:01:23.880]  同時在埃及的政壇上
[00:01:23.880 --> 00:01:25.760]  都有很大的劇變
[00:01:25.760 --> 00:01:29.080]  他們那時候在埃及地
[00:01:29.080 --> 00:01:32.880]  居住了一群來自雅述的閃米特人
[00:01:32.880 --> 00:01:36.620]  這班人被稱為希克索斯
[00:01:36.620 --> 00:01:42.760]  他們收服了埃及南北兩邊的權力之後
[00:01:42.760 --> 00:01:47.800]  他們就推翻了舊埃及的王朝
[00:01:47.800 --> 00:01:51.960]  重新建立一個新的埃及帝國王朝
[00:01:51.960 --> 00:01:53.620]  所以這些新的王朝
[00:01:53.620 --> 00:01:57.380]  他們根本就不認識約瑟的法老
[00:01:57.380 --> 00:02:02.080]  因為他們根本就不是土生土長的埃及人
[00:02:02.080 --> 00:02:05.920]  雖然當時這班以色列人沒有造反
[00:02:05.920 --> 00:02:08.920]  但他們的人口太多
[00:02:08.920 --> 00:02:13.420]  無緣之間會給法老很大的威脅
[00:02:13.420 --> 00:02:16.160]  所以作出這樣的想法
[00:02:16.160 --> 00:02:18.040]  就是屠殺他們
[00:02:18.040 --> 00:02:19.660]  在聖經的23節
[00:02:19.660 --> 00:02:20.860]  那裡的恩作信
[00:02:20.860 --> 00:02:22.080]  摩西生下來
[00:02:22.080 --> 00:02:24.860]  他的父母見他是個盡美的孩子
[00:02:24.860 --> 00:02:26.780]  把他藏了三個月
[00:02:26.780 --> 00:02:28.860]  並不怕王的命令
[00:02:28.860 --> 00:02:30.620]  你看到摩西的父母
[00:02:30.620 --> 00:02:35.740]  看到這個孩子很盡美
[00:02:35.740 --> 00:02:39.200]  表示好的意思
[00:02:39.200 --> 00:02:41.360]  就像聖經開始的時候
