
[00:00:00.000 --> 00:00:01.560]  現在是宣讀時間
[00:00:01.560 --> 00:00:03.560]  請聽我宣讀出以下經文
[00:00:03.560 --> 00:00:08.560]  經文記載在《已不所需》第五章八至第十四節
[00:00:08.560 --> 00:00:11.560]  《新行本聖經》新約第二百九十七頁
[00:00:11.560 --> 00:00:15.560]  《已不所需》五章八至十四節
[00:00:15.560 --> 00:00:19.560]  《新行本聖經》新約第二百九十七頁
[00:00:19.560 --> 00:00:23.560]  經文是這樣說的
[00:00:23.560 --> 00:00:25.560]  從前你們是暗媚的
[00:00:25.560 --> 00:00:28.560]  但如今在主裡面是光明的
[00:00:28.560 --> 00:00:31.560]  行事為人要像光明的子女
[00:00:31.560 --> 00:00:33.560]  光明所結的果子
[00:00:33.560 --> 00:00:37.560]  就是一切的良善、公義、誠實
[00:00:37.560 --> 00:00:40.560]  總要察驗什麼是主所喜悅的事
[00:00:40.560 --> 00:00:43.560]  那暗媚無益的事不可參與
[00:00:43.560 --> 00:00:46.560]  總要把這種事揭發出來
[00:00:46.560 --> 00:00:49.560]  因為他們暗中所做的
[00:00:49.560 --> 00:00:52.560]  就是連提起來都是可恥的
[00:00:52.560 --> 00:00:56.560]  凡被光所照明的都顯露出來
[00:00:56.560 --> 00:01:00.560]  因為這一切顯露出來的就是光
[00:01:00.560 --> 00:01:02.560]  所以有話說
[00:01:02.560 --> 00:01:04.560]  你這睡著的人醒過來吧
[00:01:04.560 --> 00:01:06.560]  要從死人復活
[00:01:06.560 --> 00:01:08.560]  基督要光照你了
[00:01:08.560 --> 00:01:13.560]  今天有我們本堂義務傳道陳偉安傳道在當中正道
[00:01:13.560 --> 00:01:16.560]  阿莊今天的講題是「光明之子」
[00:01:16.560 --> 00:01:18.560]  現在恭請阿莊
[00:01:18.560 --> 00:01:27.560]  (主席)
[00:01:27.560 --> 00:01:29.560]  各位節目的早安
[00:01:29.560 --> 00:01:32.560]  大家都濕了
[00:01:32.560 --> 00:01:35.560]  雖然大家有點濕身
