
[00:00:00.000 --> 00:00:02.000]  評論節目平安,早安
[00:00:02.000 --> 00:00:10.000]  剛才是我第一次領聖餐,剛才很緊張
[00:00:10.000 --> 00:00:14.000]  大家一起經歷了新一年的聖餐
[00:00:14.000 --> 00:00:24.000]  真的,我覺得2023年充滿盼望和期待的一年
[00:00:24.000 --> 00:00:32.000]  希望節目能夠在新年同樣懷著盼望重新出發
[00:00:32.000 --> 00:00:35.000]  在當中有一個平安快樂的一年
[00:00:35.000 --> 00:00:38.000]  這些不是純粹客套的說話
[00:00:38.000 --> 00:00:42.000]  我們過去幾年都不太容易
[00:00:42.000 --> 00:00:46.000]  經歷了很多不容易的時間
[00:00:46.000 --> 00:00:49.000]  好像還沒完
[00:00:49.000 --> 00:00:56.000]  但當我們踏入2023年,我覺得好像有少許改變
[00:00:56.000 --> 00:01:00.000]  世界社會來到2023年的時候
[00:01:00.000 --> 00:01:04.000]  情況似乎有一點點的變化
[00:01:04.000 --> 00:01:08.000]  說的未必是客觀環境的突破
[00:01:08.000 --> 00:01:12.000]  可能社會依然都是差不多的景象
[00:01:12.000 --> 00:01:18.000]  但世界的人似乎都改變了一些東西
[00:01:18.000 --> 00:01:21.000]  有些人似乎離開了困局
[00:01:21.000 --> 00:01:23.000]  有些人領悟到一些道理
[00:01:23.000 --> 00:01:26.000]  有些人可能看到一些新的事物
[00:01:26.000 --> 00:01:29.000]  能夠成長的可能都能夠成長
[00:01:29.000 --> 00:01:32.000]  尋找一些出路的都找到一點點出路
[00:01:32.000 --> 00:01:35.000]  雖然這條路未必光明一片
[00:01:35.000 --> 00:01:38.000]  但起碼去嘗試踏入2023年
[00:01:38.000 --> 00:01:42.000]  所以2023年我自己是樂觀的
[00:01:42.000 --> 00:01:45.000]  改變的未必是這個世界
[00:01:45.000 --> 00:01:49.000]  而是我們當中的人能夠有少許的不同
[00:01:49.000 --> 00:01:51.000]  可以成長改變
[00:01:51.000 --> 00:01:55.000]  所以今天在2023年的第一個崇拜裏
[00:01:55.000 --> 00:02:04.000]  都可以和大家看看有關一個視野的題目
[00:02:04.000 --> 00:02:06.000]  不知道大家有沒有聽過一句話
[00:02:06.000 --> 00:02:09.000]  我們的視野決定我們的高度
