
[00:00:00.000 --> 00:00:02.000]  聽眾晚安
[00:00:02.000 --> 00:00:06.000]  是不是很久沒有送聖誕禮物了?
[00:00:06.000 --> 00:00:13.000]  好像很久都沒有大家有聖誕的祝賀
[00:00:13.000 --> 00:00:15.000]  聖誕的派對
[00:00:15.000 --> 00:00:19.000]  希望今年大家有一個熱鬧的聖誕
[00:00:19.000 --> 00:00:23.000]  在我們慶祝聖誕的時候
[00:00:23.000 --> 00:00:25.000]  大家記不記得今天是什麼日子?
[00:00:25.000 --> 00:00:28.000]  剛才陳牧師跟我們說了
[00:00:28.000 --> 00:00:31.000]  今天是章林期
[00:00:31.000 --> 00:00:34.000]  明天是章林期第一主日
[00:00:34.000 --> 00:00:42.000]  我們會有聖誕圖片登出
[00:00:42.000 --> 00:00:47.000]  這是我們每年都有的節日
[00:00:47.000 --> 00:00:49.000]  不過過往三年
[00:00:49.000 --> 00:00:52.000]  可能大家慶祝得沒有那麼熱鬧
[00:00:52.000 --> 00:00:54.000]  相信今年會更加熱鬧
[00:00:54.000 --> 00:00:57.000]  在一起預備的時候
[00:00:57.000 --> 00:01:00.000]  章林期的意思是預備
[00:01:00.000 --> 00:01:04.000]  預備主耶穌基督的來臨
[00:01:04.000 --> 00:01:09.000]  應該是猶太人預備理賽亞尼的日子
[00:01:09.000 --> 00:01:12.000]  我們也預備自己的心
[00:01:12.000 --> 00:01:14.000]  等待聖誕的來臨
[00:01:14.000 --> 00:01:17.000]  我們去慶祝之前的一個預備
[00:01:17.000 --> 00:01:20.000]  第一個禮拜 第一個主日
[00:01:20.000 --> 00:01:23.000]  章林節的第一個主日的預備
[00:01:23.000 --> 00:01:25.000]  應該是給我們一些醒察
[00:01:25.000 --> 00:01:28.000]  我們就看看這段經文
[00:01:28.000 --> 00:01:31.000]  馬太福音的第二章
[00:01:31.000 --> 00:01:32.000]  剛才很好
[00:01:32.000 --> 00:01:34.000]  馬弟兄幫我們讀得很清楚
[00:01:34.000 --> 00:01:36.000]  我想大家都很熟悉
[00:01:36.000 --> 00:01:39.000]  在希律作王的時候
[00:01:39.000 --> 00:01:42.000]  耶穌在猶太的伯尼行降生
[00:01:42.000 --> 00:01:44.000]  那時候有幾個
[00:01:44.000 --> 00:01:46.000]  不知道有多少個
[00:01:46.000 --> 00:01:48.000]  有幾個從東方來的博士
[00:01:48.000 --> 00:01:51.000]  來到耶路撒冷來找耶穌
[00:01:51.000 --> 00:01:53.000]  幾個不是三個
[00:01:53.000 --> 00:01:57.000]  我們從小看聖誕卡都是三個
[00:01:57.000 --> 00:01:58.000]  為什麼呢
[00:01:58.000 --> 00:02:01.000]  可能因為禮物是三樣的禮物
