
[00:00:00.000 --> 00:00:09.500]  今日,我們很感恩,有葛洪彪牧師來到我們當中,為我們宣講上帝的訊息。
[00:00:09.500 --> 00:00:20.000]  他的講題是「當人厭煩真理的時候」。
[00:00:20.000 --> 00:00:32.000]  經文記載在《提摩太后書》四章第三節。
[00:00:32.000 --> 00:00:46.000]  「因為時候將到,那時人會厭煩健全的教導,以躲發揚,就隨心所欲地增添好些教師。」
[00:00:46.000 --> 00:01:04.000]  我再重複一次經文:「因為時候將到,那時人會厭煩健全的教導,以躲發揚,就隨心所欲地增添好些教師。」
[00:01:04.000 --> 00:01:07.000]  我們恭請葛牧師。
[00:01:08.000 --> 00:01:34.000]  「我們一起同心祈禱,我們親愛的天父上帝,我們滿心感謝讚美你,因為你就是那位賜我們生命氣息的神,也是那位每天保守我們的神,你也是那位真理的神。
[00:01:34.000 --> 00:01:49.000]  我們懇求你,在今天的敬拜裡面,你的靈與我們同在,讓我們進入聖經的話語,明白你的心意,讓我們每一天都能與你緊緊相連。
[00:01:49.000 --> 00:02:07.000]  我們的心是想到神自己的旨意,想到神自己對我們的要求,讓我們在一個這麼複雜,這麼充滿挑戰的環境裡面,我們真的走在你的道路當中。我們的祈禱奉耶穌基督的名,阿們。」
[00:02:07.000 --> 00:02:12.000]  感謝神的恩典,讓我跟大家分享聖經的信息。
[00:02:12.000 --> 00:02:24.000]  最近提摩太后書第四章第三節這段經文在我心裡面出現,而且是令我有一個很特別的感受。
[00:02:24.000 --> 00:02:34.000]  所以當我讀提摩太后書第四章一到八節的時候,我就有很強的感動,作為一段講道經文。
[00:02:34.000 --> 00:02:44.000]  我今天講道的題目就是「當人厭煩真理的時候」,我通常都會分段的,這次我就會分兩個部分。
[00:02:44.000 --> 00:02:54.000]  第一個部分是要解釋那些經文,第二部分就是這一段經文對我們生活有什麼指引。
[00:02:54.000 --> 00:03:11.000]  第一部分就是經文的解釋,我先跟大家說,我會用英文的譯本,我自己也會看希臘文的譯本,我甚至嘗試提供一個可能更加清晰的翻譯。
[00:03:11.000 --> 00:03:24.000]  如果你有興趣的話,請你打開你的聖經,提摩太后書第四章一到八節,因為最重要是你看完之後你覺得明白,這件事很重要。
[00:03:24.000 --> 00:03:28.000]  我是讀舊的和合本的翻譯。
[00:03:28.000 --> 00:03:42.000]  首先提摩太后書第四章第一節,我在神面前並在將來審判活人死人的基督耶穌面前,憑著他的顯現和他的國度祝福你。
[00:03:42.000 --> 00:03:58.000]  有少少累贅,但是你可以看英文,I solemnly charge you in the presence of God and of Christ Jesus, who is to judge the living and the dead, and by his appearing and his kingdom。
[00:03:58.000 --> 00:04:11.000]  那個句子結構是有些特別的,但是我想跟大家說,中文的翻譯可以說是我誠懇地在神面前和在基督耶穌面前來祝福。
[00:04:11.000 --> 00:04:18.000]  基督耶穌在他的顯現和他的國度審判活人死人。
[00:04:18.000 --> 00:04:27.000]  你看到原意就是這樣,保羅很誠懇地在神和基督的面前祝福提摩太。
[00:04:27.000 --> 00:04:34.000]  基督耶穌在他的顯現和國度裏面會審判活人和死人。
[00:04:34.000 --> 00:04:38.000]  這個句子可能沒有那麼優美,但是意思應該很準確。
[00:04:38.000 --> 00:04:54.000]  提摩太後書第四章第二節就說了,在這樣的情況下,你就要無要全道,無論得時不得時,總要專心,並用百般的忍耐各樣的教訓責備人、警戒人、勸勉人。
[00:04:54.000 --> 00:05:06.000]  我們又看看英文,Preach the word, be ready in season and out of season,reprove, rebuke, exhort, with great patience and instruction。
[00:05:06.000 --> 00:05:21.000]  中文的翻譯可以是這樣,無要全道,無論得時不得時,你都要預備,因為希臘文有這個字,以百般的忍耐和教訓責備、警戒和勸勉。
[00:05:21.000 --> 00:05:38.000]  即是告訴我們,每一個基督徒在一個不容易的時候,你是要預備,無論得時不得時,你都要預備,用百般的忍耐來教訓、責備、警戒和勸勉。
[00:05:38.000 --> 00:05:49.000]  提摩太后書第四章第三節就說,因為時候要到,人必厭煩純正的道理,以多發養就隨從自己的情慾,增添普摩師傅。
[00:05:49.000 --> 00:05:59.000]  英文的翻譯很有趣,有個sound doctrine,即是一個很堅固的道理,或者一個很結實的教義或者信條。
