
[00:00:00.000 --> 00:00:04.000]  親愛的天父 信弟 我們要感謝你
[00:00:04.000 --> 00:00:08.000]  親愛的聖靈 我們要感謝你
[00:00:08.000 --> 00:00:12.000]  因為你與我們同在
[00:00:12.000 --> 00:00:16.000]  我們將今天整個過程 整個崇拜
[00:00:16.000 --> 00:00:20.000]  都一起交給耶穌的手當中 求你親自賜福
[00:00:20.000 --> 00:00:24.000]  我們相信今天 信弟你要賜福給我們
[00:00:24.000 --> 00:00:28.000]  就打開我們的心 讓我們將
[00:00:28.000 --> 00:00:31.000]  將上帝的說話放在我們的心底裏面
[00:00:31.000 --> 00:00:35.000]  免得我們得罪你 更加指引我們應當要走前面
[00:00:35.000 --> 00:00:38.000]  應當要的路 我們一起在你面前這樣祈禱
[00:00:38.000 --> 00:00:42.000]  仰望奉耶穌 基督的名字祈求 阿們
[00:00:42.000 --> 00:00:47.000]  剛才我想說說關於這個經文的一些背景
[00:00:47.000 --> 00:00:51.000]  其實這個背景是挺混亂的 當時後
[00:00:51.000 --> 00:00:55.000]  阿難王和以色列皇帝會
[00:00:55.000 --> 00:00:59.000]  爭戰 阿難王一直都希望可以攻打以色列人
[00:00:59.000 --> 00:01:03.000]  但是每一次的時候
[00:01:03.000 --> 00:01:07.000]  聖經讓我們看回前一點 我們會發現
[00:01:07.000 --> 00:01:11.000]  每一次阿難王準備去攻打以色列人
[00:01:11.000 --> 00:01:15.000]  突然之間 當中有個人
[00:01:15.000 --> 00:01:19.000]  聖經上說是神人 他就告訴以色列人
[00:01:19.000 --> 00:01:23.000]  告訴王知道 你不要去這個地方
[00:01:23.000 --> 00:01:28.000]  阿難王會埋伏你的 於是他就不去那個地方
[00:01:28.000 --> 00:01:32.000]  聖經提醒我們不是一次 是好幾次
[00:01:32.000 --> 00:01:37.000]  當阿難王知道的時候 心裏面就很憤怒 很不舒服
[00:01:37.000 --> 00:01:42.000]  為甚麼以色列人會知道呢?為甚麼他會知道這件事呢?
[00:01:42.000 --> 00:01:46.000]  是不是我們中間有鬼?
[00:01:46.000 --> 00:01:49.000]  即是有內鬼?
[00:01:49.000 --> 00:01:54.000]  然後就召集了所有神僕一起來
[00:01:54.000 --> 00:01:57.000]  就問他究竟是誰?是誰?是誰?
[00:01:57.000 --> 00:02:00.000]  然後那個僕人就跟他說
[00:02:00.000 --> 00:02:04.000]  王說原來不是 是當中有一個先知
[00:02:04.000 --> 00:02:08.000]  他將我們在室內裏面
[00:02:08.000 --> 00:02:12.000]  在我們的密室當中將這件事告訴王知道
[00:02:12.000 --> 00:02:17.000]  當阿難王知道的時候 心裏面就很不舒服 很憤怒
[00:02:17.000 --> 00:02:20.000]  王說我們一起來 我們要去抓這個人
[00:02:20.000 --> 00:02:28.000]  於是就帶齊兵馬圍繞著以利沙住的城
[00:02:28.000 --> 00:02:32.000]  因為這個原因 翌日早上
[00:02:32.000 --> 00:02:35.000]  以利沙的僕人跟隨他的僕人
[00:02:35.000 --> 00:02:37.000]  一看到早上發現
[00:02:37.000 --> 00:02:41.000]  所有都是兵馬 都是阿難王的兵馬的時候
[00:02:41.000 --> 00:02:46.000]  心裏面就很害怕 怎麼辦?怎麼辦?怎麼辦?
[00:02:46.000 --> 00:02:53.000]  他就跟以利沙說 主人 怎麼辦?
[00:02:53.000 --> 00:02:57.000]  在一個這麼危急的情況當中
[00:02:57.000 --> 00:03:03.000]  在一個孤身面對著一大群人的情況裏面
[00:03:03.000 --> 00:03:05.000]  以利沙能做些甚麼呢?
[00:03:05.000 --> 00:03:08.000]  以利沙首先就跟他的僕人說
[00:03:08.000 --> 00:03:10.000]  不需要怕
[00:03:10.000 --> 00:03:17.000]  還有我們比他們的人更加多
[00:03:17.000 --> 00:03:19.000]  我相信當你當了一個僕人的時候
[00:03:19.000 --> 00:03:22.000]  心裏面就覺得 不是吧
[00:03:22.000 --> 00:03:24.000]  眼前全部都是阿難人
[00:03:24.000 --> 00:03:30.000]  你竟然說跟我們一起的比跟他們一起的更加多
[00:03:30.000 --> 00:03:33.000]  於是以利沙就向神祈禱
[00:03:33.000 --> 00:03:39.000]  神求你 打開這個年輕人的眼睛
[00:03:39.000 --> 00:03:41.000]  然後怎樣?
[00:03:41.000 --> 00:03:43.000]  神就打開這個年輕人的眼睛
[00:03:43.000 --> 00:03:49.000]  讓他看見 嘩!原來有火車 火馬一直在圍繞著我
[00:03:49.000 --> 00:03:51.000]  真的這樣
[00:03:51.000 --> 00:03:53.000]  弟兄姊妹
[00:03:53.000 --> 00:03:57.000]  不知道你們有沒有經歷過一些事情呢?
[00:03:57.000 --> 00:03:58.000]  當你第一次見到的時候
[00:03:58.000 --> 00:03:59.000]  你會覺得很害怕 很擔心
[00:03:59.000 --> 00:04:02.000]  糟了 不知道怎麼辦
[00:04:02.000 --> 00:04:04.000]  然後上帝讓你看見
[00:04:04.000 --> 00:04:06.000]  上帝跟在一起之後
[00:04:06.000 --> 00:04:09.000]  你會覺得 感謝主
[00:04:09.000 --> 00:04:13.000]  不知道有沒有這種經歷呢?
[00:04:13.000 --> 00:04:18.000]  弟兄姊妹我有三高
[00:04:18.000 --> 00:04:22.000]  我三高就是進欽 進欺和進樂
[00:04:22.000 --> 00:04:23.000]  我三個兒子
[00:04:23.000 --> 00:04:27.000]  如果弟兄姊妹會記得
[00:04:27.000 --> 00:04:30.000]  我以前是這裡的傳道人
[00:04:30.000 --> 00:04:32.000]  然後我帶著我三個兒子
[00:04:32.000 --> 00:04:37.000]  我太太去了泰國宣教
[00:04:37.000 --> 00:04:40.000]  那時我三個兒子仍然是很小的
[00:04:40.000 --> 00:04:43.000]  這樣看著他 牽著他
[00:04:43.000 --> 00:04:46.000]  但現在我三個兒子是這樣看著他
[00:04:46.000 --> 00:04:48.000]  我三高
[00:04:48.000 --> 00:04:51.000]  很奇妙 上帝十多年了
[00:04:51.000 --> 00:04:52.000]  上帝給…
[00:04:52.000 --> 00:04:55.000]  大家記得那時我們是五個菠蘿包
[00:04:55.000 --> 00:04:57.000]  五個菠蘿包有兩個回來了
[00:04:57.000 --> 00:05:01.000]  還有三個還在泰國讀書
[00:05:01.000 --> 00:05:04.000]  他們很快就會在那邊讀大學
[00:05:04.000 --> 00:05:06.000]  畢業了 然後會回來
[00:05:06.000 --> 00:05:08.000]  在這麼多年當中
[00:05:08.000 --> 00:05:12.000]  上帝給我們很多很多的恩典
[00:05:12.000 --> 00:05:15.000]  雖然我們都經歷了很多很多的難處
[00:05:15.000 --> 00:05:17.000]  很多很多的…
[00:05:17.000 --> 00:05:19.000]  是超過我們的能力
[00:05:19.000 --> 00:05:24.000]  所以可以面對到的難處
[00:05:24.000 --> 00:05:27.000]  我真的有三高
[00:05:27.000 --> 00:05:31.000]  糖尿 血壓 膽固醇
[00:05:31.000 --> 00:05:36.000]  我有兩次輕微中風
[00:05:36.000 --> 00:05:39.000]  我記得那次我侍奉完之後
[00:05:39.000 --> 00:05:42.000]  我回到辦公室坐下來
[00:05:42.000 --> 00:05:46.000]  突然間我看到兩重影子
[00:05:46.000 --> 00:05:48.000]  我心裏面很害怕
[00:05:48.000 --> 00:05:49.000]  有你了
[00:05:49.000 --> 00:05:52.000]  以前我試過一次輕微中風
[00:05:52.000 --> 00:05:53.000]  然後有這樣的情況
[00:05:53.000 --> 00:05:55.000]  然後醫好了
[00:05:55.000 --> 00:05:57.000]  這次是第二次
[00:05:57.000 --> 00:05:58.000]  當我再一次的時候
[00:05:58.000 --> 00:05:59.000]  我心裏面很害怕
