
[00:00:00.000 --> 00:00:08.000]  感謝神今天早上讓我們本堂的傳道楊明麗姑娘在我們當中為我們淨道
[00:00:08.000 --> 00:00:16.000]  今天楊姑娘所講的題目是「沒了的懷」
[00:00:16.000 --> 00:00:21.000]  經過在《路加福音》二十一章一至六節
[00:00:21.000 --> 00:00:30.000]  在我們新約聖經第一百二十七頁
[00:00:30.000 --> 00:00:36.000]  《路加福音》第二十一章一至六節
[00:00:36.000 --> 00:00:43.000]  先讓我讀出第二十一章一至六節的經文
[00:00:43.000 --> 00:00:57.000]  耶穌抬頭觀巷,見財主把捐項投入聖殿銀庫,又見一個窮寡婦投了兩個小文錢,
[00:00:57.000 --> 00:01:11.000]  就說:「我實在高訴你們,這窮寡婦所投的比眾人更多,因為眾人都是那有餘的捐獻,但這寡婦,
[00:01:11.000 --> 00:01:19.000]  雖然自己不足,卻把一生所有的都投進去了。」
[00:01:19.000 --> 00:01:31.000]  有人談論聖殿是用美石和公物裝飾的,耶穌就說:「你們所看見的這一切,日子將到,
[00:01:31.000 --> 00:01:39.000]  沒有一塊石頭會留在另一塊石頭上而不被拆毀的。」
[00:01:39.000 --> 00:01:42.000]  我現在就將時間交給楊姑娘
[00:01:42.000 --> 00:01:51.000]  楊姑娘:各位姐妹,早安!
[00:01:51.000 --> 00:01:59.000]  今天我要和大家一起看一段經文,就是《路加福音》第二十一章
[00:01:59.000 --> 00:02:08.000]  這一段經文,如果你揭開看,第二十二章就已經是說猶大怎樣出賣耶穌
[00:02:08.000 --> 00:02:19.000]  所以這一段經文,差不多是最後一段比較詳細的記述,耶穌基督和門徒教導了什麼,說了什麼重要的事
[00:02:19.000 --> 00:02:25.000]  所以我稱呼它為「沒了的話」,因為最後教導的通常都很重要
[00:02:25.000 --> 00:02:32.000]  耶穌基督在最後那一兩天,真的最後那一兩天了,祂和門徒做了什麼,說了什麼呢?
[00:02:32.000 --> 00:02:42.000]  當然這段不是最後的說話,還有《約翰福音》第十三章,耶穌怎樣和他們洗腳,怎樣教導他們彼此相愛
