
[00:00:00.000 --> 00:00:03.000]  感謝各位大兄姐妹平安
[00:00:03.000 --> 00:00:07.000]  很感恩可以回來錦書家跟大家分享神的話語
[00:00:07.000 --> 00:00:11.000]  回到一個又熟悉又親切的環境
[00:00:11.000 --> 00:00:14.000]  令人心裏有一份溫暖的感覺
[00:00:14.000 --> 00:00:17.000]  耶穌在馬太福音裏面講過
[00:00:17.000 --> 00:00:20.000]  學生不能夠高過老師
[00:00:20.000 --> 00:00:23.000]  僕人不能夠高過主人
[00:00:23.000 --> 00:00:26.000]  學生所遭遇的和老師一樣
[00:00:26.000 --> 00:00:29.000]  僕人所遭遇的也和主人一樣
[00:00:29.000 --> 00:00:32.000]  耶穌想表達甚麼呢
[00:00:32.000 --> 00:00:36.000]  他是學生和老師以及僕人和主人的關係
[00:00:36.000 --> 00:00:40.000]  雙方的關係和經歷是很緊密的
[00:00:40.000 --> 00:00:43.000]  而且學生和僕人所要走的路
[00:00:43.000 --> 00:00:46.000]  會和老師主人所走的路
[00:00:46.000 --> 00:00:48.000]  應該大致是相同
[00:00:48.000 --> 00:00:55.000]  其實這句說話同樣適用於師父和徒弟這個關係裏面
[00:00:55.000 --> 00:00:57.000]  師父所走的路
[00:00:57.000 --> 00:00:59.000]  師父一生的經歷
[00:00:59.000 --> 00:01:05.000]  作為徒弟也很大機會會同樣面對師父相同的經歷
[00:01:05.000 --> 00:01:09.000]  在聖經裏面我們有很多師徒的關係
[00:01:09.000 --> 00:01:14.000]  舊約裏面我們最熟悉的就是以利亞和以利沙
[00:01:14.000 --> 00:01:18.000]  新約當然有耶穌和十二個門徒
[00:01:18.000 --> 00:01:22.000]  不過今天我想講的是保羅和提摩泰
[00:01:22.000 --> 00:01:26.000]  作為師父的保羅對提摩泰愛護有加
[00:01:26.000 --> 00:01:31.000]  在提摩泰前後書裏面我們可以見到很多這一類的例子
[00:01:31.000 --> 00:01:36.000]  而今天我想藉著提摩泰後書一章三至十六節
[00:01:36.000 --> 00:01:39.000]  和大家看看保羅對提摩泰
[00:01:39.000 --> 00:01:42.000]  有作出了三方面的提醒和命令
[00:01:42.000 --> 00:01:46.000]  我們開始講道之先我們一起去祈禱吧
[00:01:46.000 --> 00:01:49.000]  親愛的主我們滿心感謝讚美你
[00:01:49.000 --> 00:01:52.000]  因為你用你的話語栽種我們
[00:01:52.000 --> 00:01:55.000]  使我們的生命充滿著你的養分
[00:01:55.000 --> 00:01:59.000]  按時候為你結出累累的果子
[00:01:59.000 --> 00:02:03.000]  讓你的名能夠被高舉並且享受當得的榮耀
[00:02:03.000 --> 00:02:06.000]  我們的祈禱是奉主耶穌基督的聖名祈求
[00:02:06.000 --> 00:02:07.000]  阿們
[00:02:07.000 --> 00:02:12.000]  開始的時候我們先了解一下經文的背景
[00:02:12.000 --> 00:02:18.000]  提摩泰前後書和提多書都被稱為教目書信
[00:02:18.000 --> 00:02:21.000]  教目書信有一個特點
[00:02:21.000 --> 00:02:25.000]  固然是保羅對提摩泰和提多所牧養的教會
[00:02:25.000 --> 00:02:27.000]  作出了一些真理的教導
[00:02:27.000 --> 00:02:32.000]  不讓當時的異端邪說在教會裏繼續廣傳
[00:02:32.000 --> 00:02:37.000]  而另一方面教目書信就是要求他們能夠實踐
[00:02:37.000 --> 00:02:40.000]  因典禦行為所相稱的信仰生活
[00:02:40.000 --> 00:02:44.000]  讓這兩位牧者在生命裏能夠成為見證
[00:02:44.000 --> 00:02:49.000]  讓伊弗所和克里特的信徒可以效法
[00:02:49.000 --> 00:02:53.000]  在提摩泰前書一章二節裏
[00:02:53.000 --> 00:02:58.000]  保羅稱呼提摩泰為在信仰上的真兒子
