
[00:00:00.000 --> 00:00:02.360]  好,回到節目中
[00:00:02.360 --> 00:00:05.160]  有幾項報告想跟大家分享
[00:00:05.160 --> 00:00:07.600]  首先,今天崇拜完結後
[00:00:07.600 --> 00:00:10.000]  下星期才有「Bring Your Own Lunch」
[00:00:10.000 --> 00:00:11.840]  即是大家買飯回來一起吃
[00:00:11.840 --> 00:00:14.520]  今天崇拜完結後
[00:00:14.520 --> 00:00:16.440]  我們有一個叫「Feast of Common」
[00:00:16.440 --> 00:00:20.040]  就是菲律賓團契的姊妹
[00:00:20.040 --> 00:00:23.480]  專程為大家準備各樣的活動
[00:00:23.480 --> 00:00:25.680]  這個活動會以英文進行
[00:00:25.680 --> 00:00:28.120]  如果還未生日,但又想參與的話
[00:00:28.120 --> 00:00:30.120]  可以一起參與
[00:00:30.120 --> 00:00:32.440]  提醒大家,之前也提過
[00:00:32.440 --> 00:00:36.520]  另一個宣布就是
[00:00:36.520 --> 00:00:37.520]  燈燈
[00:00:37.520 --> 00:00:41.120]  小一家長,啪一啪
[00:00:41.120 --> 00:00:44.720]  有沒有小一或即將來的小一家長在當中?
[00:00:44.720 --> 00:00:45.960]  有沒有?
[00:00:45.960 --> 00:00:47.240]  都有,都有
[00:00:47.240 --> 00:00:52.120]  不只是下星期或過兩星期開學才參與
[00:00:52.120 --> 00:00:55.640]  將會首舖的家長也想了解多一點
[00:00:55.640 --> 00:00:58.160]  小一有甚麼要留意?
[00:00:58.160 --> 00:01:00.760]  很好,我們Miss June 安排了
[00:01:00.760 --> 00:01:04.120]  這個日子,下星期日
[00:01:04.120 --> 00:01:06.480]  「Bring Your Own Lunch」的同時間
[00:01:06.480 --> 00:01:10.080]  吃完飯後,大家可以放下小孩遊走
[00:01:10.080 --> 00:01:13.520]  然後家長就可以去分享
[00:01:13.520 --> 00:01:17.760]  無論是本地學校,即是官津、直資
[00:01:17.760 --> 00:01:19.120]  甚至是國際學校
[00:01:19.120 --> 00:01:21.200]  我們也有不同的專家
[00:01:21.200 --> 00:01:23.440]  他們經歷過,所以就是專家
[00:01:23.440 --> 00:01:26.360]  一起坐下來,跟大家分享
[00:01:26.360 --> 00:01:30.160]  其實大家有些事情不知道、擔心或憂慮
[00:01:30.160 --> 00:01:31.680]  這是一個很好的時間
[00:01:31.680 --> 00:01:34.320]  讓我們彼此扶持、了解
[00:01:34.320 --> 00:01:36.800]  當中真的有些很有經驗的老師
[00:01:36.800 --> 00:01:39.440]  所以可以參與
[00:01:39.440 --> 00:01:41.760]  保住名字,幫助我們預留空間
[00:01:41.760 --> 00:01:44.640]  第三件事非常重要
[00:01:44.640 --> 00:01:48.400]  我們每年都會有兩次的革會
[00:01:48.400 --> 00:01:50.280]  上一次大約在三、四月的時候
[00:01:50.280 --> 00:01:52.000]  我們有六十人
[00:01:52.000 --> 00:01:54.000]  這是甚麼來的?
[00:01:54.000 --> 00:01:56.480]  Yes,Alpha啟發
[00:01:56.480 --> 00:02:05.520]  啟發即將會在9月25日到11月27日
